Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
ABHINAV MANOHAR,2022-03-28,15,7,214.29,0.0,0.0,0.0,0.0,0.0,0.0,21
ABHINAV MANOHAR,2022-04-02,1,2,50.0,15.0,214.29,7.0,15.0,7.0,214.29,1
ABHINAV MANOHAR,2022-04-11,35,21,166.67,8.0,132.14,4.5,8.0,4.5,132.14,43
ABHINAV MANOHAR,2022-04-14,43,28,153.57,17.0,143.65,10.0,17.0,10.0,143.65,51
ABHINAV MANOHAR,2022-04-17,12,12,100.0,23.5,146.13,14.5,23.5,14.5,146.13,12
ABHINAV MANOHAR,2022-04-23,2,4,50.0,21.2,136.91,14.0,22.75,15.75,117.56,2
ABHINAV MANOHAR,2022-04-27,0,1,0.0,18.0,122.42,12.33,23.0,16.25,117.56,0
ABHINAV MANOHAR,2023-04-09,14,8,175.0,15.43,104.93,10.71,14.25,11.25,75.89,20
ABHINAV MANOHAR,2023-04-16,27,13,207.69,15.25,113.69,10.38,7.0,6.25,81.25,37
ABHINAV MANOHAR,2023-04-22,3,5,60.0,16.56,124.14,10.67,10.75,6.5,108.17,3
ABHINAV MANOHAR,2023-04-25,42,21,200.0,15.2,117.72,10.1,11.0,6.75,110.67,52
ABHINAV MANOHAR,2023-05-02,26,33,78.79,17.64,125.2,11.09,21.5,11.75,160.67,30
ABHINAV MANOHAR,2023-05-12,2,3,66.67,18.33,121.33,12.92,24.5,18.0,136.62,2
ABHINAV MANOHAR,2024-04-10,1,2,50.0,17.08,117.13,12.15,18.25,15.5,101.36,1
ABHINAV MANOHAR,2024-04-17,8,14,57.14,15.93,112.33,11.43,17.75,14.75,98.86,8
ABHINAV MANOHAR,2025-03-23,0,1,0.0,15.4,108.65,11.6,9.25,13.0,63.15,0
ABHINAV MANOHAR,2025-03-27,2,6,33.33,14.44,101.86,10.94,2.75,5.0,43.45,2
ABHINAV MANOHAR,2025-03-30,4,6,66.67,13.71,97.83,10.65,2.75,5.75,35.12,4
ABHINAV MANOHAR,2025-04-23,43,37,116.22,13.17,96.1,10.39,3.5,6.75,39.28,47
