Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
ANGKRISH RAGHUVANSHI,2024-04-03,54,27,200.0,0.0,0.0,0.0,0.0,0.0,0.0,72
ANGKRISH RAGHUVANSHI,2024-04-08,24,18,133.33,54.0,200.0,27.0,54.0,27.0,200.0,28
ANGKRISH RAGHUVANSHI,2024-04-14,7,6,116.67,39.0,166.67,22.5,39.0,22.5,166.67,7
ANGKRISH RAGHUVANSHI,2024-04-16,30,18,166.67,28.33,150.0,17.0,28.33,17.0,150.0,38
ANGKRISH RAGHUVANSHI,2024-04-21,3,4,75.0,28.75,154.17,17.25,28.75,17.25,154.17,3
ANGKRISH RAGHUVANSHI,2024-05-03,13,6,216.67,23.6,138.33,14.6,16.0,11.5,122.92,19
ANGKRISH RAGHUVANSHI,2024-05-05,32,26,123.08,21.83,151.39,13.17,13.25,8.5,143.75,36
ANGKRISH RAGHUVANSHI,2025-03-22,30,22,136.36,23.29,147.35,15.0,19.5,13.5,145.35,38
ANGKRISH RAGHUVANSHI,2025-03-26,22,17,129.41,24.12,145.97,15.88,19.5,14.5,137.78,22
ANGKRISH RAGHUVANSHI,2025-03-31,26,16,162.5,23.89,144.13,16.0,24.25,17.75,151.38,34
ANGKRISH RAGHUVANSHI,2025-04-03,50,32,156.25,24.1,145.97,16.0,27.5,20.25,137.84,58
ANGKRISH RAGHUVANSHI,2025-04-08,5,4,125.0,26.45,146.9,17.45,32.0,21.75,146.13,5
ANGKRISH RAGHUVANSHI,2025-04-15,37,28,132.14,24.67,145.08,16.33,25.75,17.25,143.29,45
ANGKRISH RAGHUVANSHI,2025-04-21,27,13,207.69,25.62,144.08,17.23,29.5,20.0,143.97,37
