Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
ARSHDEEP SINGH,2020-10-08,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ARSHDEEP SINGH,2021-04-21,1,2,50.0,0.0,0.0,3.0,0.0,3.0,0.0,1
ARSHDEEP SINGH,2021-04-26,1,1,100.0,0.5,25.0,2.5,0.5,2.5,25.0,1
ARSHDEEP SINGH,2022-04-01,0,1,0.0,0.67,50.0,2.0,0.67,2.0,50.0,0
ARSHDEEP SINGH,2022-04-08,10,5,200.0,0.5,37.5,1.75,0.5,1.75,37.5,16
ARSHDEEP SINGH,2022-04-17,0,1,0.0,2.4,70.0,2.4,3.0,2.25,87.5,0
ARSHDEEP SINGH,2022-04-20,9,17,52.94,2.0,58.33,2.17,2.75,2.0,75.0,9
ARSHDEEP SINGH,2022-04-29,0,2,0.0,3.0,57.56,4.29,4.75,6.0,63.24,0
ARSHDEEP SINGH,2022-05-16,2,3,66.67,2.62,50.37,4.0,4.75,6.25,63.24,2
ARSHDEEP SINGH,2023-04-20,0,0,,2.56,52.18,3.89,2.75,5.75,29.9,0
ARSHDEEP SINGH,2023-04-28,2,2,100.0,2.3,52.18,3.5,2.75,5.5,39.87,2
ARSHDEEP SINGH,2024-05-09,4,3,133.33,2.27,56.96,3.36,1.0,1.75,55.56,8
ARSHDEEP SINGH,2025-04-05,1,5,20.0,2.42,63.9,3.33,2.0,2.0,100.0,1
ARSHDEEP SINGH,2025-04-15,1,1,100.0,2.31,60.24,3.46,1.75,2.5,84.44,1
