Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
AVESH KHAN,2019-04-01,4,3,133.33,0.0,0.0,0.0,0.0,0.0,0.0,8
AVESH KHAN,2021-09-28,5,3,166.67,4.0,133.33,3.0,4.0,3.0,133.33,9
AVESH KHAN,2022-04-10,7,2,350.0,4.5,150.0,3.0,4.5,3.0,150.0,13
AVESH KHAN,2022-04-29,2,5,40.0,5.33,216.67,2.67,5.33,2.67,216.67,2
AVESH KHAN,2022-05-10,12,4,300.0,4.5,172.5,3.25,4.5,3.25,172.5,18
AVESH KHAN,2022-05-15,1,2,50.0,6.0,198.0,3.4,6.5,3.5,214.17,1
AVESH KHAN,2023-04-10,0,1,0.0,5.17,173.33,3.17,5.5,3.25,185.0,0
AVESH KHAN,2024-04-16,0,0,,4.43,148.57,2.86,3.75,3.0,97.5,0
AVESH KHAN,2024-05-07,7,3,233.33,3.88,148.57,2.5,3.25,1.75,116.67,13
AVESH KHAN,2024-05-15,3,2,150.0,4.22,159.17,2.56,2.0,1.5,94.44,7
AVESH KHAN,2025-04-01,0,0,,4.1,158.15,2.5,2.5,1.5,127.78,0
AVESH KHAN,2025-04-04,2,1,200.0,3.73,158.15,2.27,2.5,1.25,191.67,8
AVESH KHAN,2025-04-27,0,1,0.0,3.58,162.33,2.17,3.0,1.5,194.44,0
AVESH KHAN,2025-05-04,19,10,190.0,3.31,147.58,2.08,1.25,1.0,116.67,25
