Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
BHUVNESHWAR KUMAR,2011-05-16,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BHUVNESHWAR KUMAR,2012-04-06,2,4,50.0,1.0,100.0,1.0,1.0,1.0,100.0,2
BHUVNESHWAR KUMAR,2012-04-17,0,0,,1.5,75.0,2.5,1.5,2.5,75.0,0
BHUVNESHWAR KUMAR,2012-04-19,2,4,50.0,1.0,75.0,1.67,1.0,1.67,75.0,2
BHUVNESHWAR KUMAR,2012-04-26,7,4,175.0,1.25,66.67,2.25,1.25,2.25,66.67,13
BHUVNESHWAR KUMAR,2012-05-03,10,6,166.67,2.4,93.75,2.6,2.75,3.0,91.67,14
BHUVNESHWAR KUMAR,2012-05-05,11,7,157.14,3.67,108.33,3.17,4.75,3.5,130.56,15
BHUVNESHWAR KUMAR,2012-05-11,2,4,50.0,4.71,116.47,3.71,7.5,5.25,137.2,2
BHUVNESHWAR KUMAR,2012-05-13,3,5,60.0,4.38,106.97,3.75,7.5,5.25,137.2,3
BHUVNESHWAR KUMAR,2012-05-19,3,6,50.0,4.22,101.1,3.89,6.5,5.5,108.45,3
BHUVNESHWAR KUMAR,2013-04-05,3,3,100.0,4.1,95.42,4.1,4.75,5.5,79.28,3
BHUVNESHWAR KUMAR,2013-04-07,8,12,66.67,4.0,95.88,4.0,2.75,4.5,65.0,8
BHUVNESHWAR KUMAR,2013-04-13,6,11,54.55,4.33,93.23,4.67,4.25,6.5,69.17,6
BHUVNESHWAR KUMAR,2013-04-17,0,1,0.0,4.46,90.0,5.15,5.0,8.0,67.81,0
BHUVNESHWAR KUMAR,2013-04-23,6,12,50.0,4.14,83.08,4.86,4.25,6.75,55.3,6
BHUVNESHWAR KUMAR,2013-04-30,24,24,100.0,4.27,80.72,5.33,5.0,9.0,42.8,24
BHUVNESHWAR KUMAR,2013-05-02,2,3,66.67,5.5,82.0,6.5,9.0,12.0,51.14,2
BHUVNESHWAR KUMAR,2013-05-09,1,3,33.33,5.29,81.04,6.29,8.0,10.0,54.17,1
BHUVNESHWAR KUMAR,2013-05-11,2,2,100.0,5.06,78.24,6.11,8.25,10.5,62.5,2
BHUVNESHWAR KUMAR,2014-04-22,1,3,33.33,4.89,79.45,5.89,7.25,8.0,75.0,1
BHUVNESHWAR KUMAR,2014-05-08,0,1,0.0,4.7,77.02,5.75,1.5,2.75,58.33,0
BHUVNESHWAR KUMAR,2015-04-25,6,4,150.0,4.48,73.17,5.52,1.0,2.25,41.66,10
BHUVNESHWAR KUMAR,2015-05-04,11,4,275.0,4.55,76.83,5.45,2.25,2.5,70.83,17
BHUVNESHWAR KUMAR,2015-05-17,0,2,0.0,4.83,85.83,5.39,4.5,3.0,114.58,0
BHUVNESHWAR KUMAR,2016-04-16,0,1,0.0,4.62,82.1,5.25,4.25,2.75,106.25,0
BHUVNESHWAR KUMAR,2016-04-26,21,8,262.5,4.44,78.68,5.08,4.25,2.75,106.25,27
BHUVNESHWAR KUMAR,2016-05-10,1,2,50.0,5.08,86.03,5.19,8.0,3.75,134.38,1
BHUVNESHWAR KUMAR,2016-05-12,1,2,50.0,4.93,84.65,5.07,5.5,3.25,78.12,1
BHUVNESHWAR KUMAR,2016-05-20,13,7,185.71,4.79,83.37,4.96,5.75,3.25,90.62,19
BHUVNESHWAR KUMAR,2016-05-22,5,4,125.0,5.07,87.02,5.03,9.0,4.75,137.05,5
BHUVNESHWAR KUMAR,2016-05-25,1,2,50.0,5.07,88.33,5.0,5.0,3.75,102.68,1
BHUVNESHWAR KUMAR,2016-05-29,1,1,100.0,4.94,87.05,4.9,5.0,3.75,102.68,1
BHUVNESHWAR KUMAR,2017-04-12,4,3,133.33,4.81,87.47,4.78,5.0,3.5,115.18,8
BHUVNESHWAR KUMAR,2017-05-06,0,1,0.0,4.79,88.9,4.73,2.75,2.5,102.08,0
BHUVNESHWAR KUMAR,2018-05-07,1,2,50.0,4.65,86.21,4.62,1.5,1.75,70.83,1
BHUVNESHWAR KUMAR,2018-05-19,0,1,0.0,4.54,85.14,4.54,1.5,1.75,70.83,0
