Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
DEEPAK CHAHAR,2017-04-11,14,6,233.33,0.0,0.0,0.0,0.0,0.0,0.0,20
DEEPAK CHAHAR,2018-04-07,0,1,0.0,14.0,233.33,6.0,14.0,6.0,233.33,0
DEEPAK CHAHAR,2018-05-18,1,2,50.0,7.0,116.66,3.5,7.0,3.5,116.66,1
DEEPAK CHAHAR,2018-05-20,39,20,195.0,5.0,94.44,3.0,5.0,3.0,94.44,49
DEEPAK CHAHAR,2018-05-22,10,6,166.67,13.5,119.58,7.25,13.5,7.25,119.58,14
DEEPAK CHAHAR,2019-04-03,7,7,100.0,12.8,129.0,7.0,12.5,7.25,102.92,7
DEEPAK CHAHAR,2019-04-26,0,2,0.0,11.83,124.17,7.0,14.25,8.75,127.92,0
DEEPAK CHAHAR,2020-10-10,5,5,100.0,10.14,106.43,6.29,14.0,8.75,115.42,5
DEEPAK CHAHAR,2020-10-13,2,2,100.0,9.5,105.62,6.12,5.5,5.0,91.67,2
DEEPAK CHAHAR,2020-10-23,0,5,0.0,8.67,105.0,5.67,3.5,4.0,75.0,0
DEEPAK CHAHAR,2021-04-19,0,0,,7.8,94.5,5.6,1.75,3.5,50.0,0
DEEPAK CHAHAR,2021-09-26,1,1,100.0,7.09,94.5,5.09,1.75,3.0,66.67,1
DEEPAK CHAHAR,2023-05-10,1,2,50.0,6.58,95.0,4.75,0.75,2.0,66.67,1
DEEPAK CHAHAR,2025-03-23,28,15,186.67,6.15,91.25,4.54,0.5,2.0,50.0,38
DEEPAK CHAHAR,2025-04-07,0,1,0.0,7.71,98.59,5.29,7.5,4.5,112.22,0
DEEPAK CHAHAR,2025-04-27,1,1,100.0,7.2,91.55,5.0,7.5,4.75,84.17,1
DEEPAK CHAHAR,2025-05-06,8,8,100.0,6.81,92.11,4.75,7.5,4.75,84.17,8
