Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
DEVDUTT PADIKKAL,2020-09-21,56,42,133.33,0.0,0.0,0.0,0.0,0.0,0.0,72
DEVDUTT PADIKKAL,2020-09-24,1,2,50.0,56.0,133.33,42.0,56.0,42.0,133.33,1
DEVDUTT PADIKKAL,2020-09-28,54,40,135.0,28.5,91.66,22.0,28.5,22.0,91.66,70
DEVDUTT PADIKKAL,2020-10-03,63,45,140.0,37.0,106.11,28.0,37.0,28.0,106.11,79
DEVDUTT PADIKKAL,2020-10-05,4,6,66.67,43.5,114.58,32.25,43.5,32.25,114.58,4
DEVDUTT PADIKKAL,2020-10-10,33,34,97.06,35.6,105.0,27.0,30.5,23.25,97.92,37
DEVDUTT PADIKKAL,2020-10-12,32,23,139.13,35.17,103.68,28.17,38.5,31.25,109.68,40
DEVDUTT PADIKKAL,2020-10-15,18,12,150.0,34.71,108.74,27.43,33.0,27.0,110.72,22
DEVDUTT PADIKKAL,2020-10-17,35,37,94.59,32.62,113.9,25.5,21.75,18.75,113.22,39
DEVDUTT PADIKKAL,2020-10-21,25,17,147.06,32.89,111.75,26.78,29.5,26.5,120.2,29
DEVDUTT PADIKKAL,2020-10-25,22,21,104.76,32.1,115.28,25.8,27.5,22.25,132.7,22
DEVDUTT PADIKKAL,2020-10-28,74,45,164.44,31.18,114.33,25.36,25.0,21.75,124.1,90
DEVDUTT PADIKKAL,2020-10-31,5,8,62.5,34.75,118.5,27.0,39.0,30.0,127.71,5
DEVDUTT PADIKKAL,2020-11-02,50,41,121.95,32.46,114.2,25.54,31.5,22.75,119.69,54
DEVDUTT PADIKKAL,2020-11-06,1,6,16.67,33.71,114.75,26.64,37.75,28.75,113.41,1
DEVDUTT PADIKKAL,2021-04-14,11,13,84.62,31.53,108.21,25.27,32.5,25.0,91.39,11
DEVDUTT PADIKKAL,2021-04-18,25,28,89.29,30.25,106.74,24.5,16.75,17.0,71.44,25
DEVDUTT PADIKKAL,2021-04-22,101,52,194.23,29.94,105.71,24.71,21.75,22.0,78.13,147
DEVDUTT PADIKKAL,2021-04-25,34,15,226.67,33.89,110.63,26.22,34.5,24.75,96.2,44
DEVDUTT PADIKKAL,2021-04-27,17,14,121.43,33.89,116.74,25.63,42.75,27.0,148.7,17
DEVDUTT PADIKKAL,2021-04-30,7,6,116.67,33.05,116.97,25.05,44.25,27.25,157.9,7
DEVDUTT PADIKKAL,2021-09-20,22,20,110.0,31.81,116.96,24.14,39.75,21.75,164.75,22
DEVDUTT PADIKKAL,2021-09-24,70,50,140.0,31.36,116.64,23.95,20.0,13.75,143.69,86
DEVDUTT PADIKKAL,2021-09-26,0,4,0.0,33.04,117.66,25.09,29.0,22.5,122.02,0
DEVDUTT PADIKKAL,2021-09-29,22,17,129.41,31.67,112.75,24.21,24.75,20.0,91.67,22
DEVDUTT PADIKKAL,2021-10-03,40,38,105.26,31.28,113.42,23.92,28.5,22.75,94.85,44
DEVDUTT PADIKKAL,2021-10-06,41,52,78.85,31.62,113.11,24.46,33.0,27.25,93.67,45
DEVDUTT PADIKKAL,2021-10-08,0,1,0.0,31.96,111.84,25.48,25.75,27.75,78.38,0
DEVDUTT PADIKKAL,2021-10-11,21,18,116.67,30.82,107.84,24.61,25.75,27.0,78.38,21
DEVDUTT PADIKKAL,2022-03-29,41,29,141.38,30.48,108.15,24.38,25.5,27.25,75.19,49
DEVDUTT PADIKKAL,2022-04-02,7,7,100.0,30.83,109.25,24.53,25.75,25.0,84.22,7
DEVDUTT PADIKKAL,2022-04-05,37,29,127.59,30.06,108.96,23.97,17.25,13.75,89.51,41
DEVDUTT PADIKKAL,2022-04-10,29,29,100.0,30.28,109.54,24.12,26.5,20.75,121.41,33
DEVDUTT PADIKKAL,2022-04-14,0,1,0.0,30.24,109.25,24.27,28.5,23.5,117.24,0
DEVDUTT PADIKKAL,2022-04-18,24,18,133.33,29.35,106.04,23.59,18.25,16.5,81.9,28
DEVDUTT PADIKKAL,2022-04-22,54,35,154.29,29.2,106.82,23.43,22.5,19.25,90.23,70
DEVDUTT PADIKKAL,2022-04-26,7,7,100.0,29.89,108.13,23.75,26.75,20.75,96.9,7
DEVDUTT PADIKKAL,2022-04-30,15,15,100.0,29.27,107.91,23.3,21.25,15.25,96.9,15
DEVDUTT PADIKKAL,2022-05-02,2,5,40.0,28.89,107.71,23.08,25.0,18.75,121.9,2
DEVDUTT PADIKKAL,2022-05-07,31,32,96.88,28.21,105.97,22.62,19.5,15.5,98.57,35
DEVDUTT PADIKKAL,2022-05-11,48,30,160.0,28.28,105.74,22.85,13.75,14.75,84.22,56
DEVDUTT PADIKKAL,2022-05-15,39,18,216.67,28.76,107.07,23.02,24.0,20.5,99.22,49
DEVDUTT PADIKKAL,2022-05-20,3,9,33.33,29.0,109.68,22.9,30.0,21.25,128.39,3
DEVDUTT PADIKKAL,2022-05-24,28,20,140.0,28.4,107.9,22.58,30.25,22.25,126.72,36
DEVDUTT PADIKKAL,2022-05-27,9,12,75.0,28.39,108.63,22.52,29.5,19.25,137.5,9
DEVDUTT PADIKKAL,2022-05-29,2,10,20.0,27.96,107.88,22.29,19.75,14.75,116.25,2
DEVDUTT PADIKKAL,2023-04-02,2,5,40.0,27.39,105.97,22.02,10.5,12.75,67.08,2
DEVDUTT PADIKKAL,2023-04-05,21,26,80.77,26.85,104.57,21.66,10.25,11.75,68.75,21
DEVDUTT PADIKKAL,2023-04-12,38,26,146.15,26.73,104.07,21.75,8.5,13.25,53.94,46
DEVDUTT PADIKKAL,2023-04-16,26,25,104.0,26.96,104.93,21.84,15.75,16.75,71.73,30
DEVDUTT PADIKKAL,2023-04-19,26,21,123.81,26.94,104.91,21.9,21.75,20.5,92.73,30
DEVDUTT PADIKKAL,2023-04-23,52,34,152.94,26.92,105.28,21.88,27.75,24.5,113.68,68
