Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
HARDIK PANDYA,2015-04-19,16,6,266.67,0.0,0.0,0.0,0.0,0.0,0.0,22
HARDIK PANDYA,2015-04-23,0,1,0.0,16.0,266.67,6.0,16.0,6.0,266.67,0
HARDIK PANDYA,2015-05-05,5,8,62.5,8.0,133.34,3.5,8.0,3.5,133.34,5
HARDIK PANDYA,2015-05-08,21,8,262.5,7.0,109.72,5.0,7.0,5.0,109.72,27
HARDIK PANDYA,2015-05-10,8,4,200.0,10.5,147.92,5.75,10.5,5.75,147.92,14
HARDIK PANDYA,2015-05-14,61,31,196.77,10.0,158.33,5.4,8.5,5.25,131.25,79
HARDIK PANDYA,2015-05-19,1,2,50.0,18.5,164.74,9.67,23.75,12.75,180.44,1
HARDIK PANDYA,2015-05-24,0,2,0.0,16.0,148.35,8.57,22.75,11.25,177.32,0
HARDIK PANDYA,2016-04-09,9,11,81.82,14.0,129.8,7.75,17.5,9.75,111.69,9
HARDIK PANDYA,2016-04-13,9,10,90.0,13.44,124.47,8.11,17.75,11.5,82.15,9
HARDIK PANDYA,2016-04-16,2,6,33.33,13.0,121.03,8.3,4.75,6.25,55.46,2
HARDIK PANDYA,2016-04-18,2,5,40.0,12.0,113.05,8.09,5.0,7.25,51.29,2
HARDIK PANDYA,2016-04-20,2,3,66.67,11.17,106.97,7.83,5.5,8.0,61.29,2
HARDIK PANDYA,2016-04-23,2,2,100.0,10.46,103.87,7.46,3.75,6.0,57.5,2
HARDIK PANDYA,2016-04-25,4,2,200.0,9.86,103.59,7.07,2.0,4.0,60.0,10
HARDIK PANDYA,2016-05-08,7,16,43.75,9.47,110.02,6.73,2.5,3.0,101.67,7
HARDIK PANDYA,2016-05-21,7,8,87.5,9.31,105.88,7.31,3.75,5.75,102.6,7
HARDIK PANDYA,2017-04-06,35,15,233.33,9.18,104.79,7.35,5.0,7.0,107.81,45
HARDIK PANDYA,2017-04-09,29,11,263.64,10.61,111.94,7.78,13.25,10.25,141.15,39
HARDIK PANDYA,2017-04-12,2,3,66.67,11.58,119.92,7.95,19.5,12.5,157.06,2
HARDIK PANDYA,2017-04-14,9,4,225.0,11.1,117.26,7.7,18.25,9.25,162.78,15
HARDIK PANDYA,2017-04-16,6,3,200.0,11.0,122.39,7.52,18.75,8.25,197.16,12
HARDIK PANDYA,2017-04-20,15,4,375.0,10.77,125.92,7.32,11.5,5.25,188.83,21
HARDIK PANDYA,2017-04-22,24,23,104.35,10.96,136.75,7.17,8.0,3.5,216.67,24
HARDIK PANDYA,2017-04-24,13,11,118.18,11.5,135.4,7.83,13.5,8.5,226.09,13
HARDIK PANDYA,2017-04-29,4,5,80.0,11.56,134.71,7.96,14.5,10.25,199.38,4
HARDIK PANDYA,2017-05-01,14,9,155.56,11.27,132.6,7.85,14.0,10.75,169.38,18
HARDIK PANDYA,2017-05-06,29,14,207.14,11.37,133.45,7.89,13.75,12.0,114.52,39
HARDIK PANDYA,2017-05-08,15,24,62.5,12.0,136.08,8.11,15.0,9.75,140.22,15
HARDIK PANDYA,2017-05-11,30,13,230.77,12.1,133.55,8.66,15.5,13.0,126.3,40
HARDIK PANDYA,2017-05-13,1,2,50.0,12.7,136.79,8.8,22.0,15.0,163.99,1
HARDIK PANDYA,2017-05-16,14,10,140.0,12.32,133.99,8.58,18.75,13.25,137.6,18
HARDIK PANDYA,2017-05-21,10,9,111.11,12.38,134.18,8.62,15.0,12.25,120.82,10
HARDIK PANDYA,2018-04-07,22,20,110.0,12.3,133.48,8.64,13.75,8.5,132.97,22
HARDIK PANDYA,2018-04-14,2,3,66.67,12.59,132.79,8.97,11.75,10.25,102.78,2
HARDIK PANDYA,2018-04-17,17,5,340.0,12.29,130.9,8.8,12.0,10.5,106.94,23
HARDIK PANDYA,2018-04-22,4,2,200.0,12.42,136.71,8.69,12.75,9.25,156.94,10
HARDIK PANDYA,2018-04-24,3,19,15.79,12.19,138.42,8.51,11.25,7.5,179.17,3
HARDIK PANDYA,2018-04-28,13,8,162.5,11.95,135.19,8.79,6.5,7.25,155.61,17
HARDIK PANDYA,2018-05-01,50,42,119.05,11.97,135.89,8.77,9.25,8.5,179.57,54
HARDIK PANDYA,2018-05-04,23,13,176.92,12.92,135.47,9.6,17.5,17.75,124.34,29
HARDIK PANDYA,2018-05-06,35,20,175.0,13.17,136.48,9.68,22.25,20.5,118.56,45
HARDIK PANDYA,2018-05-09,19,13,146.15,13.69,137.4,9.93,30.25,20.75,158.37,23
HARDIK PANDYA,2018-05-13,36,21,171.43,13.81,137.6,10.0,31.75,22.0,154.28,46
HARDIK PANDYA,2018-05-16,9,12,75.0,14.32,138.37,10.25,28.25,16.75,167.38,9
HARDIK PANDYA,2018-05-20,27,17,158.82,14.2,136.96,10.29,24.75,16.5,141.9,35
HARDIK PANDYA,2019-03-24,0,2,0.0,14.48,137.44,10.43,22.75,15.75,137.85,0
HARDIK PANDYA,2019-03-28,32,14,228.57,14.17,134.51,10.26,18.0,13.0,101.31,42
HARDIK PANDYA,2019-03-30,31,19,163.16,14.54,136.47,10.33,17.0,11.25,115.6,39
HARDIK PANDYA,2019-04-03,25,8,312.5,14.88,137.02,10.51,22.5,13.0,137.64,31
HARDIK PANDYA,2019-04-06,14,14,100.0,15.08,140.53,10.46,22.0,10.75,176.06,14
HARDIK PANDYA,2019-04-10,19,13,146.15,15.06,139.73,10.53,25.5,13.75,201.06,23
HARDIK PANDYA,2019-04-13,28,11,254.55,15.13,139.86,10.58,22.25,13.5,180.45,38
HARDIK PANDYA,2019-04-15,37,16,231.25,15.38,142.02,10.58,21.5,11.5,203.3,47
HARDIK PANDYA,2019-04-18,32,15,213.33,15.78,143.67,10.69,24.5,13.5,182.99,42
HARDIK PANDYA,2019-04-20,23,15,153.33,16.07,144.94,10.76,29.0,13.75,211.32,27
HARDIK PANDYA,2019-04-26,23,18,127.78,16.2,145.09,10.84,30.0,14.25,213.12,23
HARDIK PANDYA,2019-04-28,91,34,267.65,16.32,144.78,10.96,28.75,16.0,181.42,121
HARDIK PANDYA,2019-05-02,18,10,180.0,17.6,146.9,11.36,42.25,20.5,190.52,24
HARDIK PANDYA,2019-05-07,13,11,118.18,17.61,147.46,11.34,38.75,19.25,182.19,13
HARDIK PANDYA,2019-05-12,16,10,160.0,17.53,146.98,11.33,36.25,18.25,173.4,20
HARDIK PANDYA,2020-09-19,14,10,140.0,17.51,147.19,11.31,34.5,16.25,181.46,18
HARDIK PANDYA,2020-09-23,18,13,138.46,17.45,147.07,11.29,15.25,10.25,149.54,22
HARDIK PANDYA,2020-09-28,15,13,115.38,17.46,146.94,11.32,15.25,11.0,139.16,15
HARDIK PANDYA,2020-10-01,30,11,272.73,17.42,146.44,11.34,15.75,11.5,138.46,40
HARDIK PANDYA,2020-10-04,28,19,147.37,17.62,148.39,11.34,19.25,11.75,166.64,36
HARDIK PANDYA,2020-10-06,30,19,157.89,17.77,148.37,11.45,22.75,14.0,168.48,38
HARDIK PANDYA,2020-10-11,0,2,0.0,17.96,148.51,11.57,25.75,15.5,173.34,0
HARDIK PANDYA,2020-10-16,21,11,190.91,17.69,146.33,11.43,22.0,12.75,144.5,27
HARDIK PANDYA,2020-10-18,8,4,200.0,17.74,146.98,11.42,19.75,12.75,124.04,14
HARDIK PANDYA,2020-10-25,60,21,285.71,17.6,147.73,11.31,14.75,9.0,137.2,78
HARDIK PANDYA,2020-10-28,17,15,113.33,18.2,149.68,11.45,22.25,9.5,169.15,17
HARDIK PANDYA,2020-11-05,37,14,264.29,18.18,149.17,11.5,26.5,12.75,197.49,47
HARDIK PANDYA,2020-11-10,3,5,60.0,18.44,150.75,11.53,30.5,13.5,215.83,3
HARDIK PANDYA,2021-04-09,13,10,130.0,18.23,149.52,11.45,29.25,13.75,180.83,17
HARDIK PANDYA,2021-04-13,15,17,88.24,18.16,149.26,11.43,17.5,11.0,141.9,15
HARDIK PANDYA,2021-04-17,7,5,140.0,18.12,148.46,11.5,17.0,11.5,135.63,11
HARDIK PANDYA,2021-04-20,0,1,0.0,17.97,148.35,11.42,9.5,9.25,104.56,0
HARDIK PANDYA,2021-04-23,1,4,25.0,17.74,146.45,11.28,8.75,8.25,89.56,1
HARDIK PANDYA,2021-05-01,16,7,228.57,17.53,144.91,11.19,5.75,6.75,63.31,22
HARDIK PANDYA,2021-09-26,3,6,50.0,17.51,145.96,11.14,6.0,4.25,98.39,3
HARDIK PANDYA,2021-09-28,40,30,133.33,17.33,144.77,11.07,5.0,4.5,75.89,48
HARDIK PANDYA,2021-10-02,17,18,94.44,17.61,144.63,11.3,15.0,11.75,109.22,17
HARDIK PANDYA,2021-10-05,5,6,83.33,17.6,144.03,11.39,19.0,15.25,126.58,5
HARDIK PANDYA,2021-10-08,10,8,125.0,17.45,143.3,11.32,16.25,15.0,90.27,10
HARDIK PANDYA,2022-03-28,33,28,117.86,17.36,143.09,11.28,18.0,15.5,109.02,37
HARDIK PANDYA,2022-04-02,31,27,114.81,17.55,142.8,11.48,16.25,15.0,105.16,35
HARDIK PANDYA,2022-04-08,27,18,150.0,17.7,142.47,11.66,19.75,17.25,110.25,35
HARDIK PANDYA,2022-04-11,50,42,119.05,17.81,142.56,11.73,25.25,20.25,126.92,54
HARDIK PANDYA,2022-04-14,87,52,167.31,18.17,142.29,12.07,35.25,28.75,125.43,115
HARDIK PANDYA,2022-04-23,67,49,136.73,18.93,142.57,12.51,48.75,34.75,137.79,83
HARDIK PANDYA,2022-04-27,10,6,166.67,19.46,142.51,12.91,57.75,40.25,143.27,14
HARDIK PANDYA,2022-04-30,3,5,60.0,19.36,142.77,12.84,53.5,37.25,147.44,3
HARDIK PANDYA,2022-05-03,1,7,14.29,19.18,141.88,12.75,41.75,28.0,132.68,1
HARDIK PANDYA,2022-05-06,24,14,171.43,18.99,140.52,12.69,20.25,16.75,94.42,30
HARDIK PANDYA,2022-05-10,11,13,84.62,19.04,140.85,12.71,9.5,8.0,103.1,11
HARDIK PANDYA,2022-05-15,7,6,116.67,18.96,140.26,12.71,9.75,9.75,82.58,7
HARDIK PANDYA,2022-05-19,62,47,131.91,18.84,140.02,12.64,10.75,10.0,96.75,78
HARDIK PANDYA,2022-05-24,40,27,148.15,19.28,139.94,12.99,26.0,20.0,126.16,48
HARDIK PANDYA,2022-05-29,34,30,113.33,19.48,140.02,13.13,30.0,23.25,120.34,38
HARDIK PANDYA,2023-03-31,8,11,72.73,19.63,139.75,13.3,35.75,27.5,127.51,8
HARDIK PANDYA,2023-04-04,5,4,125.0,19.51,139.09,13.28,36.0,28.75,116.53,5
HARDIK PANDYA,2023-04-13,8,11,72.73,19.37,138.95,13.19,21.75,18.0,114.8,8
HARDIK PANDYA,2023-04-16,28,19,147.37,19.26,138.31,13.17,13.75,14.0,95.95,36
HARDIK PANDYA,2023-04-22,66,50,132.0,19.35,138.4,13.22,12.25,11.25,104.46,82
HARDIK PANDYA,2023-04-25,13,14,92.86,19.79,138.34,13.57,26.75,21.0,119.27,13
HARDIK PANDYA,2023-04-29,26,20,130.0,19.73,137.91,13.58,28.75,23.5,111.24,34
HARDIK PANDYA,2023-05-02,59,53,111.32,19.79,137.83,13.64,33.25,25.75,125.56,71
HARDIK PANDYA,2023-05-05,39,15,260.0,20.15,137.59,14.0,41.0,34.25,116.54,49
HARDIK PANDYA,2023-05-07,25,15,166.67,20.32,138.71,14.01,34.25,25.5,148.54,29
HARDIK PANDYA,2023-05-12,4,3,133.33,20.36,138.96,14.02,37.25,25.75,167.0,8
HARDIK PANDYA,2023-05-15,8,6,133.33,20.22,138.91,13.92,31.75,21.5,167.83,12
HARDIK PANDYA,2023-05-23,8,7,114.29,20.11,138.86,13.85,19.0,9.75,173.33,8
HARDIK PANDYA,2023-05-26,28,13,215.38,20.0,138.65,13.79,11.25,7.75,136.9,38
HARDIK PANDYA,2023-05-29,21,12,175.0,20.07,139.32,13.78,12.0,7.25,149.08,27
HARDIK PANDYA,2024-03-24,11,4,275.0,20.08,139.63,13.77,16.25,9.5,159.5,17
HARDIK PANDYA,2024-03-27,24,20,120.0,20.0,140.8,13.68,17.0,9.0,194.92,24
