Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
HEINRICH KLAASEN,2018-04-20,7,7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7
HEINRICH KLAASEN,2018-04-22,0,1,0.0,7.0,100.0,7.0,7.0,7.0,100.0,0
HEINRICH KLAASEN,2018-05-19,32,21,152.38,3.5,50.0,4.0,3.5,4.0,50.0,40
HEINRICH KLAASEN,2018-05-23,18,18,100.0,13.0,84.13,9.67,13.0,9.67,84.13,18
HEINRICH KLAASEN,2019-04-28,3,3,100.0,14.25,88.1,11.75,14.25,11.75,88.1,3
HEINRICH KLAASEN,2019-04-30,6,7,85.71,12.0,90.48,10.0,13.25,10.75,88.1,6
HEINRICH KLAASEN,2023-04-14,16,6,266.67,11.0,89.68,9.5,14.75,12.25,109.52,22
HEINRICH KLAASEN,2023-04-18,36,16,225.0,11.71,114.97,9.0,10.75,8.5,138.1,46
HEINRICH KLAASEN,2023-04-21,17,16,106.25,14.75,128.72,9.88,15.25,8.0,169.34,17
HEINRICH KLAASEN,2023-04-24,31,19,163.16,15.0,126.22,10.56,18.75,11.25,170.91,39
HEINRICH KLAASEN,2023-04-29,53,27,196.3,16.6,129.92,11.4,25.0,14.25,190.27,71
HEINRICH KLAASEN,2023-05-04,36,20,180.0,19.91,135.95,12.82,34.25,19.5,172.68,46
HEINRICH KLAASEN,2023-05-07,26,12,216.67,21.25,139.62,13.42,34.25,20.5,161.43,36
HEINRICH KLAASEN,2023-05-13,47,29,162.07,21.62,145.55,13.31,36.5,19.5,189.03,55
HEINRICH KLAASEN,2023-05-15,64,44,145.45,23.43,146.73,14.43,40.5,22.0,188.76,80
HEINRICH KLAASEN,2023-05-18,104,51,203.92,26.13,146.64,16.4,43.25,26.25,176.05,150
HEINRICH KLAASEN,2023-05-21,18,13,138.46,31.0,150.22,18.56,60.25,34.0,182.03,22
HEINRICH KLAASEN,2024-03-23,63,29,217.24,30.24,149.53,18.24,58.25,34.25,162.48,81
HEINRICH KLAASEN,2024-03-27,80,34,235.29,32.06,153.29,18.83,62.25,34.25,176.27,110
HEINRICH KLAASEN,2024-03-31,24,13,184.62,34.58,157.61,19.63,66.25,31.75,198.73,30
HEINRICH KLAASEN,2024-04-05,10,11,90.91,34.05,158.96,19.3,46.25,22.25,193.9,10
HEINRICH KLAASEN,2024-04-09,9,9,100.0,32.9,155.72,18.9,44.25,21.75,182.02,9
HEINRICH KLAASEN,2024-04-15,67,31,216.13,31.82,153.19,18.45,30.75,16.75,152.7,85
HEINRICH KLAASEN,2024-04-20,15,8,187.5,33.35,155.92,19.0,27.5,16.0,147.92,21
HEINRICH KLAASEN,2024-04-25,7,3,233.33,32.58,157.24,18.54,25.25,14.75,148.64,13
HEINRICH KLAASEN,2024-04-28,20,21,95.24,31.56,160.28,17.92,24.5,12.75,184.24,20
HEINRICH KLAASEN,2024-05-02,42,19,221.05,31.12,157.78,18.04,27.25,15.75,183.05,52
HEINRICH KLAASEN,2024-05-06,2,4,50.0,31.52,160.12,18.07,21.0,12.75,184.28,2
HEINRICH KLAASEN,2024-05-19,42,26,161.54,30.46,156.19,17.57,17.75,11.75,149.9,50
HEINRICH KLAASEN,2024-05-21,32,21,152.38,30.86,156.38,17.86,26.5,17.5,131.96,40
HEINRICH KLAASEN,2024-05-24,50,34,147.06,30.9,156.24,17.97,29.5,17.5,146.24,58
HEINRICH KLAASEN,2024-05-26,16,17,94.12,31.52,155.95,18.48,31.5,21.25,127.74,16
HEINRICH KLAASEN,2025-03-23,34,14,242.86,31.03,154.01,18.44,35.0,24.5,138.78,44
HEINRICH KLAASEN,2025-03-27,26,17,152.94,31.12,156.71,18.3,33.0,21.5,159.11,34
HEINRICH KLAASEN,2025-03-30,32,19,168.42,30.97,156.6,18.26,31.5,20.5,159.24,40
HEINRICH KLAASEN,2025-04-03,33,21,157.14,31.0,156.93,18.29,27.0,16.75,164.58,41
HEINRICH KLAASEN,2025-04-06,27,19,142.11,31.06,156.94,18.36,31.25,17.75,180.34,35
HEINRICH KLAASEN,2025-04-12,21,14,150.0,30.95,156.54,18.38,29.5,19.0,155.15,25
HEINRICH KLAASEN,2025-04-17,37,28,132.14,30.68,156.37,18.26,28.25,18.25,154.42,45
HEINRICH KLAASEN,2025-04-23,71,44,161.36,30.85,155.75,18.51,29.5,20.5,145.35,87
