Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
ISHANT SHARMA,2008-04-26,4,3,133.33,0.0,0.0,0.0,0.0,0.0,0.0,8
ISHANT SHARMA,2008-04-29,0,0,,4.0,133.33,3.0,4.0,3.0,133.33,0
ISHANT SHARMA,2008-05-01,1,1,100.0,2.0,133.33,1.5,2.0,1.5,133.33,1
ISHANT SHARMA,2008-05-16,4,5,80.0,1.67,116.66,1.33,1.67,1.33,116.66,4
ISHANT SHARMA,2008-05-20,2,1,200.0,2.25,104.44,2.25,2.25,2.25,104.44,8
ISHANT SHARMA,2008-05-25,0,1,0.0,2.2,128.33,2.0,1.75,1.75,126.67,0
ISHANT SHARMA,2009-04-19,9,9,100.0,1.83,102.67,1.83,1.75,2.0,95.0,9
ISHANT SHARMA,2009-04-23,1,1,100.0,2.86,102.22,2.86,3.75,4.0,95.0,1
ISHANT SHARMA,2009-04-27,6,3,200.0,2.62,101.9,2.62,3.0,3.0,100.0,12
ISHANT SHARMA,2010-03-16,6,15,40.0,3.0,114.17,2.67,4.0,3.5,100.0,6
ISHANT SHARMA,2010-04-10,0,2,0.0,3.3,105.93,3.9,5.5,7.0,110.0,0
ISHANT SHARMA,2011-04-09,1,1,100.0,3.0,95.33,3.73,3.25,5.25,85.0,1
ISHANT SHARMA,2011-04-11,1,1,100.0,2.83,95.76,3.5,3.25,5.25,85.0,1
ISHANT SHARMA,2011-04-24,1,2,50.0,2.69,96.11,3.31,2.0,4.75,60.0,1
ISHANT SHARMA,2011-05-01,1,1,100.0,2.57,92.56,3.21,0.75,1.5,62.5,1
ISHANT SHARMA,2011-05-10,0,0,,2.47,93.1,3.07,1.0,1.25,87.5,0
ISHANT SHARMA,2013-04-27,0,0,,2.31,93.1,2.88,0.75,1.0,83.33,0
ISHANT SHARMA,2013-05-08,0,0,,2.18,93.1,2.71,0.5,0.75,75.0,0
ISHANT SHARMA,2016-04-22,0,0,,2.06,93.1,2.56,0.25,0.25,100.0,0
ISHANT SHARMA,2017-04-17,2,5,40.0,1.95,93.1,2.42,0.0,0.0,0.0,2
ISHANT SHARMA,2017-04-28,5,2,250.0,1.95,89.56,2.55,0.5,1.25,40.0,11
ISHANT SHARMA,2017-05-14,1,5,20.0,2.1,99.58,2.52,1.75,1.75,145.0,1
ISHANT SHARMA,2019-04-04,0,0,,2.05,94.9,2.64,2.0,3.0,103.33,0
ISHANT SHARMA,2019-04-18,0,0,,1.96,94.9,2.52,2.0,3.0,103.33,0
ISHANT SHARMA,2019-05-10,10,3,333.33,1.88,94.9,2.42,1.5,1.75,135.0,16
ISHANT SHARMA,2023-04-24,1,1,100.0,2.2,108.15,2.44,2.75,2.0,176.66,1
ISHANT SHARMA,2024-04-03,1,3,33.33,2.15,107.72,2.38,2.75,1.0,216.66,1
ISHANT SHARMA,2024-05-12,0,4,0.0,2.11,104.0,2.41,3.0,1.75,155.55,0
