Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
JAKE FRASER-MCGURK,2024-04-12,55,35,157.14,0.0,0.0,0.0,0.0,0.0,0.0,71
JAKE FRASER-MCGURK,2024-04-17,20,10,200.0,55.0,157.14,35.0,55.0,35.0,157.14,26
JAKE FRASER-MCGURK,2024-04-20,65,18,361.11,37.5,178.57,22.5,37.5,22.5,178.57,83
JAKE FRASER-MCGURK,2024-04-24,23,14,164.29,46.67,239.42,21.0,46.67,21.0,239.42,27
JAKE FRASER-MCGURK,2024-04-27,84,27,311.11,40.75,220.64,19.25,40.75,19.25,220.64,114
JAKE FRASER-MCGURK,2024-04-29,12,7,171.43,49.4,238.73,20.8,48.0,17.25,259.13,18
JAKE FRASER-MCGURK,2024-05-07,50,20,250.0,43.17,227.51,18.5,46.0,16.5,251.98,60
JAKE FRASER-MCGURK,2024-05-12,21,8,262.5,44.14,230.73,18.71,42.25,17.0,224.21,27
JAKE FRASER-MCGURK,2024-05-14,0,2,0.0,41.25,234.7,17.38,41.75,15.5,248.76,0
JAKE FRASER-MCGURK,2025-03-24,1,2,50.0,36.67,208.62,15.67,20.75,9.25,170.98,1
JAKE FRASER-MCGURK,2025-03-30,38,32,118.75,33.1,192.76,14.3,18.0,8.0,140.62,42
JAKE FRASER-MCGURK,2025-04-05,0,5,0.0,33.55,186.03,15.91,15.0,11.0,107.81,0
JAKE FRASER-MCGURK,2025-04-10,7,6,116.67,30.75,170.53,15.0,9.75,10.25,42.19,7
JAKE FRASER-MCGURK,2025-04-13,0,1,0.0,28.92,166.38,14.31,11.5,11.25,71.36,0
JAKE FRASER-MCGURK,2025-04-16,9,6,150.0,26.86,154.5,13.36,11.25,11.0,58.86,13
