Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
JAYDEV UNADKAT,2013-04-07,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
JAYDEV UNADKAT,2013-05-12,1,1,100.0,1.0,100.0,1.0,1.0,1.0,100.0,1
JAYDEV UNADKAT,2014-04-21,1,5,20.0,1.0,100.0,1.0,1.0,1.0,100.0,1
JAYDEV UNADKAT,2014-05-25,0,1,0.0,1.0,73.33,2.33,1.0,2.33,73.33,0
JAYDEV UNADKAT,2017-04-16,2,5,40.0,0.75,55.0,2.0,0.75,2.0,55.0,2
JAYDEV UNADKAT,2017-05-06,0,0,,1.0,52.0,2.6,1.0,3.0,40.0,0
JAYDEV UNADKAT,2018-04-09,1,2,50.0,0.83,52.0,2.17,0.75,2.75,20.0,1
JAYDEV UNADKAT,2018-04-18,0,0,,0.86,51.67,2.14,0.75,2.0,30.0,0
JAYDEV UNADKAT,2018-04-20,16,10,160.0,0.75,51.67,1.88,0.75,1.75,45.0,20
JAYDEV UNADKAT,2018-04-22,0,0,,2.44,67.14,2.78,4.25,3.0,105.0,0
JAYDEV UNADKAT,2018-05-06,6,7,85.71,2.2,67.14,2.5,4.25,3.0,105.0,6
JAYDEV UNADKAT,2018-05-08,0,1,0.0,2.55,69.46,2.91,5.5,4.25,122.85,0
JAYDEV UNADKAT,2018-05-15,26,18,144.44,2.33,61.75,2.75,5.5,4.5,81.9,34
JAYDEV UNADKAT,2019-03-25,1,2,50.0,4.15,70.02,3.92,8.0,6.5,76.72,1
JAYDEV UNADKAT,2019-03-31,0,0,,3.93,68.2,3.79,8.25,7.0,70.04,0
JAYDEV UNADKAT,2019-04-16,0,0,,3.67,68.2,3.53,6.75,5.25,64.81,0
JAYDEV UNADKAT,2019-04-25,0,1,0.0,3.44,68.2,3.31,6.75,5.0,97.22,0
JAYDEV UNADKAT,2020-09-30,9,13,69.23,3.24,62.51,3.18,0.25,0.75,25.0,9
JAYDEV UNADKAT,2021-04-15,11,7,157.14,3.56,63.03,3.72,2.25,3.5,34.62,15
JAYDEV UNADKAT,2021-04-19,24,17,141.18,3.95,69.75,3.89,5.0,5.25,75.46,28
JAYDEV UNADKAT,2021-10-07,6,5,120.0,4.95,74.51,4.55,11.0,9.5,91.89,6
JAYDEV UNADKAT,2022-04-09,13,14,92.86,5.0,77.36,4.57,12.5,10.5,121.89,13
JAYDEV UNADKAT,2022-04-13,12,7,171.43,5.36,78.27,5.0,13.5,10.75,127.8,18
JAYDEV UNADKAT,2022-04-16,14,6,233.33,5.65,83.44,5.09,13.75,10.75,131.37,20
JAYDEV UNADKAT,2022-04-21,19,9,211.11,6.0,91.33,5.12,11.25,8.0,154.4,25
JAYDEV UNADKAT,2022-04-24,1,1,100.0,6.52,97.32,5.28,14.5,9.0,177.18,1
JAYDEV UNADKAT,2023-04-10,9,7,128.57,6.31,97.45,5.12,11.5,5.75,178.97,9
JAYDEV UNADKAT,2024-04-09,6,1,600.0,6.41,98.86,5.19,10.75,5.75,168.25,12
JAYDEV UNADKAT,2024-04-25,8,10,80.0,6.39,120.65,5.04,8.75,4.5,259.92,8
JAYDEV UNADKAT,2024-04-28,1,2,50.0,6.45,118.96,5.21,6.0,4.75,227.14,1
JAYDEV UNADKAT,2024-05-24,5,2,250.0,6.27,116.2,5.1,6.0,5.0,214.64,11
JAYDEV UNADKAT,2024-05-26,4,11,36.36,6.23,121.35,5.0,5.0,3.75,245.0,4
