Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
JITESH SHARMA,2022-04-03,26,17,152.94,0.0,0.0,0.0,0.0,0.0,0.0,34
JITESH SHARMA,2022-04-08,23,11,209.09,26.0,152.94,17.0,26.0,17.0,152.94,29
JITESH SHARMA,2022-04-13,30,15,200.0,24.5,181.02,14.0,24.5,14.0,181.02,40
JITESH SHARMA,2022-04-17,11,8,137.5,26.33,187.34,14.33,26.33,14.33,187.34,15
JITESH SHARMA,2022-04-20,32,23,139.13,22.5,174.88,12.75,22.5,12.75,174.88,40
JITESH SHARMA,2022-04-29,2,5,40.0,24.4,167.73,14.8,24.0,14.25,171.43,2
JITESH SHARMA,2022-05-07,38,18,211.11,20.67,146.44,13.17,18.75,12.75,129.16,48
JITESH SHARMA,2022-05-13,9,5,180.0,23.14,155.68,13.86,20.75,13.5,131.94,15
JITESH SHARMA,2022-05-16,44,34,129.41,21.38,158.72,12.75,20.25,12.75,142.56,48
JITESH SHARMA,2022-05-22,19,7,271.43,23.89,155.46,15.11,23.25,15.5,140.13,25
JITESH SHARMA,2023-04-01,21,11,190.91,23.4,167.06,14.3,27.5,16.0,197.99,27
JITESH SHARMA,2023-04-05,27,16,168.75,23.18,169.23,14.0,23.25,14.25,192.94,35
JITESH SHARMA,2023-04-09,4,9,44.44,23.5,169.19,14.17,27.75,17.0,190.12,4
JITESH SHARMA,2023-04-13,25,23,108.7,22.0,159.59,13.77,17.75,10.75,168.88,25
JITESH SHARMA,2023-04-15,2,4,50.0,22.21,155.96,14.43,19.25,14.75,128.2,2
JITESH SHARMA,2023-04-20,41,27,151.85,20.87,148.89,13.73,14.5,13.0,92.97,49
JITESH SHARMA,2023-04-22,25,7,357.14,22.12,149.08,14.56,18.0,15.75,88.75,31
JITESH SHARMA,2023-04-28,24,10,240.0,22.29,161.32,14.12,23.25,15.25,166.92,30
JITESH SHARMA,2023-04-30,21,10,210.0,22.39,165.69,13.89,23.0,12.0,199.75,27
JITESH SHARMA,2023-05-03,49,27,181.48,22.32,168.02,13.68,27.75,13.5,239.75,59
JITESH SHARMA,2023-05-08,21,18,116.67,23.65,168.69,14.35,29.75,13.5,247.16,21
JITESH SHARMA,2023-05-13,5,5,100.0,23.52,166.22,14.52,28.75,16.25,187.04,5
JITESH SHARMA,2023-05-17,0,3,0.0,22.68,163.21,14.09,24.0,15.0,152.04,0
JITESH SHARMA,2023-05-19,44,28,157.14,21.7,156.11,13.61,18.75,13.25,99.54,52
JITESH SHARMA,2024-03-23,9,9,100.0,22.62,156.15,14.21,17.5,13.5,93.45,9
JITESH SHARMA,2024-03-25,27,20,135.0,22.08,153.91,14.0,14.5,11.25,89.28,35
JITESH SHARMA,2024-03-30,6,9,66.67,22.27,153.18,14.23,20.0,15.0,98.04,6
JITESH SHARMA,2024-04-04,16,8,200.0,21.67,149.98,14.04,21.5,16.5,114.7,22
JITESH SHARMA,2024-04-09,19,11,172.73,21.46,151.76,13.82,14.5,11.5,125.42,25
JITESH SHARMA,2024-04-13,29,24,120.83,21.38,152.49,13.72,17.0,12.0,143.6,33
JITESH SHARMA,2024-04-18,9,9,100.0,21.63,151.43,14.07,17.5,13.0,140.06,9
JITESH SHARMA,2024-04-21,13,12,108.33,21.23,149.77,13.9,18.25,13.0,148.39,13
JITESH SHARMA,2024-05-05,0,1,0.0,20.97,148.48,13.84,17.5,14.0,125.47,0
JITESH SHARMA,2024-05-09,5,4,125.0,20.33,143.98,13.45,12.75,11.5,82.29,5
JITESH SHARMA,2024-05-15,22,20,110.0,19.88,143.42,13.18,6.75,6.5,83.33,22
JITESH SHARMA,2024-05-19,32,15,213.33,19.94,142.46,13.37,10.0,9.25,85.83,42
JITESH SHARMA,2025-03-28,12,6,200.0,20.28,144.43,13.42,14.75,10.0,112.08,18
JITESH SHARMA,2025-04-02,33,21,157.14,20.05,145.93,13.22,17.75,11.25,162.08,41
JITESH SHARMA,2025-04-07,40,19,210.53,20.39,146.23,13.42,24.75,15.5,170.12,50
JITESH SHARMA,2025-04-10,3,11,27.27,20.9,147.88,13.56,29.25,15.25,195.25,3
JITESH SHARMA,2025-04-18,2,7,28.57,20.45,144.86,13.5,22.0,14.25,148.73,2
JITESH SHARMA,2025-04-20,11,8,137.5,20.0,142.03,13.34,19.5,14.5,105.88,15
JITESH SHARMA,2025-04-24,20,10,200.0,19.79,141.92,13.21,14.0,11.25,100.97,26
JITESH SHARMA,2025-05-03,7,8,87.5,19.79,143.27,13.14,9.0,9.0,98.33,7
JITESH SHARMA,2025-05-23,24,15,160.0,19.5,142.0,13.02,10.0,8.25,113.39,28
JITESH SHARMA,2025-05-27,85,33,257.58,19.6,142.4,13.07,15.5,10.25,146.25,115
