Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
JOFRA ARCHER,2018-04-22,8,9,88.89,0.0,0.0,0.0,0.0,0.0,0.0,8
JOFRA ARCHER,2018-04-29,1,1,100.0,8.0,88.89,9.0,8.0,9.0,88.89,1
JOFRA ARCHER,2018-05-02,0,0,,4.5,94.44,5.0,4.5,5.0,94.44,0
JOFRA ARCHER,2018-05-06,0,1,0.0,3.0,94.44,3.33,3.0,3.33,94.44,0
JOFRA ARCHER,2018-05-08,0,1,0.0,2.25,62.96,2.75,2.25,2.75,62.96,0
JOFRA ARCHER,2018-05-11,0,0,,1.8,47.22,2.4,0.25,0.75,33.33,0
JOFRA ARCHER,2018-05-15,6,5,120.0,1.5,47.22,2.0,0.0,0.5,0.0,6
JOFRA ARCHER,2018-05-19,0,4,0.0,2.14,61.78,2.43,1.5,1.75,40.0,0
JOFRA ARCHER,2019-03-25,2,2,100.0,1.88,51.48,2.62,1.5,2.5,40.0,2
JOFRA ARCHER,2019-03-31,24,11,218.18,1.89,58.41,2.56,2.0,2.75,73.33,30
JOFRA ARCHER,2019-04-11,13,12,108.33,4.1,78.38,3.4,8.0,5.5,109.54,13
JOFRA ARCHER,2019-04-16,1,3,33.33,4.91,81.71,4.18,9.75,7.25,106.63,1
JOFRA ARCHER,2019-04-25,27,12,225.0,4.58,76.87,4.08,10.0,7.0,114.96,37
JOFRA ARCHER,2020-09-22,27,8,337.5,6.31,90.34,4.69,16.25,9.5,146.21,37
JOFRA ARCHER,2020-09-27,13,3,433.33,7.79,110.94,4.93,17.0,8.75,176.04,19
JOFRA ARCHER,2020-09-30,6,4,150.0,8.13,135.74,4.8,17.0,6.5,257.29,10
JOFRA ARCHER,2020-10-03,16,10,160.0,8.0,136.75,4.75,18.25,6.75,286.46,20
JOFRA ARCHER,2020-10-06,24,11,218.18,8.47,138.3,5.06,15.5,6.25,270.21,30
JOFRA ARCHER,2020-10-09,2,4,50.0,9.33,143.3,5.39,14.75,7.0,240.38,2
JOFRA ARCHER,2020-10-14,1,4,25.0,8.95,137.81,5.32,12.0,7.25,144.55,1
JOFRA ARCHER,2020-10-17,2,3,66.67,8.55,131.54,5.25,10.75,7.25,113.3,2
JOFRA ARCHER,2020-10-22,16,7,228.57,8.24,128.13,5.14,7.25,5.5,89.96,22
JOFRA ARCHER,2020-11-01,6,9,66.67,8.59,133.15,5.23,5.25,4.5,92.56,6
JOFRA ARCHER,2023-04-22,1,2,50.0,8.48,129.98,5.39,6.25,5.75,96.73,1
JOFRA ARCHER,2023-05-06,3,2,150.0,8.17,126.35,5.25,6.25,5.25,102.98,7
JOFRA ARCHER,2025-03-23,1,1,100.0,7.96,127.38,5.12,6.5,5.0,123.81,1
JOFRA ARCHER,2025-03-26,16,7,228.57,7.69,126.24,4.96,2.75,3.5,91.67,22
JOFRA ARCHER,2025-03-30,0,2,0.0,8.0,130.33,5.04,5.25,3.0,132.14,0
JOFRA ARCHER,2025-04-09,4,4,100.0,7.71,125.32,4.93,5.0,3.0,119.64,4
