Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
JOS BUTTLER,2016-04-09,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JOS BUTTLER,2016-04-13,41,22,186.36,0.0,0.0,2.0,0.0,2.0,0.0,51
JOS BUTTLER,2016-04-16,16,21,76.19,20.5,93.18,12.0,20.5,12.0,93.18,16
JOS BUTTLER,2016-04-18,11,11,100.0,19.0,87.52,15.0,19.0,15.0,87.52,11
JOS BUTTLER,2016-04-20,28,14,200.0,17.0,90.64,14.0,17.0,14.0,90.64,38
JOS BUTTLER,2016-04-23,2,6,33.33,19.2,112.51,14.0,24.0,17.0,140.64,2
JOS BUTTLER,2016-04-25,24,13,184.62,16.33,99.31,12.67,14.25,13.0,102.38,30
JOS BUTTLER,2016-04-28,15,15,100.0,17.43,111.5,12.71,16.25,11.0,129.49,15
JOS BUTTLER,2016-05-01,27,17,158.82,17.12,110.06,13.0,17.25,12.0,129.49,35
JOS BUTTLER,2016-05-08,2,2,100.0,18.22,115.48,13.44,17.0,12.75,119.19,2
JOS BUTTLER,2016-05-11,29,11,263.64,16.6,113.93,12.3,17.0,11.75,135.86,39
JOS BUTTLER,2016-05-13,9,10,90.0,17.73,127.54,12.18,18.25,11.25,155.62,9
JOS BUTTLER,2016-05-15,18,9,200.0,17.0,124.41,12.0,16.75,10.0,153.12,24
JOS BUTTLER,2016-05-21,33,31,106.45,17.08,130.23,11.77,14.5,8.0,163.41,37
JOS BUTTLER,2017-04-06,38,19,200.0,18.21,128.53,13.14,22.25,15.25,165.02,48
JOS BUTTLER,2017-04-09,28,22,127.27,19.53,133.29,13.53,24.5,17.25,149.11,32
JOS BUTTLER,2017-04-12,14,11,127.27,20.06,132.92,14.06,29.25,20.25,158.43,14
JOS BUTTLER,2017-04-14,2,5,40.0,19.71,132.59,13.88,28.25,20.75,140.25,2
JOS BUTTLER,2017-04-16,26,24,108.33,18.72,127.44,13.39,20.5,14.25,123.64,30
JOS BUTTLER,2017-04-20,77,37,208.11,19.11,126.44,13.95,17.5,15.5,100.72,107
JOS BUTTLER,2017-04-22,28,18,155.56,22.0,130.52,15.1,29.75,19.25,120.93,36
JOS BUTTLER,2017-04-24,17,13,130.77,22.29,131.71,15.24,33.25,21.0,128.0,21
JOS BUTTLER,2017-04-29,9,7,128.57,22.05,131.67,15.14,37.0,23.0,150.69,9
JOS BUTTLER,2017-05-01,33,21,157.14,21.48,131.53,14.78,32.75,18.75,155.75,41
JOS BUTTLER,2018-04-09,6,9,66.67,21.96,132.6,15.04,21.75,14.75,143.01,6
JOS BUTTLER,2018-04-11,29,18,161.11,21.32,129.96,14.8,16.25,12.5,120.79,37
JOS BUTTLER,2018-04-15,23,14,164.29,21.62,131.16,14.92,19.25,13.75,128.37,27
JOS BUTTLER,2018-04-18,24,18,133.33,21.67,132.39,14.89,22.75,15.5,137.3,28
JOS BUTTLER,2018-04-20,22,17,129.41,21.75,132.42,15.0,20.5,14.75,131.35,22
JOS BUTTLER,2018-04-22,6,8,75.0,21.76,132.32,15.07,24.5,16.75,147.04,6
JOS BUTTLER,2018-04-29,10,11,90.91,21.23,130.41,14.83,18.75,14.25,125.51,10
JOS BUTTLER,2018-05-02,67,26,257.69,20.87,129.13,14.71,15.5,13.5,107.16,85
JOS BUTTLER,2018-05-06,51,39,130.77,22.31,133.15,15.06,26.25,15.5,138.25,67
