Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
JOSH INGLIS,2025-04-15,2,6,33.33,0.0,0.0,0.0,0.0,0.0,0.0,2
JOSH INGLIS,2025-04-18,14,17,82.35,2.0,33.33,6.0,2.0,6.0,33.33,14
JOSH INGLIS,2025-04-20,29,17,170.59,8.0,57.84,11.5,8.0,11.5,57.84,39
JOSH INGLIS,2025-04-26,11,6,183.33,15.0,95.42,13.33,15.0,13.33,95.42,17
JOSH INGLIS,2025-04-30,6,6,100.0,14.0,117.4,11.5,14.0,11.5,117.4,6
JOSH INGLIS,2025-05-04,30,14,214.29,12.4,113.92,10.4,15.0,11.5,134.07,40
JOSH INGLIS,2025-05-24,32,12,266.67,15.33,130.65,11.0,19.0,10.75,167.05,42
JOSH INGLIS,2025-05-26,73,42,173.81,17.71,150.08,11.14,19.75,9.5,191.07,91
JOSH INGLIS,2025-05-29,4,7,57.14,24.62,153.05,15.0,35.25,18.5,188.69,4
JOSH INGLIS,2025-06-01,38,21,180.95,22.33,142.39,14.11,34.75,18.75,177.98,48
