Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
KARN SHARMA,2009-04-22,1,3,33.33,0.0,0.0,0.0,0.0,0.0,0.0,1
KARN SHARMA,2013-04-14,5,9,55.56,1.0,33.33,3.0,1.0,3.0,33.33,5
KARN SHARMA,2013-04-17,7,13,53.85,3.0,44.44,6.0,3.0,6.0,44.44,7
KARN SHARMA,2013-04-27,6,8,75.0,4.33,47.58,8.33,4.33,8.33,47.58,6
KARN SHARMA,2013-05-08,39,33,118.18,4.75,54.44,8.25,4.75,8.25,54.44,43
KARN SHARMA,2013-05-11,22,18,122.22,11.6,67.18,13.2,14.25,15.75,75.65,22
KARN SHARMA,2013-05-17,4,3,133.33,13.33,76.36,14.0,18.5,18.0,92.31,8
KARN SHARMA,2013-05-22,2,2,100.0,12.0,84.5,12.43,17.75,15.5,112.18,2
KARN SHARMA,2014-04-18,4,5,80.0,10.75,86.43,11.12,16.75,14.0,118.43,4
KARN SHARMA,2014-04-22,10,8,125.0,10.0,85.72,10.44,8.0,7.0,108.89,10
KARN SHARMA,2014-04-27,17,7,242.86,10.0,89.65,10.2,5.0,4.5,109.58,23
KARN SHARMA,2014-05-04,1,1,100.0,10.64,103.58,9.91,8.25,5.5,136.96,1
KARN SHARMA,2014-05-08,0,1,0.0,9.83,103.28,9.17,8.0,5.25,136.96,0
KARN SHARMA,2014-05-14,1,1,100.0,9.08,95.33,8.54,7.0,4.25,116.96,1
KARN SHARMA,2014-05-18,4,4,100.0,8.5,95.67,8.0,4.75,2.5,110.72,4
KARN SHARMA,2014-05-24,5,2,250.0,8.2,95.96,7.73,1.5,1.75,75.0,11
KARN SHARMA,2015-04-11,4,6,66.67,8.0,105.58,7.38,2.5,2.0,112.5,4
KARN SHARMA,2015-04-18,19,10,190.0,7.76,103.29,7.29,3.5,3.25,129.17,25
KARN SHARMA,2015-04-25,2,5,40.0,8.39,108.11,7.44,8.0,5.5,151.67,2
KARN SHARMA,2015-04-27,1,1,100.0,8.05,104.53,7.32,7.5,5.75,136.67,1
KARN SHARMA,2015-05-02,4,2,200.0,7.7,104.3,7.0,6.5,5.5,99.17,10
KARN SHARMA,2015-05-04,32,20,160.0,7.52,108.86,6.76,6.5,4.5,132.5,40
KARN SHARMA,2015-05-09,16,13,123.08,8.64,111.18,7.36,9.75,7.0,125.0,16
KARN SHARMA,2015-05-11,11,7,157.14,8.96,111.7,7.61,13.25,9.0,145.77,15
KARN SHARMA,2015-05-17,15,21,71.43,9.04,113.59,7.58,15.75,10.5,160.06,15
KARN SHARMA,2016-04-12,26,17,152.94,9.28,111.91,8.12,18.5,15.25,127.91,34
KARN SHARMA,2016-04-16,2,2,100.0,9.92,113.48,8.46,17.0,14.5,126.15,2
KARN SHARMA,2016-05-22,8,11,72.73,9.63,112.98,8.22,13.5,11.75,120.38,8
KARN SHARMA,2017-04-24,11,10,110.0,9.57,111.55,8.32,12.75,12.75,99.28,11
KARN SHARMA,2017-05-01,9,8,112.5,9.62,111.49,8.38,11.75,10.0,108.92,9
KARN SHARMA,2017-05-08,5,5,100.0,9.6,111.53,8.37,7.5,7.75,98.81,5
KARN SHARMA,2017-05-11,19,6,316.67,9.45,111.16,8.26,8.25,8.5,98.81,25
KARN SHARMA,2017-05-16,4,7,57.14,9.75,117.58,8.19,11.0,7.25,159.79,4
KARN SHARMA,2017-05-21,1,5,20.0,9.58,115.75,8.15,9.25,6.5,146.58,1
KARN SHARMA,2018-05-03,0,0,,9.32,112.93,8.06,7.25,5.75,123.45,0
KARN SHARMA,2023-04-06,1,3,33.33,9.06,112.93,7.83,6.0,4.5,131.27,1
KARN SHARMA,2023-05-01,2,2,100.0,8.83,110.66,7.69,1.5,3.75,36.82,2
KARN SHARMA,2024-04-21,20,7,285.71,8.65,110.36,7.54,1.0,2.5,51.11,26
KARN SHARMA,2024-05-12,6,4,150.0,8.95,115.1,7.53,5.75,3.0,139.68,10
KARN SHARMA,2024-05-22,5,4,125.0,8.87,116.02,7.44,7.25,4.0,142.26,5
KARN SHARMA,2025-05-06,1,1,100.0,8.78,116.25,7.35,8.25,4.25,165.18,1
