Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
KL RAHUL,2013-04-16,12,12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12
KL RAHUL,2013-05-14,8,4,200.0,12.0,100.0,12.0,12.0,12.0,100.0,14
KL RAHUL,2014-04-18,20,18,111.11,10.0,150.0,8.0,10.0,8.0,150.0,20
KL RAHUL,2014-04-22,27,27,100.0,13.33,137.04,11.33,13.33,11.33,137.04,31
KL RAHUL,2014-04-27,25,27,92.59,16.75,127.78,15.25,16.75,15.25,127.78,25
KL RAHUL,2014-04-30,46,40,115.0,18.4,120.74,17.6,20.0,19.0,125.92,50
KL RAHUL,2014-05-04,6,6,100.0,23.0,119.78,21.33,29.5,28.0,104.68,6
KL RAHUL,2014-05-08,18,18,100.0,20.57,116.96,19.14,26.0,25.0,101.9,18
KL RAHUL,2014-05-12,10,13,76.92,20.25,114.84,19.0,23.75,22.75,101.9,10
KL RAHUL,2014-05-18,14,15,93.33,19.11,110.62,18.33,20.0,19.25,97.98,14
KL RAHUL,2015-04-11,5,8,62.5,18.6,108.9,18.0,12.0,13.0,92.56,5
KL RAHUL,2015-04-13,44,28,157.14,17.36,104.68,17.09,11.75,13.5,83.19,52
KL RAHUL,2015-04-16,2,5,40.0,19.58,109.05,18.0,18.25,16.0,97.47,2
KL RAHUL,2015-04-18,24,21,114.29,18.23,103.74,17.0,16.25,14.0,88.24,24
KL RAHUL,2015-04-22,0,3,0.0,18.64,104.49,17.29,18.75,15.5,93.48,0
KL RAHUL,2015-04-25,25,27,92.59,17.4,97.53,16.33,17.5,14.25,77.86,25
KL RAHUL,2015-05-11,17,10,170.0,17.88,97.22,17.0,12.75,14.0,61.72,21
KL RAHUL,2015-05-17,25,24,104.17,17.82,101.5,16.59,16.5,15.25,94.22,25
KL RAHUL,2016-04-20,23,14,164.29,18.22,101.65,17.0,16.75,16.0,91.69,27
KL RAHUL,2016-04-22,7,10,70.0,18.47,104.94,16.84,22.5,18.75,132.76,7
KL RAHUL,2016-04-24,51,35,145.71,17.9,103.2,16.5,18.0,14.5,127.12,67
KL RAHUL,2016-04-30,51,28,182.14,19.48,105.22,17.38,26.5,20.75,121.04,69
