Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
KRUNAL PANDYA,2016-04-16,20,11,181.82,0.0,0.0,0.0,0.0,0.0,0.0,26
KRUNAL PANDYA,2016-04-18,49,28,175.0,20.0,181.82,11.0,20.0,11.0,181.82,59
KRUNAL PANDYA,2016-04-23,36,17,211.76,34.5,178.41,19.5,34.5,19.5,178.41,46
KRUNAL PANDYA,2016-04-25,0,0,,35.0,189.53,18.67,35.0,18.67,189.53,0
KRUNAL PANDYA,2016-04-28,6,5,120.0,26.25,189.53,14.0,26.25,14.0,189.53,6
KRUNAL PANDYA,2016-05-08,17,11,154.55,22.2,172.14,12.2,22.75,12.5,168.92,21
KRUNAL PANDYA,2016-05-13,19,12,158.33,21.33,168.63,12.0,14.75,8.25,162.1,23
KRUNAL PANDYA,2016-05-15,86,37,232.43,21.0,166.91,12.0,10.5,7.0,144.29,116
KRUNAL PANDYA,2016-05-21,4,3,133.33,29.12,176.27,15.12,32.0,16.25,166.33,8
KRUNAL PANDYA,2017-04-06,3,5,60.0,26.33,170.9,13.78,31.5,15.75,169.66,3
KRUNAL PANDYA,2017-04-09,11,6,183.33,24.0,158.58,12.9,28.0,14.25,146.02,17
KRUNAL PANDYA,2017-04-12,37,20,185.0,22.82,161.05,12.27,26.0,12.75,152.27,47
KRUNAL PANDYA,2017-04-14,37,30,123.33,24.0,163.23,12.92,13.75,8.5,140.42,41
KRUNAL PANDYA,2017-04-22,17,16,106.25,25.0,159.91,14.23,22.0,15.25,137.92,17
KRUNAL PANDYA,2017-04-29,29,20,145.0,24.43,155.78,14.36,25.5,18.0,149.48,37
KRUNAL PANDYA,2017-05-01,2,2,100.0,24.73,155.01,14.73,30.0,21.5,139.89,2
KRUNAL PANDYA,2017-05-13,0,1,0.0,23.31,151.34,13.94,21.25,17.0,118.64,0
KRUNAL PANDYA,2017-05-16,15,11,136.36,21.94,141.88,13.18,12.0,9.75,87.81,19
KRUNAL PANDYA,2017-05-19,45,30,150.0,21.56,141.56,13.06,11.5,8.5,95.34,53
KRUNAL PANDYA,2017-05-21,47,38,123.68,22.79,142.03,13.95,15.5,11.0,96.59,51
KRUNAL PANDYA,2018-04-07,41,22,186.36,24.0,141.06,15.15,26.75,20.0,102.51,51
KRUNAL PANDYA,2018-04-12,15,10,150.0,24.81,143.33,15.48,37.0,25.25,149.1,19
KRUNAL PANDYA,2018-04-14,11,10,110.0,24.36,143.64,15.23,37.0,25.0,152.51,11
KRUNAL PANDYA,2018-04-17,15,12,125.0,23.78,142.12,15.0,28.5,20.0,142.51,15
KRUNAL PANDYA,2018-04-22,7,6,116.67,23.42,141.37,14.88,20.5,13.5,142.84,7
KRUNAL PANDYA,2018-04-24,24,20,120.0,22.76,140.34,14.52,12.0,9.5,125.42,24
KRUNAL PANDYA,2018-05-01,23,19,121.05,22.81,139.53,14.73,14.25,12.0,117.92,23
KRUNAL PANDYA,2018-05-04,31,12,258.33,22.81,138.82,14.89,17.25,14.25,120.68,41
KRUNAL PANDYA,2018-05-06,14,11,127.27,23.11,143.24,14.79,21.25,14.25,154.01,14
KRUNAL PANDYA,2018-05-09,8,2,400.0,22.79,142.67,14.66,23.0,15.5,156.66,14
KRUNAL PANDYA,2018-05-13,3,7,42.86,22.3,151.55,14.23,19.0,11.0,226.66,3
KRUNAL PANDYA,2018-05-16,32,23,139.13,21.68,147.92,14.0,14.0,8.0,207.11,40
KRUNAL PANDYA,2018-05-20,4,3,133.33,22.0,147.64,14.28,14.25,10.75,177.32,8
KRUNAL PANDYA,2019-03-24,32,15,213.33,21.45,147.19,13.94,11.75,8.75,178.83,42
KRUNAL PANDYA,2019-03-28,1,2,50.0,21.76,149.2,13.97,17.75,12.0,132.16,1
KRUNAL PANDYA,2019-03-30,10,5,200.0,21.17,146.28,13.63,17.25,10.75,133.95,16
