Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
LOCKIE FERGUSON,2017-04-14,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
LOCKIE FERGUSON,2020-10-21,19,16,118.75,1.0,100.0,1.0,1.0,1.0,100.0,19
LOCKIE FERGUSON,2020-10-26,24,13,184.62,10.0,109.38,8.5,10.0,8.5,109.38,30
LOCKIE FERGUSON,2021-09-28,0,0,,14.67,134.46,10.0,14.67,10.0,134.46,0
LOCKIE FERGUSON,2021-10-13,0,0,,11.0,134.46,7.5,11.0,7.5,134.46,0
LOCKIE FERGUSON,2021-10-15,18,11,163.64,8.8,134.46,6.0,10.75,7.25,151.68,22
LOCKIE FERGUSON,2022-04-17,0,0,,10.33,141.75,6.83,10.5,6.0,174.13,0
LOCKIE FERGUSON,2022-04-23,0,1,0.0,8.86,141.75,5.86,4.5,2.75,163.64,0
LOCKIE FERGUSON,2022-05-03,5,3,166.67,7.75,113.4,5.25,4.5,3.0,81.82,9
LOCKIE FERGUSON,2024-04-21,1,1,100.0,7.44,122.28,5.0,5.75,3.75,110.1,1
LOCKIE FERGUSON,2025-04-05,4,1,400.0,6.8,119.1,4.6,1.5,1.25,88.89,10
