Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
MITCHELL MARSH,2010-04-16,15,11,136.36,0.0,0.0,0.0,0.0,0.0,0.0,19
MITCHELL MARSH,2010-04-18,13,19,68.42,15.0,136.36,11.0,15.0,11.0,136.36,13
MITCHELL MARSH,2011-04-27,11,15,73.33,14.0,102.39,15.0,14.0,15.0,102.39,11
MITCHELL MARSH,2011-05-08,2,6,33.33,13.0,92.7,15.0,13.0,15.0,92.7,2
MITCHELL MARSH,2011-05-16,37,28,132.14,10.25,77.86,12.75,10.25,12.75,77.86,45
MITCHELL MARSH,2013-04-05,7,3,233.33,15.6,88.72,15.8,15.75,17.0,76.8,13
MITCHELL MARSH,2013-04-07,15,8,187.5,14.17,112.82,13.67,14.25,13.0,118.03,21
MITCHELL MARSH,2013-04-13,38,26,146.15,14.29,123.49,12.86,15.25,11.25,146.57,46
MITCHELL MARSH,2013-04-15,2,4,50.0,17.25,126.32,14.5,24.25,16.25,174.78,2
MITCHELL MARSH,2013-04-17,14,13,107.69,15.56,117.84,13.33,15.5,10.25,154.24,14
MITCHELL MARSH,2013-04-23,25,23,108.7,15.4,116.82,13.3,17.25,12.75,122.84,25
MITCHELL MARSH,2013-05-05,35,21,166.67,16.27,116.09,14.18,19.75,16.5,103.14,43
MITCHELL MARSH,2013-05-09,5,8,62.5,17.83,120.3,14.75,19.0,15.25,108.26,5
MITCHELL MARSH,2016-04-14,7,11,63.64,16.85,115.86,14.23,19.75,16.25,111.39,7
MITCHELL MARSH,2020-09-21,0,1,0.0,16.14,112.13,14.0,18.0,15.75,100.38,0
MITCHELL MARSH,2022-04-16,14,24,58.33,15.07,104.65,13.13,11.75,10.25,73.2,14
MITCHELL MARSH,2022-04-28,13,7,185.71,15.0,101.76,13.81,6.5,11.0,46.12,19
MITCHELL MARSH,2022-05-01,37,20,185.0,14.88,106.69,13.41,8.5,10.75,76.92,47
MITCHELL MARSH,2022-05-05,10,7,142.86,16.11,111.04,13.78,16.0,13.0,107.26,14
MITCHELL MARSH,2022-05-08,25,20,125.0,15.79,112.72,13.42,18.5,14.5,142.98,25
MITCHELL MARSH,2022-05-11,89,62,143.55,16.25,113.33,13.75,21.25,13.5,159.64,117
MITCHELL MARSH,2022-05-16,63,48,131.25,19.71,114.77,16.05,40.25,27.25,149.1,79
MITCHELL MARSH,2022-05-21,0,1,0.0,21.68,115.52,17.5,46.75,34.25,135.67,0
MITCHELL MARSH,2023-04-01,0,1,0.0,20.74,110.5,16.78,44.25,32.75,99.95,0
MITCHELL MARSH,2023-04-04,4,4,100.0,19.88,105.89,16.12,38.0,28.0,68.7,4
MITCHELL MARSH,2023-04-15,0,4,0.0,19.24,105.66,15.64,16.75,13.5,57.81,0
MITCHELL MARSH,2023-04-20,2,9,22.22,18.5,101.59,15.19,1.0,2.5,25.0,2
MITCHELL MARSH,2023-04-24,25,15,166.67,17.89,98.65,14.96,1.5,4.5,30.56,29
MITCHELL MARSH,2023-04-29,63,39,161.54,18.14,101.08,14.96,7.75,8.0,72.22,79
MITCHELL MARSH,2023-05-06,26,17,152.94,19.69,103.17,15.79,22.5,16.75,87.61,34
MITCHELL MARSH,2023-05-10,5,4,125.0,19.9,104.83,15.83,29.0,20.0,125.84,5
MITCHELL MARSH,2023-05-13,3,4,75.0,19.42,105.48,15.45,29.75,18.75,151.54,3
MITCHELL MARSH,2024-03-23,20,12,166.67,18.91,104.53,15.09,24.25,16.0,128.62,24
MITCHELL MARSH,2024-03-28,23,12,191.67,18.94,106.41,15.0,13.5,9.25,129.9,29
MITCHELL MARSH,2024-03-31,18,12,150.0,19.06,108.92,14.91,12.75,8.0,139.58,22
MITCHELL MARSH,2024-04-03,0,2,0.0,19.03,110.09,14.83,16.0,10.0,145.83,0
MITCHELL MARSH,2025-03-24,72,36,200.0,18.5,107.03,14.47,15.25,9.5,127.08,90
MITCHELL MARSH,2025-03-27,52,31,167.74,19.95,109.55,15.05,28.25,15.5,135.42,68
MITCHELL MARSH,2025-04-01,0,1,0.0,20.79,111.08,15.47,35.5,20.25,129.44,0
MITCHELL MARSH,2025-04-04,60,31,193.55,20.26,108.23,15.1,31.0,17.5,91.94,78
MITCHELL MARSH,2025-04-08,81,48,168.75,21.25,110.36,15.5,46.0,24.75,140.32,109
MITCHELL MARSH,2025-04-14,30,25,120.0,22.71,111.79,16.29,48.25,27.75,132.51,34
MITCHELL MARSH,2025-04-19,4,6,66.67,22.88,111.98,16.5,42.75,26.25,120.58,4
MITCHELL MARSH,2025-04-22,45,36,125.0,22.44,110.93,16.26,43.75,27.5,137.24,49
MITCHELL MARSH,2025-04-27,34,24,141.67,22.95,111.25,16.7,40.0,28.75,120.1,42
MITCHELL MARSH,2025-05-04,0,5,0.0,23.2,111.92,16.87,28.25,22.75,113.34,0
MITCHELL MARSH,2025-05-19,65,39,166.67,22.7,109.49,16.61,20.75,17.75,83.34,81
MITCHELL MARSH,2025-05-22,117,64,182.81,23.6,110.71,17.09,36.0,26.0,108.34,163
MITCHELL MARSH,2025-05-27,67,37,181.08,25.54,112.21,18.06,54.0,33.0,122.79,85
