Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
MITCHELL SANTNER,2019-04-11,10,3,333.33,0.0,0.0,0.0,0.0,0.0,0.0,16
MITCHELL SANTNER,2019-04-26,22,20,110.0,10.0,333.33,3.0,10.0,3.0,333.33,22
MITCHELL SANTNER,2022-04-21,11,9,122.22,16.0,221.66,11.5,16.0,11.5,221.66,11
MITCHELL SANTNER,2022-04-25,9,15,60.0,14.33,188.52,10.67,14.33,10.67,188.52,9
MITCHELL SANTNER,2022-05-15,1,1,100.0,13.0,156.39,11.75,13.0,11.75,156.39,1
MITCHELL SANTNER,2022-05-20,1,2,50.0,10.6,145.11,9.6,10.75,11.25,98.06,1
MITCHELL SANTNER,2023-03-31,1,3,33.33,9.0,129.26,8.33,5.5,6.75,83.06,1
MITCHELL SANTNER,2023-04-03,1,1,100.0,7.86,115.55,7.57,3.0,5.25,60.83,1
MITCHELL SANTNER,2024-05-05,11,11,100.0,7.0,113.61,6.75,1.0,1.75,70.83,11
MITCHELL SANTNER,2024-05-10,0,2,0.0,7.44,112.1,7.22,3.5,4.25,70.83,0
MITCHELL SANTNER,2024-05-18,3,4,75.0,6.7,100.89,6.7,3.25,4.25,58.33,3
MITCHELL SANTNER,2025-03-23,11,13,84.62,6.36,98.53,6.45,3.75,4.5,68.75,11
MITCHELL SANTNER,2025-03-29,18,9,200.0,6.75,97.38,7.0,6.25,7.5,64.9,24
MITCHELL SANTNER,2025-04-04,2,2,100.0,7.62,105.27,7.15,8.0,7.0,89.9,2
MITCHELL SANTNER,2025-04-07,8,4,200.0,7.21,104.89,6.79,8.5,7.0,114.9,14
MITCHELL SANTNER,2025-04-17,0,1,0.0,7.27,111.23,6.6,9.75,7.0,146.16,0
MITCHELL SANTNER,2025-05-26,1,1,100.0,6.81,104.28,6.25,7.0,4.0,125.0,1
MITCHELL SANTNER,2025-05-30,0,2,0.0,6.47,104.03,5.94,2.75,2.0,100.0,0
