Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
MITCHELL STARC,2014-04-24,0,0,,0.0,,0.0,0.0,0.0,0.0,0
MITCHELL STARC,2014-04-26,18,16,112.5,0.0,,0.0,0.0,0.0,0.0,18
MITCHELL STARC,2014-04-28,8,17,47.06,9.0,112.5,8.0,9.0,8.0,112.5,8
MITCHELL STARC,2014-05-04,5,8,62.5,8.67,79.78,11.0,8.67,11.0,79.78,5
MITCHELL STARC,2014-05-06,5,4,125.0,7.75,74.02,10.25,7.75,10.25,74.02,5
MITCHELL STARC,2014-05-09,29,23,126.09,7.2,86.76,9.0,9.0,11.25,86.76,33
MITCHELL STARC,2014-05-20,6,6,100.0,10.83,94.63,11.33,11.75,13.0,90.16,6
MITCHELL STARC,2014-05-22,12,8,150.0,10.14,95.52,10.57,11.25,10.25,103.4,16
MITCHELL STARC,2014-05-24,2,2,100.0,10.38,103.31,10.25,13.0,10.25,125.27,2
MITCHELL STARC,2015-04-22,9,6,150.0,9.44,102.89,9.33,12.25,9.75,119.02,13
MITCHELL STARC,2015-05-04,1,7,14.29,9.4,108.13,9.0,7.25,5.5,125.0,1
MITCHELL STARC,2015-05-22,1,1,100.0,8.64,98.74,8.82,6.0,5.75,103.57,1
MITCHELL STARC,2024-03-23,6,3,200.0,8.0,98.86,8.17,3.25,4.0,91.07,12
MITCHELL STARC,2024-04-03,1,1,100.0,7.85,107.29,7.77,4.25,4.25,116.07,1
MITCHELL STARC,2024-04-08,0,3,0.0,7.36,106.73,7.29,2.25,3.0,103.57,0
MITCHELL STARC,2024-05-03,0,2,0.0,6.87,99.1,7.0,2.0,2.0,100.0,0
MITCHELL STARC,2024-05-11,2,2,100.0,6.44,92.5,6.69,1.75,2.25,75.0,2
MITCHELL STARC,2025-03-24,2,5,40.0,6.18,92.96,6.41,0.75,2.0,50.0,2
MITCHELL STARC,2025-04-13,1,1,100.0,5.94,89.85,6.33,1.0,3.0,35.0,1
MITCHELL STARC,2025-04-19,2,2,100.0,5.68,90.41,6.05,1.25,2.5,60.0,2
