Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
MOEEN ALI,2018-05-07,10,7,142.86,0.0,0.0,0.0,0.0,0.0,0.0,14
MOEEN ALI,2018-05-12,1,3,33.33,10.0,142.86,7.0,10.0,7.0,142.86,1
MOEEN ALI,2018-05-17,65,34,191.18,5.5,88.1,5.0,5.5,5.0,88.1,83
MOEEN ALI,2018-05-19,1,2,50.0,25.33,122.46,14.67,25.33,14.67,122.46,1
MOEEN ALI,2019-03-23,9,8,112.5,19.25,104.34,11.5,19.25,11.5,104.34,9
MOEEN ALI,2019-03-28,13,7,185.71,17.2,105.97,10.8,19.0,11.75,96.75,19
MOEEN ALI,2019-03-31,2,8,25.0,16.5,119.26,10.17,22.0,12.75,134.85,2
MOEEN ALI,2019-04-02,18,9,200.0,14.43,105.8,9.86,6.25,6.25,93.3,24
MOEEN ALI,2019-04-05,0,2,0.0,14.88,117.57,9.75,10.5,8.0,130.8,0
MOEEN ALI,2019-04-07,32,18,177.78,13.22,104.51,8.89,8.25,6.5,102.68,42
MOEEN ALI,2019-04-15,50,32,156.25,15.1,111.84,9.8,13.0,9.25,100.7,58
MOEEN ALI,2019-04-19,66,28,235.71,18.27,115.87,11.82,25.0,15.25,133.51,84
MOEEN ALI,2019-04-21,26,16,162.5,22.25,125.86,13.17,37.0,20.0,142.44,34
MOEEN ALI,2019-04-24,4,5,80.0,22.54,128.68,13.38,43.5,23.5,183.06,4
MOEEN ALI,2020-10-05,11,13,84.62,21.21,125.2,12.79,36.5,20.25,158.62,11
MOEEN ALI,2020-10-25,1,2,50.0,20.53,122.5,12.8,26.75,15.5,140.71,1
MOEEN ALI,2020-11-06,0,1,0.0,19.31,117.96,12.12,10.5,9.0,94.28,0
MOEEN ALI,2021-04-10,36,24,150.0,18.18,111.03,11.47,4.0,5.25,53.66,44
MOEEN ALI,2021-04-16,46,31,148.39,19.17,113.19,12.17,12.0,10.0,71.16,54
MOEEN ALI,2021-04-19,26,20,130.0,20.58,115.04,13.16,20.75,14.5,87.1,34
MOEEN ALI,2021-04-21,25,12,208.33,20.85,115.79,13.5,27.0,19.0,107.1,31
MOEEN ALI,2021-04-28,15,8,187.5,21.05,120.2,13.43,33.25,21.75,159.18,21
MOEEN ALI,2021-05-01,58,36,161.11,20.77,123.26,13.18,28.0,17.75,168.56,74
MOEEN ALI,2021-09-19,0,3,0.0,22.39,124.9,14.17,31.0,19.0,171.74,0
MOEEN ALI,2021-09-24,23,18,127.78,21.46,119.7,13.71,24.5,14.75,139.24,23
MOEEN ALI,2021-09-26,32,28,114.29,21.52,120.02,13.88,24.0,16.25,119.1,36
MOEEN ALI,2021-09-30,17,17,100.0,21.92,119.8,14.42,28.25,21.25,100.8,17
MOEEN ALI,2021-10-02,21,17,123.53,21.74,119.07,14.52,18.0,16.5,85.52,21
MOEEN ALI,2021-10-04,5,8,62.5,21.71,119.23,14.61,23.25,20.0,116.4,5
MOEEN ALI,2021-10-07,0,6,0.0,21.14,117.27,14.38,18.75,17.5,100.08,0
MOEEN ALI,2021-10-10,16,12,133.33,20.43,113.36,14.1,10.75,12.0,71.51,20
MOEEN ALI,2021-10-15,37,20,185.0,20.29,114.01,14.03,10.5,10.75,79.84,47
MOEEN ALI,2022-03-31,35,22,159.09,20.81,116.22,14.22,14.5,11.5,95.21,43
MOEEN ALI,2022-04-03,0,2,0.0,21.24,117.52,14.45,22.0,15.0,119.35,0
MOEEN ALI,2022-04-09,48,35,137.14,20.62,114.07,14.09,22.0,14.0,119.35,56
MOEEN ALI,2022-04-12,3,8,37.5,21.4,114.73,14.69,30.0,19.75,120.31,3
MOEEN ALI,2022-04-17,1,3,33.33,20.89,112.58,14.5,21.5,16.75,83.43,1
MOEEN ALI,2022-05-04,34,27,125.93,20.35,110.44,14.19,13.0,12.0,51.99,38
MOEEN ALI,2022-05-08,9,4,225.0,20.71,110.85,14.53,21.5,18.25,83.48,15
MOEEN ALI,2022-05-12,0,2,0.0,20.41,113.77,14.26,11.75,10.5,105.44,0
MOEEN ALI,2022-05-15,21,17,123.53,19.9,110.93,13.95,11.0,9.0,96.06,21
MOEEN ALI,2022-05-20,93,57,163.16,19.93,111.24,14.02,16.0,12.5,118.62,121
MOEEN ALI,2023-03-31,23,17,135.29,21.67,112.47,15.05,30.75,20.0,127.92,27
MOEEN ALI,2023-04-03,19,13,146.15,21.7,113.0,15.09,34.25,23.25,105.5,23
MOEEN ALI,2023-04-12,7,10,70.0,21.64,113.76,15.05,39.0,26.0,142.03,7
MOEEN ALI,2023-04-17,19,9,211.11,21.31,112.78,14.93,35.5,24.25,128.65,25
MOEEN ALI,2023-04-21,6,6,100.0,21.26,114.92,14.8,17.0,12.25,140.64,6
MOEEN ALI,2023-04-27,23,12,191.67,20.94,114.6,14.62,12.75,9.5,131.82,29
MOEEN ALI,2023-04-30,10,6,166.67,20.98,116.21,14.56,13.75,9.25,143.2,14
MOEEN ALI,2023-05-10,7,12,58.33,20.76,117.24,14.39,14.5,8.25,167.36,7
MOEEN ALI,2023-05-14,1,2,50.0,20.48,116.06,14.34,11.5,9.0,129.17,1
MOEEN ALI,2023-05-23,9,4,225.0,20.1,114.77,14.1,10.25,8.0,116.67,15
MOEEN ALI,2024-04-19,30,20,150.0,19.88,116.89,13.9,6.75,6.0,125.0,38
MOEEN ALI,2024-05-01,15,9,166.67,20.08,117.51,14.02,11.75,9.5,120.83,19
MOEEN ALI,2024-05-05,17,20,85.0,19.98,118.42,13.93,13.75,8.75,147.92,17
MOEEN ALI,2024-05-10,56,36,155.56,19.93,117.81,14.04,17.75,13.25,156.67,72
MOEEN ALI,2024-05-12,10,13,76.92,20.57,118.49,14.43,29.5,21.25,139.31,10
MOEEN ALI,2025-03-26,5,12,41.67,20.39,117.76,14.4,24.5,19.5,121.04,5
MOEEN ALI,2025-04-21,0,2,0.0,20.12,116.45,14.36,22.0,20.25,89.79,0
