Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
MOHAMMAD SHAMI,2013-04-08,5,10,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5
MOHAMMAD SHAMI,2014-04-21,1,3,33.33,5.0,50.0,10.0,5.0,10.0,50.0,1
MOHAMMAD SHAMI,2014-05-13,1,1,100.0,3.0,41.66,6.5,3.0,6.5,41.66,1
MOHAMMAD SHAMI,2014-05-19,1,2,50.0,2.33,61.11,4.67,2.33,4.67,61.11,1
MOHAMMAD SHAMI,2014-05-25,0,1,0.0,2.0,58.33,4.0,2.0,4.0,58.33,0
MOHAMMAD SHAMI,2016-04-30,0,1,0.0,1.6,46.67,3.4,0.75,1.75,45.83,0
MOHAMMAD SHAMI,2016-05-05,2,3,66.67,1.33,38.89,3.0,0.5,1.25,37.5,2
MOHAMMAD SHAMI,2017-04-17,0,1,0.0,1.43,42.86,3.0,0.75,1.75,29.17,0
MOHAMMAD SHAMI,2017-04-30,2,4,50.0,1.25,37.5,2.75,0.5,1.5,16.67,2
MOHAMMAD SHAMI,2017-05-06,7,4,175.0,1.33,38.89,2.89,1.0,2.25,29.17,13
MOHAMMAD SHAMI,2017-05-10,4,2,200.0,1.9,52.5,3.0,2.75,3.0,72.92,10
MOHAMMAD SHAMI,2017-05-12,2,4,50.0,2.09,65.91,2.91,3.25,2.75,106.25,2
MOHAMMAD SHAMI,2017-05-14,21,9,233.33,2.08,64.58,3.0,3.75,3.5,118.75,27
MOHAMMAD SHAMI,2018-04-16,7,6,116.67,3.54,77.56,3.46,8.5,4.75,164.58,7
MOHAMMAD SHAMI,2019-04-01,0,1,0.0,3.79,80.36,3.64,8.5,5.25,150.0,0
MOHAMMAD SHAMI,2019-04-16,0,1,0.0,3.53,75.0,3.47,7.5,5.0,100.0,0
MOHAMMAD SHAMI,2019-04-29,1,1,100.0,3.31,70.31,3.31,7.0,4.25,87.5,1
MOHAMMAD SHAMI,2020-09-20,0,0,,3.18,72.06,3.18,2.0,2.25,54.17,0
MOHAMMAD SHAMI,2020-10-01,2,2,100.0,3.0,72.06,3.0,0.25,0.75,33.33,2
MOHAMMAD SHAMI,2020-10-08,0,1,0.0,2.95,73.61,2.95,0.75,1.0,66.67,0
MOHAMMAD SHAMI,2021-04-16,9,12,75.0,2.8,69.74,2.85,0.75,1.0,66.67,9
MOHAMMAD SHAMI,2021-04-21,3,3,100.0,3.1,70.0,3.29,2.75,3.75,58.33,3
MOHAMMAD SHAMI,2021-04-26,1,2,50.0,3.09,71.43,3.27,3.5,4.5,68.75,1
MOHAMMAD SHAMI,2021-09-25,0,0,,3.0,70.45,3.22,3.25,4.5,56.25,0
MOHAMMAD SHAMI,2023-05-15,0,1,0.0,2.88,70.45,3.08,3.25,4.25,75.0,0
MOHAMMAD SHAMI,2023-05-23,5,5,100.0,2.76,67.39,3.0,1.0,1.5,50.0,5
MOHAMMAD SHAMI,2025-03-27,1,3,33.33,2.85,68.75,3.08,1.5,2.0,50.0,1
MOHAMMAD SHAMI,2025-03-30,1,1,100.0,2.78,67.33,3.07,1.5,2.25,44.44,1
MOHAMMAD SHAMI,2025-04-03,2,4,50.0,2.71,68.59,3.0,1.75,2.5,58.33,2
MOHAMMAD SHAMI,2025-04-06,6,2,300.0,2.69,67.9,3.03,2.25,3.25,70.83,12
