Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
MOHD. ARSHAD KHAN,2023-04-02,15,9,166.67,0.0,0.0,0.0,0.0,0.0,0.0,19
MOHD. ARSHAD KHAN,2023-04-08,2,4,50.0,15.0,166.67,9.0,15.0,9.0,166.67,2
MOHD. ARSHAD KHAN,2023-05-06,1,2,50.0,8.5,108.34,6.5,8.5,6.5,108.34,1
MOHD. ARSHAD KHAN,2024-04-12,20,16,125.0,6.0,88.89,5.0,6.0,5.0,88.89,20
MOHD. ARSHAD KHAN,2024-04-14,5,4,125.0,9.5,97.92,7.75,9.5,7.75,97.92,5
MOHD. ARSHAD KHAN,2024-05-14,58,33,175.76,8.6,103.33,7.0,7.0,6.5,87.5,76
MOHD. ARSHAD KHAN,2024-05-17,0,1,0.0,16.83,115.4,11.33,21.0,13.75,118.94,0
MOHD. ARSHAD KHAN,2025-03-25,1,1,100.0,14.43,98.92,9.86,20.75,13.5,106.44,1
MOHD. ARSHAD KHAN,2025-04-09,0,0,,12.75,99.05,8.75,16.0,9.75,100.19,0
MOHD. ARSHAD KHAN,2025-05-06,1,1,100.0,11.33,99.05,7.78,14.75,8.75,91.92,1
MOHD. ARSHAD KHAN,2025-05-22,1,3,33.33,10.3,99.16,7.1,0.5,0.75,66.67,1
MOHD. ARSHAD KHAN,2025-05-25,20,14,142.86,9.45,92.58,6.73,0.75,1.25,77.78,24
