Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
MOHIT SHARMA,2013-05-05,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MOHIT SHARMA,2013-05-26,0,2,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0
MOHIT SHARMA,2014-05-30,1,3,33.33,0.0,0.0,2.5,0.0,2.5,0.0,1
MOHIT SHARMA,2015-04-09,2,1,200.0,0.33,11.11,2.67,0.33,2.67,11.11,8
MOHIT SHARMA,2015-04-22,2,6,33.33,0.75,58.33,2.25,0.75,2.25,58.33,2
MOHIT SHARMA,2015-04-30,0,1,0.0,1.0,53.33,3.0,1.25,3.0,66.66,0
MOHIT SHARMA,2015-05-04,0,0,,0.83,44.44,2.67,1.25,2.75,66.66,0
MOHIT SHARMA,2015-05-19,3,3,100.0,0.71,44.44,2.29,1.0,2.0,77.78,3
MOHIT SHARMA,2015-05-24,21,7,300.0,1.0,52.38,2.38,1.25,2.5,44.44,27
MOHIT SHARMA,2016-04-15,15,8,187.5,3.22,83.33,2.89,6.0,2.75,133.33,21
MOHIT SHARMA,2016-04-19,1,3,33.33,4.4,94.91,3.4,9.75,4.5,195.83,1
MOHIT SHARMA,2016-04-25,0,0,,4.09,88.75,3.36,10.0,5.25,155.21,0
MOHIT SHARMA,2016-05-01,1,2,50.0,3.75,88.75,3.08,9.25,4.5,173.61,1
MOHIT SHARMA,2016-05-04,1,1,100.0,3.54,85.23,3.0,4.25,3.25,90.28,1
MOHIT SHARMA,2016-05-18,14,12,116.67,3.36,86.46,2.86,0.75,1.5,61.11,14
MOHIT SHARMA,2017-04-13,10,8,125.0,4.07,88.78,3.47,4.0,3.75,88.89,10
MOHIT SHARMA,2017-04-15,13,14,92.86,4.44,91.37,3.75,6.5,5.75,97.92,13
MOHIT SHARMA,2017-04-17,10,5,200.0,4.94,91.47,4.35,9.5,8.75,108.63,16
MOHIT SHARMA,2017-04-23,4,3,133.33,5.22,98.25,4.39,11.75,9.75,133.63,8
MOHIT SHARMA,2017-04-28,2,4,50.0,5.16,100.31,4.32,9.25,7.5,137.8,2
MOHIT SHARMA,2017-05-05,6,4,150.0,5.0,97.52,4.3,7.25,6.5,119.05,10
MOHIT SHARMA,2017-05-14,6,12,50.0,5.05,100.28,4.29,5.5,4.0,133.33,6
MOHIT SHARMA,2018-04-13,1,2,50.0,5.09,97.77,4.64,4.5,5.75,95.83,1
MOHIT SHARMA,2018-05-12,4,3,133.33,4.91,95.49,4.52,3.75,5.5,75.0,8
MOHIT SHARMA,2018-05-14,3,5,60.0,4.88,97.21,4.46,4.25,5.25,95.83,3
MOHIT SHARMA,2018-05-20,2,3,66.67,4.8,95.59,4.48,3.5,5.5,73.33,2
MOHIT SHARMA,2019-04-03,0,2,0.0,4.69,94.39,4.42,2.5,3.25,77.5,0
MOHIT SHARMA,2023-05-15,0,1,0.0,4.52,90.61,4.33,2.25,3.25,65.0,0
MOHIT SHARMA,2024-04-17,2,14,14.29,4.36,87.13,4.21,1.25,2.75,31.67,2
MOHIT SHARMA,2024-04-24,0,0,,4.28,84.43,4.55,1.0,5.0,20.24,0
MOHIT SHARMA,2024-05-04,0,1,0.0,4.13,84.43,4.4,0.5,4.25,4.76,0
MOHIT SHARMA,2025-03-24,1,2,50.0,4.0,81.42,4.29,0.5,4.0,4.76,1
MOHIT SHARMA,2025-04-13,0,1,0.0,3.91,80.33,4.22,0.75,4.25,21.43,0
