Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
NEHAL WADHERA,2023-04-02,21,13,161.54,0.0,0.0,0.0,0.0,0.0,0.0,25
NEHAL WADHERA,2023-04-16,6,4,150.0,21.0,161.54,13.0,21.0,13.0,161.54,10
NEHAL WADHERA,2023-04-22,0,1,0.0,13.5,155.77,8.5,13.5,8.5,155.77,0
NEHAL WADHERA,2023-04-25,40,21,190.48,9.0,103.85,6.0,9.0,6.0,103.85,50
NEHAL WADHERA,2023-05-06,64,51,125.49,16.75,125.5,9.75,16.75,9.75,125.5,76
NEHAL WADHERA,2023-05-09,52,34,152.94,26.2,125.5,18.0,27.5,19.25,116.49,68
NEHAL WADHERA,2023-05-12,15,7,214.29,30.5,130.08,20.67,39.0,26.75,117.23,21
NEHAL WADHERA,2023-05-16,16,20,80.0,28.29,142.11,18.71,42.75,28.25,170.8,16
NEHAL WADHERA,2023-05-24,23,12,191.67,26.75,134.34,18.88,36.75,28.0,143.18,29
NEHAL WADHERA,2023-05-26,4,3,133.33,26.33,140.71,18.11,26.5,18.25,159.72,8
NEHAL WADHERA,2024-04-22,49,24,204.17,24.1,139.97,16.6,14.5,10.5,154.82,59
NEHAL WADHERA,2024-04-27,4,2,200.0,26.36,145.81,17.27,23.0,14.75,152.29,10
NEHAL WADHERA,2024-04-30,46,41,112.2,24.5,150.33,16.0,20.0,10.25,182.29,50
NEHAL WADHERA,2024-05-03,6,11,54.55,26.15,147.39,17.92,25.75,17.5,162.42,6
NEHAL WADHERA,2024-05-11,3,3,100.0,24.71,140.76,17.43,26.25,19.5,142.73,3
NEHAL WADHERA,2024-05-17,1,3,33.33,23.27,138.04,16.47,14.75,14.25,116.69,1
NEHAL WADHERA,2025-04-01,43,25,172.0,21.88,131.5,15.62,14.0,14.5,75.02,53
NEHAL WADHERA,2025-04-05,62,41,151.22,23.12,133.88,16.18,13.25,10.5,89.97,78
NEHAL WADHERA,2025-04-08,9,7,128.57,25.28,134.84,17.56,27.25,18.0,114.14,9
NEHAL WADHERA,2025-04-12,27,22,122.73,24.42,134.51,17.0,28.75,19.0,121.28,31
NEHAL WADHERA,2025-04-15,10,9,111.11,24.55,133.93,17.25,35.25,23.75,143.63,10
NEHAL WADHERA,2025-04-18,33,19,173.68,23.86,132.84,16.86,27.0,19.75,128.41,43
NEHAL WADHERA,2025-04-20,5,6,83.33,24.27,134.7,16.95,19.75,14.25,134.02,5
NEHAL WADHERA,2025-04-30,5,3,166.67,23.43,132.46,16.48,18.75,14.0,122.71,9
NEHAL WADHERA,2025-05-04,16,9,177.78,22.67,133.89,15.92,13.25,9.25,133.7,22
NEHAL WADHERA,2025-05-18,70,37,189.19,22.4,135.64,15.64,14.75,9.25,150.36,88
NEHAL WADHERA,2025-05-24,16,16,100.0,24.23,137.7,16.46,24.0,13.75,154.24,16
NEHAL WADHERA,2025-05-26,2,2,100.0,23.93,136.31,16.44,26.75,16.25,158.41,2
NEHAL WADHERA,2025-05-29,8,10,80.0,23.14,135.01,15.93,26.0,16.0,141.74,8
NEHAL WADHERA,2025-06-01,48,29,165.52,22.62,133.11,15.72,24.0,16.25,117.3,56
