Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
NITISH KUMAR REDDY,2024-04-05,14,8,175.0,0.0,0.0,0.0,0.0,0.0,0.0,20
NITISH KUMAR REDDY,2024-04-09,64,37,172.97,14.0,175.0,8.0,14.0,8.0,175.0,82
NITISH KUMAR REDDY,2024-04-20,37,27,137.04,39.0,173.98,22.5,39.0,22.5,173.98,45
NITISH KUMAR REDDY,2024-04-25,13,13,100.0,38.33,161.67,24.0,38.33,24.0,161.67,13
NITISH KUMAR REDDY,2024-04-28,15,15,100.0,32.0,146.25,21.25,32.0,21.25,146.25,15
NITISH KUMAR REDDY,2024-05-02,76,42,180.95,28.6,137.0,20.0,32.25,23.0,127.5,106
NITISH KUMAR REDDY,2024-05-06,20,15,133.33,36.5,144.33,23.67,35.25,24.25,129.5,24
NITISH KUMAR REDDY,2024-05-19,37,25,148.0,34.14,142.76,22.43,31.0,21.25,128.57,45
NITISH KUMAR REDDY,2024-05-21,9,10,90.0,34.5,143.41,22.75,37.0,24.25,140.57,9
NITISH KUMAR REDDY,2024-05-24,5,10,50.0,31.67,137.48,21.33,35.5,23.0,138.07,5
NITISH KUMAR REDDY,2024-05-26,13,10,130.0,29.0,128.73,20.2,17.75,15.0,105.33,17
NITISH KUMAR REDDY,2025-03-23,30,15,200.0,27.55,128.84,19.27,16.0,13.75,104.5,40
NITISH KUMAR REDDY,2025-03-27,32,28,114.29,27.75,134.77,18.92,14.25,11.25,117.5,36
NITISH KUMAR REDDY,2025-03-30,0,2,0.0,28.08,133.2,19.62,20.0,15.75,123.57,0
NITISH KUMAR REDDY,2025-04-03,19,15,126.67,26.07,123.68,18.36,18.75,13.75,111.07,19
NITISH KUMAR REDDY,2025-04-06,31,34,91.18,25.6,123.88,18.13,20.25,15.0,110.24,35
NITISH KUMAR REDDY,2025-04-17,19,21,90.48,25.94,121.84,19.12,20.5,19.75,83.04,19
NITISH KUMAR REDDY,2025-04-23,2,6,33.33,25.53,119.99,19.24,17.25,18.0,77.08,2
