Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
PHIL SALT,2023-04-20,5,3,166.67,0.0,0.0,0.0,0.0,0.0,0.0,9
PHIL SALT,2023-04-24,0,1,0.0,5.0,166.67,3.0,5.0,3.0,166.67,0
PHIL SALT,2023-04-29,59,35,168.57,2.5,83.34,2.0,2.5,2.0,83.34,75
PHIL SALT,2023-05-02,0,1,0.0,21.33,111.75,13.0,21.33,13.0,111.75,0
PHIL SALT,2023-05-06,87,45,193.33,16.0,83.81,10.0,16.0,10.0,83.81,117
PHIL SALT,2023-05-10,17,11,154.55,30.2,105.71,17.0,36.5,20.5,90.48,21
PHIL SALT,2023-05-13,21,17,123.53,28.0,113.85,16.0,40.75,23.0,129.11,21
PHIL SALT,2023-05-17,26,14,185.71,27.0,115.24,16.14,31.25,18.5,117.85,36
PHIL SALT,2023-05-20,3,6,50.0,26.88,124.04,15.88,37.75,21.75,164.28,3
PHIL SALT,2024-03-23,54,40,135.0,24.22,115.82,14.78,16.75,12.0,128.45,70
PHIL SALT,2024-03-29,30,20,150.0,27.2,117.74,17.3,26.0,19.25,123.56,38
PHIL SALT,2024-04-03,18,12,150.0,27.45,120.67,17.55,28.25,20.0,130.18,22
PHIL SALT,2024-04-08,0,1,0.0,26.67,123.11,17.08,26.25,19.5,121.25,0
PHIL SALT,2024-04-14,89,47,189.36,24.62,113.64,15.85,25.5,18.25,108.75,119
PHIL SALT,2024-04-16,10,13,76.92,29.21,119.05,18.07,34.25,20.0,122.34,10
PHIL SALT,2024-04-21,48,14,342.86,27.93,116.24,17.73,29.25,18.25,104.07,58
PHIL SALT,2024-04-26,75,37,202.7,29.19,130.41,17.5,36.75,18.75,152.28,93
PHIL SALT,2024-04-29,68,33,206.06,31.88,134.66,18.65,55.5,27.75,202.96,86
PHIL SALT,2024-05-03,5,3,166.67,33.89,138.63,19.44,50.25,24.25,207.14,9
PHIL SALT,2024-05-05,32,14,228.57,32.37,140.1,18.58,49.0,21.75,229.57,42
PHIL SALT,2024-05-11,6,5,120.0,32.35,144.52,18.35,45.0,21.75,201.0,6
PHIL SALT,2025-03-22,56,31,180.65,31.1,143.36,17.71,27.75,13.75,180.32,74
PHIL SALT,2025-03-28,32,16,200.0,32.23,145.05,18.32,24.75,13.25,173.97,42
PHIL SALT,2025-04-02,14,13,107.69,32.22,147.44,18.22,31.5,16.5,182.3,14
PHIL SALT,2025-04-07,4,2,200.0,31.46,145.78,18.0,27.0,16.25,152.08,10
PHIL SALT,2025-04-10,37,17,217.65,30.36,147.95,17.36,26.5,15.5,172.08,47
PHIL SALT,2025-04-13,65,33,196.97,30.62,150.63,17.35,21.75,12.0,181.34,83
PHIL SALT,2025-04-18,4,4,100.0,31.89,152.35,17.93,30.0,16.25,180.58,4
PHIL SALT,2025-04-20,1,3,33.33,30.89,150.48,17.43,27.5,14.0,178.65,1
PHIL SALT,2025-04-24,26,23,113.04,29.86,146.44,16.93,26.75,14.25,136.99,30
PHIL SALT,2025-05-23,62,32,193.75,29.73,145.33,17.13,24.0,15.75,110.84,80
PHIL SALT,2025-05-27,30,19,157.89,30.77,146.89,17.61,23.25,15.5,110.03,38
PHIL SALT,2025-05-29,56,27,207.41,30.75,147.23,17.66,29.75,19.25,124.5,74
