Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
PRASIDH KRISHNA,2018-05-09,1,5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PRASIDH KRISHNA,2018-05-25,0,0,,1.0,20.0,5.0,1.0,5.0,20.0,0
PRASIDH KRISHNA,2019-04-09,0,2,0.0,0.5,20.0,2.5,0.5,2.5,20.0,0
PRASIDH KRISHNA,2020-10-12,2,3,66.67,0.33,10.0,2.33,0.33,2.33,10.0,2
PRASIDH KRISHNA,2020-10-26,0,1,0.0,0.75,28.89,2.5,0.75,2.5,28.89,0
PRASIDH KRISHNA,2021-04-21,0,1,0.0,0.6,21.67,2.2,0.5,1.5,22.22,0
PRASIDH KRISHNA,2021-04-24,0,0,,0.5,17.33,2.0,0.5,1.75,16.67,0
PRASIDH KRISHNA,2022-04-14,4,7,57.14,0.43,17.33,1.71,0.5,1.25,22.22,4
PRASIDH KRISHNA,2022-04-26,2,5,40.0,0.88,23.97,2.38,1.0,2.25,19.05,2
PRASIDH KRISHNA,2022-05-29,0,0,,1.0,26.26,2.67,1.5,3.25,32.38,0
