Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
PRIYANSH ARYA,2025-03-25,47,23,204.35,0.0,0.0,0.0,0.0,0.0,0.0,57
PRIYANSH ARYA,2025-04-01,8,9,88.89,47.0,204.35,23.0,47.0,23.0,204.35,8
PRIYANSH ARYA,2025-04-05,0,1,0.0,27.5,146.62,16.0,27.5,16.0,146.62,0
PRIYANSH ARYA,2025-04-08,103,42,245.24,18.33,97.75,11.0,18.33,11.0,97.75,149
PRIYANSH ARYA,2025-04-12,36,13,276.92,39.5,134.62,18.75,39.5,18.75,134.62,46
PRIYANSH ARYA,2025-04-15,22,12,183.33,38.8,163.08,17.6,36.75,16.25,152.76,28
PRIYANSH ARYA,2025-04-18,16,11,145.45,36.0,166.46,16.67,40.25,17.0,176.37,20
PRIYANSH ARYA,2025-04-20,22,15,146.67,33.14,163.45,15.86,44.25,19.5,212.74,26
PRIYANSH ARYA,2025-04-26,69,35,197.14,31.75,161.36,15.75,24.0,12.75,188.09,87
PRIYANSH ARYA,2025-04-30,23,15,153.33,35.89,165.33,17.89,32.25,18.25,168.15,27
PRIYANSH ARYA,2025-05-04,1,4,25.0,34.6,164.13,17.6,32.5,19.0,160.65,1
PRIYANSH ARYA,2025-05-18,9,7,128.57,31.55,151.48,16.36,28.75,17.25,130.54,9
PRIYANSH ARYA,2025-05-24,6,9,66.67,29.67,149.57,15.58,25.5,15.25,126.01,6
PRIYANSH ARYA,2025-05-26,62,35,177.14,27.85,143.2,15.08,9.75,8.75,93.39,80
PRIYANSH ARYA,2025-05-29,7,5,140.0,30.29,145.62,16.5,19.5,13.75,99.34,11
PRIYANSH ARYA,2025-06-01,20,10,200.0,28.73,145.25,15.73,21.0,14.0,128.1,26
