Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
RAHUL TRIPATHI,2017-04-11,10,5,200.0,0.0,0.0,0.0,0.0,0.0,0.0,16
RAHUL TRIPATHI,2017-04-14,33,17,194.12,10.0,200.0,5.0,10.0,5.0,200.0,43
RAHUL TRIPATHI,2017-04-16,31,23,134.78,21.5,197.06,11.0,21.5,11.0,197.06,39
RAHUL TRIPATHI,2017-04-22,59,41,143.9,24.67,176.3,15.0,24.67,15.0,176.3,75
RAHUL TRIPATHI,2017-04-24,45,31,145.16,33.25,168.2,21.5,33.25,21.5,168.2,53
RAHUL TRIPATHI,2017-04-26,38,23,165.22,35.6,163.59,23.4,42.0,28.0,154.49,46
RAHUL TRIPATHI,2017-04-29,37,28,132.14,36.0,163.86,23.33,43.25,29.5,147.26,45
RAHUL TRIPATHI,2017-05-01,6,7,85.71,36.14,159.33,24.0,44.75,30.75,146.61,6
RAHUL TRIPATHI,2017-05-03,93,52,178.85,32.38,150.13,21.88,31.5,22.25,132.06,123
RAHUL TRIPATHI,2017-05-06,1,4,25.0,39.11,153.32,25.22,43.5,27.5,140.48,1
RAHUL TRIPATHI,2017-05-12,7,6,116.67,35.3,140.49,23.1,34.25,22.75,105.42,7
RAHUL TRIPATHI,2017-05-14,28,20,140.0,32.73,138.32,21.55,26.75,17.25,101.56,36
RAHUL TRIPATHI,2017-05-16,0,2,0.0,32.33,138.46,21.42,32.25,20.5,115.13,0
RAHUL TRIPATHI,2017-05-21,3,8,37.5,29.85,127.81,19.92,9.0,8.0,70.42,3
RAHUL TRIPATHI,2018-04-09,17,15,113.33,27.93,121.36,19.07,9.5,9.0,73.54,17
RAHUL TRIPATHI,2018-04-11,15,11,136.36,27.2,120.83,18.8,12.0,11.25,72.71,19
