Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
RAJAT PATIDAR,2021-04-09,8,8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8
RAJAT PATIDAR,2021-04-18,1,2,50.0,8.0,100.0,8.0,8.0,8.0,100.0,1
RAJAT PATIDAR,2021-04-27,31,22,140.91,4.5,75.0,5.0,4.5,5.0,75.0,39
RAJAT PATIDAR,2021-04-30,31,30,103.33,13.33,96.97,10.67,13.33,10.67,96.97,35
RAJAT PATIDAR,2022-04-26,16,16,100.0,17.75,98.56,15.5,17.75,15.5,98.56,16
RAJAT PATIDAR,2022-04-30,52,32,162.5,17.4,98.85,15.6,19.75,17.5,98.56,68
RAJAT PATIDAR,2022-05-04,21,15,140.0,23.17,109.46,18.33,32.5,25.0,126.68,25
RAJAT PATIDAR,2022-05-08,48,38,126.32,22.86,113.82,17.86,30.0,23.25,126.46,52
RAJAT PATIDAR,2022-05-13,26,21,123.81,26.0,115.38,20.38,34.25,25.25,132.2,30
RAJAT PATIDAR,2022-05-25,112,54,207.41,26.0,116.32,20.44,36.75,26.5,138.16,158
RAJAT PATIDAR,2022-05-27,58,42,138.1,34.6,125.43,23.8,51.75,32.0,149.38,74
RAJAT PATIDAR,2024-03-22,0,3,0.0,36.73,126.58,25.45,61.0,38.75,148.91,0
RAJAT PATIDAR,2024-03-25,18,18,100.0,33.67,116.03,23.58,49.0,30.0,117.33,18
RAJAT PATIDAR,2024-03-29,3,4,75.0,32.46,114.8,23.15,47.0,29.25,111.38,3
RAJAT PATIDAR,2024-04-02,29,21,138.1,30.36,111.96,21.79,19.75,16.75,78.28,37
RAJAT PATIDAR,2024-04-11,50,26,192.31,30.27,113.7,21.73,12.5,11.5,78.28,60
RAJAT PATIDAR,2024-04-15,9,5,180.0,31.5,118.61,22.0,25.0,17.25,126.35,15
RAJAT PATIDAR,2024-04-21,52,23,226.09,30.18,122.22,21.0,22.75,14.0,146.35,70
RAJAT PATIDAR,2024-04-25,50,20,250.0,31.39,127.99,21.11,35.0,18.75,184.12,60
RAJAT PATIDAR,2024-05-04,2,3,66.67,32.37,134.41,21.05,40.25,18.5,212.1,2
RAJAT PATIDAR,2024-05-09,55,23,239.13,30.85,131.03,20.15,28.25,12.75,180.69,73
RAJAT PATIDAR,2024-05-12,52,32,162.5,32.0,136.18,20.29,39.75,17.25,195.47,68
RAJAT PATIDAR,2024-05-18,41,23,178.26,32.91,137.37,20.82,39.75,19.5,179.58,51
RAJAT PATIDAR,2024-05-22,34,22,154.55,33.26,139.15,20.91,37.5,20.25,161.64,42
RAJAT PATIDAR,2025-03-22,34,16,212.5,33.29,139.79,20.96,45.5,25.0,183.61,44
RAJAT PATIDAR,2025-03-28,51,32,159.38,33.32,142.7,20.76,40.25,23.25,176.95,67
RAJAT PATIDAR,2025-04-02,12,12,100.0,34.0,143.34,21.19,40.0,23.25,176.17,12
RAJAT PATIDAR,2025-04-07,64,32,200.0,33.19,141.74,20.85,32.75,20.5,156.61,82
RAJAT PATIDAR,2025-04-10,25,23,108.7,34.29,143.82,21.25,40.25,23.0,167.97,25
RAJAT PATIDAR,2025-04-18,23,18,127.78,33.97,142.61,21.31,38.0,24.75,142.02,23
RAJAT PATIDAR,2025-04-20,12,13,92.31,33.6,142.11,21.2,31.0,21.25,134.12,12
RAJAT PATIDAR,2025-04-24,1,3,33.33,32.9,140.51,20.94,31.0,21.5,132.2,1
RAJAT PATIDAR,2025-04-27,6,6,100.0,31.91,137.16,20.38,15.25,14.25,90.53,6
RAJAT PATIDAR,2025-05-03,11,15,73.33,31.12,136.03,19.94,10.5,10.0,88.36,11
RAJAT PATIDAR,2025-05-23,18,16,112.5,30.53,134.19,19.79,7.5,9.25,74.74,18
RAJAT PATIDAR,2025-05-27,14,7,200.0,30.17,133.57,19.69,9.0,10.0,79.79,20
RAJAT PATIDAR,2025-05-29,15,8,187.5,29.72,135.41,19.33,12.25,11.0,121.46,21
