Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
RAMANDEEP SINGH,2022-04-09,6,12,50.0,0.0,0.0,0.0,0.0,0.0,0.0,6
RAMANDEEP SINGH,2022-05-09,12,16,75.0,6.0,50.0,12.0,6.0,12.0,50.0,12
RAMANDEEP SINGH,2022-05-17,14,6,233.33,9.0,62.5,14.0,9.0,14.0,62.5,20
RAMANDEEP SINGH,2022-05-21,13,6,216.67,10.67,119.44,11.33,10.67,11.33,119.44,19
RAMANDEEP SINGH,2024-03-23,35,17,205.88,11.25,143.75,10.0,11.25,10.0,143.75,45
RAMANDEEP SINGH,2024-04-03,2,2,100.0,16.0,156.18,11.4,18.5,11.25,182.72,2
RAMANDEEP SINGH,2024-04-08,13,12,108.33,13.67,146.81,9.83,16.0,7.75,188.97,13
RAMANDEEP SINGH,2024-04-16,1,1,100.0,13.57,141.32,10.14,15.75,9.25,157.72,1
RAMANDEEP SINGH,2024-04-21,24,9,266.67,12.0,136.15,9.0,12.75,8.0,128.55,30
RAMANDEEP SINGH,2024-04-26,6,3,200.0,13.33,150.65,9.0,10.0,6.0,143.75,12
RAMANDEEP SINGH,2024-05-03,2,4,50.0,12.6,155.59,8.4,11.0,6.25,168.75,2
RAMANDEEP SINGH,2024-05-05,25,6,416.67,11.64,145.99,8.0,8.25,4.25,154.17,31
RAMANDEEP SINGH,2024-05-11,17,8,212.5,12.75,168.55,7.83,14.25,5.5,233.33,23
RAMANDEEP SINGH,2025-03-22,6,9,66.67,13.08,171.93,7.85,12.5,5.25,219.79,6
RAMANDEEP SINGH,2025-03-31,22,12,183.33,12.57,164.41,7.93,12.5,6.75,186.46,28
RAMANDEEP SINGH,2025-04-08,1,2,50.0,13.2,165.67,8.2,17.5,8.75,219.79,1
RAMANDEEP SINGH,2025-04-15,0,1,0.0,12.44,158.44,7.81,11.5,7.75,128.12,0
RAMANDEEP SINGH,2025-04-21,1,2,50.0,11.71,149.12,7.41,7.25,6.0,75.0,1
