Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
RAVI BISHNOI,2020-10-01,1,5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
RAVI BISHNOI,2020-10-08,6,7,85.71,1.0,20.0,5.0,1.0,5.0,20.0,6
RAVI BISHNOI,2020-10-24,0,0,,3.5,52.86,6.0,3.5,6.0,52.86,0
RAVI BISHNOI,2021-04-26,1,4,25.0,2.33,52.86,4.0,2.33,4.0,52.86,1
RAVI BISHNOI,2022-04-19,0,1,0.0,2.0,43.57,4.0,2.0,4.0,43.57,0
RAVI BISHNOI,2023-04-10,3,2,150.0,1.6,32.68,3.4,1.75,3.0,36.9,7
RAVI BISHNOI,2023-04-15,3,1,300.0,1.83,56.14,3.17,1.0,1.75,58.33,9
RAVI BISHNOI,2023-04-22,0,1,0.0,2.0,96.79,2.86,1.75,2.0,118.75,0
RAVI BISHNOI,2023-05-01,5,10,50.0,1.75,82.96,2.62,1.5,1.25,112.5,5
RAVI BISHNOI,2023-05-07,4,5,80.0,2.11,78.84,3.44,2.75,3.5,125.0,4
RAVI BISHNOI,2023-05-20,2,2,100.0,2.3,78.97,3.6,3.0,4.25,107.5,2
RAVI BISHNOI,2023-05-24,3,6,50.0,2.27,81.07,3.45,2.75,4.5,57.5,3
RAVI BISHNOI,2024-03-30,0,1,0.0,2.33,78.25,3.67,3.5,5.75,70.0,0
RAVI BISHNOI,2024-05-05,2,3,66.67,2.15,71.73,3.46,2.25,3.5,57.5,2
RAVI BISHNOI,2024-05-14,2,2,100.0,2.14,71.34,3.43,1.75,3.0,54.17,2
RAVI BISHNOI,2025-03-24,0,2,0.0,2.13,73.38,3.33,1.75,3.0,54.17,0
RAVI BISHNOI,2025-04-27,13,14,92.86,2.0,68.49,3.25,1.0,2.0,41.67,13
RAVI BISHNOI,2025-05-19,0,0,,2.65,70.02,3.88,4.25,5.25,64.88,0
