Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
ROHIT SHARMA,2008-04-20,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ROHIT SHARMA,2008-04-22,66,36,183.33,0.0,0.0,3.0,0.0,3.0,0.0,84
ROHIT SHARMA,2008-04-24,36,30,120.0,33.0,91.66,19.5,33.0,19.5,91.66,40
ROHIT SHARMA,2008-05-01,76,42,180.95,34.0,101.11,23.0,34.0,23.0,101.11,106
ROHIT SHARMA,2008-05-03,57,42,135.71,44.5,121.07,27.75,44.5,27.75,121.07,73
ROHIT SHARMA,2008-05-06,23,17,135.29,47.0,124.0,30.6,58.75,37.5,155.0,27
ROHIT SHARMA,2008-05-09,5,8,62.5,43.0,125.88,28.33,48.0,32.75,142.99,5
ROHIT SHARMA,2008-05-11,33,24,137.5,37.57,116.83,25.43,40.25,27.25,128.61,41
ROHIT SHARMA,2008-05-15,35,18,194.44,37.0,119.41,25.25,29.5,22.75,117.75,45
ROHIT SHARMA,2008-05-18,6,10,60.0,36.78,127.75,24.44,24.0,16.75,132.43,6
ROHIT SHARMA,2008-05-23,50,27,185.19,33.7,120.97,23.0,19.75,15.0,113.61,60
ROHIT SHARMA,2008-05-25,17,16,106.25,35.18,126.81,23.36,31.0,19.75,144.28,17
ROHIT SHARMA,2009-04-19,36,32,112.5,33.67,125.1,22.75,27.0,17.75,136.47,40
ROHIT SHARMA,2009-04-22,52,30,173.33,33.85,124.13,23.46,27.25,21.25,115.98,70
ROHIT SHARMA,2009-04-25,3,5,60.0,35.14,127.64,23.93,38.75,26.25,144.32,3
ROHIT SHARMA,2009-04-27,18,19,94.74,33.0,123.13,22.67,27.0,20.75,113.02,18
ROHIT SHARMA,2009-04-30,17,20,85.0,32.06,121.36,22.44,27.25,21.5,110.14,17
ROHIT SHARMA,2009-05-02,38,32,118.75,31.18,119.22,22.29,22.5,18.5,103.27,42
ROHIT SHARMA,2009-05-04,21,20,105.0,31.56,119.19,22.83,19.0,19.0,89.62,21
ROHIT SHARMA,2009-05-06,38,36,105.56,31.0,118.45,22.68,23.5,22.75,100.87,42
ROHIT SHARMA,2009-05-09,9,15,60.0,31.35,117.8,23.35,28.5,27.0,103.58,9
ROHIT SHARMA,2009-05-11,9,14,64.29,30.29,115.05,22.95,26.5,25.75,97.33,9
ROHIT SHARMA,2009-05-13,6,7,85.71,29.32,112.74,22.55,19.25,21.25,83.71,6
ROHIT SHARMA,2009-05-16,32,13,246.15,28.3,111.57,21.87,15.5,18.0,78.89,42
ROHIT SHARMA,2009-05-17,42,26,161.54,28.46,117.17,21.5,14.0,12.25,114.04,50
ROHIT SHARMA,2009-05-21,12,12,100.0,29.0,118.95,21.68,22.25,15.0,139.42,12
ROHIT SHARMA,2009-05-22,5,11,45.45,28.35,118.22,21.31,23.0,14.5,148.35,5
ROHIT SHARMA,2009-05-24,24,23,104.35,27.48,115.53,20.93,22.75,15.5,138.28,24
ROHIT SHARMA,2010-03-12,13,12,108.33,27.36,115.13,21.0,20.75,18.0,102.84,13
ROHIT SHARMA,2010-03-14,19,10,190.0,26.86,114.89,20.69,13.5,14.5,89.53,25
ROHIT SHARMA,2010-03-19,1,2,50.0,26.6,117.4,20.33,15.25,14.0,112.03,1
ROHIT SHARMA,2010-03-21,45,30,150.0,25.77,115.22,19.74,14.25,11.75,113.17,53
ROHIT SHARMA,2010-03-26,49,35,140.0,26.38,116.31,20.06,19.5,13.5,124.58,57
ROHIT SHARMA,2010-03-28,45,28,160.71,27.06,117.03,20.52,28.5,19.25,132.5,53
ROHIT SHARMA,2010-04-01,2,6,33.33,27.59,118.31,20.74,35.0,23.75,125.18,2
ROHIT SHARMA,2010-04-03,11,13,84.62,26.86,115.88,20.31,35.25,24.75,121.01,11
ROHIT SHARMA,2010-04-05,73,44,165.91,26.42,115.01,20.11,26.75,20.5,104.66,89
ROHIT SHARMA,2010-04-08,6,5,120.0,27.68,116.39,20.76,32.75,22.75,111.14,6
ROHIT SHARMA,2010-04-10,8,15,53.33,27.11,116.48,20.34,23.0,17.0,100.96,8
ROHIT SHARMA,2010-04-12,51,46,110.87,26.62,114.87,20.21,24.5,19.25,105.96,63
ROHIT SHARMA,2010-04-16,68,38,178.95,27.22,114.77,20.85,34.5,27.5,112.53,86
ROHIT SHARMA,2010-04-18,11,9,122.22,28.22,116.33,21.27,33.25,26.0,115.79,11
ROHIT SHARMA,2010-04-22,2,5,40.0,27.81,116.47,20.98,34.5,27.0,116.34,2
ROHIT SHARMA,2010-04-24,0,4,0.0,27.21,114.69,20.6,33.0,24.5,113.01,0
ROHIT SHARMA,2011-04-10,27,30,90.0,26.59,112.09,20.23,20.25,14.0,85.29,31
ROHIT SHARMA,2011-04-20,20,18,111.11,26.6,111.6,20.44,10.0,12.0,63.06,20
ROHIT SHARMA,2011-04-22,87,48,181.25,26.46,111.58,20.39,12.25,14.25,60.28,117
ROHIT SHARMA,2011-04-24,56,34,164.71,27.74,113.07,20.98,33.5,25.0,95.59,72
ROHIT SHARMA,2011-04-29,13,22,59.09,28.33,114.14,21.25,47.5,32.5,136.77,13
ROHIT SHARMA,2011-05-02,18,11,163.64,28.02,113.02,21.27,44.0,30.5,129.04,22
ROHIT SHARMA,2011-05-04,12,20,60.0,27.82,114.03,21.06,43.5,28.75,142.17,12
ROHIT SHARMA,2011-05-07,49,32,153.12,27.51,112.97,21.04,24.75,21.75,111.86,57
ROHIT SHARMA,2011-05-10,5,5,100.0,27.92,113.74,21.25,23.0,21.25,108.96,5
ROHIT SHARMA,2011-05-14,4,6,66.67,27.49,113.49,20.94,21.0,17.0,119.19,4
ROHIT SHARMA,2011-05-20,58,47,123.4,27.06,112.62,20.67,17.5,15.75,94.95,70
ROHIT SHARMA,2011-05-22,10,9,111.11,27.62,112.81,21.15,29.0,22.5,110.8,10
ROHIT SHARMA,2011-05-25,0,0,,27.3,112.78,20.93,19.25,16.75,100.3,0
ROHIT SHARMA,2011-05-27,13,15,86.67,26.82,112.78,20.56,18.0,15.5,100.39,13
ROHIT SHARMA,2012-04-04,0,3,0.0,26.59,112.33,20.47,20.25,17.75,107.06,0
ROHIT SHARMA,2012-04-06,1,6,16.67,26.14,110.39,20.17,5.75,6.75,65.93,1
ROHIT SHARMA,2012-04-09,73,50,146.0,25.72,108.8,19.93,3.5,6.0,34.45,89
ROHIT SHARMA,2012-04-11,21,13,161.54,26.49,109.42,20.43,21.75,18.5,62.34,25
ROHIT SHARMA,2012-04-16,29,27,107.41,26.4,110.28,20.31,23.75,18.0,81.05,33
ROHIT SHARMA,2012-04-22,2,5,40.0,26.44,110.23,20.41,31.0,24.0,107.9,2
ROHIT SHARMA,2012-04-25,50,30,166.67,26.06,109.11,20.17,31.25,23.75,113.74,58
ROHIT SHARMA,2012-04-27,12,6,200.0,26.43,110.01,20.32,25.5,18.75,118.9,18
ROHIT SHARMA,2012-04-29,42,48,87.5,26.21,111.4,20.11,23.25,17.0,128.52,46
ROHIT SHARMA,2012-05-03,3,5,60.0,26.45,111.04,20.52,26.5,22.25,123.54,3
ROHIT SHARMA,2012-05-06,60,46,130.43,26.1,110.27,20.29,26.75,22.25,128.54,76
ROHIT SHARMA,2012-05-09,0,3,0.0,26.59,110.57,20.67,29.25,26.25,119.48,0
ROHIT SHARMA,2012-05-12,109,60,181.67,26.21,108.97,20.41,26.25,25.5,69.48,155
ROHIT SHARMA,2012-05-14,5,7,71.43,27.38,110.01,20.97,43.0,28.5,93.02,5
ROHIT SHARMA,2012-05-16,12,14,85.71,27.07,109.46,20.78,43.5,29.0,95.88,12
ROHIT SHARMA,2012-05-23,14,19,73.68,26.86,109.13,20.68,31.5,21.0,84.7,14
ROHIT SHARMA,2013-04-04,11,11,100.0,26.69,108.65,20.66,35.0,25.0,103.12,11
