Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
ROMARIO SHEPHERD,2022-03-29,24,18,133.33,0.0,0.0,0.0,0.0,0.0,0.0,28
ROMARIO SHEPHERD,2022-04-04,8,8,100.0,24.0,133.33,18.0,24.0,18.0,133.33,8
ROMARIO SHEPHERD,2022-05-22,26,15,173.33,16.0,116.66,13.0,16.0,13.0,116.66,36
ROMARIO SHEPHERD,2023-04-07,0,1,0.0,19.33,135.55,13.67,19.33,13.67,135.55,0
ROMARIO SHEPHERD,2024-03-27,15,6,250.0,14.5,101.66,10.5,14.5,10.5,101.66,21
ROMARIO SHEPHERD,2024-04-07,39,10,390.0,14.6,131.33,9.6,12.25,7.5,130.83,49
ROMARIO SHEPHERD,2024-04-14,1,2,50.0,18.67,174.44,9.67,20.0,8.0,203.33,1
ROMARIO SHEPHERD,2024-04-18,1,2,50.0,16.14,156.67,8.57,13.75,4.75,172.5,1
ROMARIO SHEPHERD,2024-05-17,1,1,100.0,14.25,143.33,7.75,14.0,5.0,185.0,1
ROMARIO SHEPHERD,2025-05-03,53,14,378.57,12.78,138.52,7.0,10.5,3.75,147.5,71
ROMARIO SHEPHERD,2025-05-23,0,1,0.0,16.8,162.52,7.7,14.0,4.75,144.64,0
