Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
RUTURAJ GAIKWAD,2020-09-22,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RUTURAJ GAIKWAD,2020-09-25,5,10,50.0,0.0,0.0,1.0,0.0,1.0,0.0,5
RUTURAJ GAIKWAD,2020-10-23,0,5,0.0,2.5,25.0,5.5,2.5,5.5,25.0,0
RUTURAJ GAIKWAD,2020-10-25,65,51,127.45,1.67,16.67,5.33,1.67,5.33,16.67,77
RUTURAJ GAIKWAD,2020-10-29,72,53,135.85,17.5,44.36,16.75,17.5,16.75,44.36,88
RUTURAJ GAIKWAD,2020-11-01,62,49,126.53,28.4,62.66,24.0,35.5,29.75,78.32,74
RUTURAJ GAIKWAD,2021-04-10,5,8,62.5,34.0,73.3,28.17,49.75,39.5,97.46,5
RUTURAJ GAIKWAD,2021-04-16,5,16,31.25,29.86,71.76,25.29,51.0,40.25,113.08,5
RUTURAJ GAIKWAD,2021-04-19,10,13,76.92,26.75,66.7,24.12,36.0,31.5,89.03,10
RUTURAJ GAIKWAD,2021-04-21,64,42,152.38,24.89,67.83,22.89,20.5,21.5,74.3,80
RUTURAJ GAIKWAD,2021-04-25,33,25,132.0,28.8,76.29,24.8,21.0,19.75,80.76,41
RUTURAJ GAIKWAD,2021-04-28,75,44,170.45,29.18,81.35,24.82,28.0,24.0,98.14,93
RUTURAJ GAIKWAD,2021-05-01,4,4,100.0,33.0,88.78,26.42,45.5,31.0,132.94,4
RUTURAJ GAIKWAD,2021-09-19,88,58,151.72,30.77,89.64,24.69,44.0,28.75,138.71,116
RUTURAJ GAIKWAD,2021-09-24,38,26,146.15,34.86,94.08,27.07,50.0,32.75,138.54,46
RUTURAJ GAIKWAD,2021-09-26,40,28,142.86,35.07,97.55,27.0,51.25,33.0,142.08,48
RUTURAJ GAIKWAD,2021-09-30,45,38,118.42,35.38,100.38,27.06,42.5,29.0,135.18,49
RUTURAJ GAIKWAD,2021-10-02,101,60,168.33,35.94,101.44,27.71,52.75,37.5,139.79,145
RUTURAJ GAIKWAD,2021-10-04,13,13,100.0,39.56,105.16,29.5,56.0,38.0,143.94,13
RUTURAJ GAIKWAD,2021-10-07,12,14,85.71,38.16,104.88,28.63,49.75,34.75,132.4,12
RUTURAJ GAIKWAD,2021-10-10,70,50,140.0,36.85,103.93,27.9,42.75,31.25,118.12,86
RUTURAJ GAIKWAD,2021-10-15,32,27,118.52,38.43,105.64,28.95,49.0,34.25,123.51,36
RUTURAJ GAIKWAD,2022-03-26,0,4,0.0,38.14,106.23,28.86,31.75,26.0,111.06,0
RUTURAJ GAIKWAD,2022-03-31,1,4,25.0,36.48,101.61,27.78,28.5,23.75,86.06,1
RUTURAJ GAIKWAD,2022-04-03,1,4,25.0,35.0,98.42,26.79,25.75,21.25,70.88,1
RUTURAJ GAIKWAD,2022-04-09,16,13,123.08,33.64,95.48,25.88,8.5,9.75,42.13,16
RUTURAJ GAIKWAD,2022-04-12,17,16,106.25,32.96,96.54,25.38,4.5,6.25,43.27,17
RUTURAJ GAIKWAD,2022-04-17,73,48,152.08,32.37,96.9,25.04,8.75,9.25,69.83,89
RUTURAJ GAIKWAD,2022-04-21,0,1,0.0,33.82,98.87,25.86,26.75,20.25,101.6,0
RUTURAJ GAIKWAD,2022-04-25,30,27,111.11,32.66,95.46,25.0,26.5,19.5,95.35,34
RUTURAJ GAIKWAD,2022-05-01,99,57,173.68,32.57,95.99,25.07,30.0,23.0,92.36,129
RUTURAJ GAIKWAD,2022-05-04,28,23,121.74,34.71,98.49,26.1,50.5,33.25,109.22,32
RUTURAJ GAIKWAD,2022-05-08,41,33,124.24,34.5,99.22,26.0,39.25,27.0,101.63,45
