Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
SACHIN BABY,2013-05-17,3,7,42.86,0.0,0.0,0.0,0.0,0.0,0.0,3
SACHIN BABY,2016-04-30,27,16,168.75,3.0,42.86,7.0,3.0,7.0,42.86,35
SACHIN BABY,2016-05-02,16,8,200.0,15.0,105.8,11.5,15.0,11.5,105.8,22
SACHIN BABY,2016-05-09,33,29,113.79,15.33,137.2,10.33,15.33,10.33,137.2,37
SACHIN BABY,2016-05-11,25,13,192.31,19.75,131.35,15.0,19.75,15.0,131.35,31
SACHIN BABY,2016-05-24,0,3,0.0,20.8,143.54,14.6,25.25,16.5,168.71,0
SACHIN BABY,2016-05-29,18,10,180.0,17.33,119.62,12.67,18.5,13.25,126.52,24
SACHIN BABY,2017-04-05,1,3,33.33,17.43,128.24,12.29,19.0,13.75,121.52,1
SACHIN BABY,2017-04-29,2,4,50.0,15.38,116.38,11.12,11.0,7.25,101.41,2
SACHIN BABY,2017-05-14,12,8,150.0,13.89,109.0,10.33,5.25,5.0,65.83,16
SACHIN BABY,2021-09-20,7,17,41.18,13.7,113.1,10.1,8.25,6.25,103.33,7
