Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
SAI SUDHARSAN,2022-04-08,35,30,116.67,0.0,0.0,0.0,0.0,0.0,0.0,39
SAI SUDHARSAN,2022-04-11,11,9,122.22,35.0,116.67,30.0,35.0,30.0,116.67,11
SAI SUDHARSAN,2022-04-30,20,14,142.86,23.0,119.44,19.5,23.0,19.5,119.44,24
SAI SUDHARSAN,2022-05-03,65,50,130.0,22.0,127.25,17.67,22.0,17.67,127.25,81
SAI SUDHARSAN,2022-05-06,14,11,127.27,32.75,127.94,25.75,32.75,25.75,127.94,14
SAI SUDHARSAN,2023-03-31,22,17,129.41,29.0,127.8,22.8,27.5,21.0,130.59,22
SAI SUDHARSAN,2023-04-04,62,48,129.17,27.83,128.07,21.83,30.25,23.0,132.38,74
SAI SUDHARSAN,2023-04-09,53,38,139.47,32.71,128.23,25.57,40.75,31.5,128.96,69
SAI SUDHARSAN,2023-04-13,19,20,95.0,35.25,129.63,27.12,37.75,28.5,131.33,19
SAI SUDHARSAN,2023-04-16,20,19,105.26,33.44,125.79,26.33,39.0,30.75,123.26,20
SAI SUDHARSAN,2023-05-15,47,36,130.56,32.1,123.73,25.6,38.5,31.25,117.22,55
SAI SUDHARSAN,2023-05-26,43,31,138.71,33.45,124.35,26.55,34.75,28.25,117.57,51
SAI SUDHARSAN,2023-05-29,96,47,204.26,34.25,125.55,26.92,32.25,26.5,117.38,126
SAI SUDHARSAN,2024-03-24,45,39,115.38,39.0,131.6,28.46,51.5,33.25,144.7,49
SAI SUDHARSAN,2024-03-26,37,31,119.35,39.43,130.45,29.21,57.75,38.25,147.23,41
SAI SUDHARSAN,2024-03-31,45,36,125.0,39.27,129.71,29.33,55.25,37.0,144.43,49
SAI SUDHARSAN,2024-04-04,33,19,173.68,39.62,129.41,29.75,55.75,38.25,141.0,43
SAI SUDHARSAN,2024-04-07,31,23,134.78,39.24,132.02,29.12,40.0,31.25,133.35,39
SAI SUDHARSAN,2024-04-10,35,29,120.69,38.78,132.17,28.78,36.5,27.25,138.2,39
SAI SUDHARSAN,2024-04-17,12,9,133.33,38.58,131.57,28.79,36.0,26.75,138.54,16
SAI SUDHARSAN,2024-04-21,31,34,91.18,37.25,131.65,27.8,27.75,20.0,140.62,35
SAI SUDHARSAN,2024-04-24,65,39,166.67,36.95,129.73,28.1,27.25,23.75,120.0,81
SAI SUDHARSAN,2024-04-28,84,49,171.43,38.23,131.41,28.59,35.75,27.75,127.97,114
SAI SUDHARSAN,2024-05-04,6,14,42.86,40.22,133.15,29.48,48.0,32.75,140.65,6
SAI SUDHARSAN,2024-05-10,103,51,201.96,38.79,129.38,28.83,46.5,34.0,118.04,149
SAI SUDHARSAN,2025-03-25,74,41,180.49,41.36,132.29,29.72,64.5,38.25,145.73,92
SAI SUDHARSAN,2025-03-29,63,41,153.66,42.62,134.14,30.15,66.75,38.75,149.18,79
SAI SUDHARSAN,2025-04-02,49,36,136.11,43.37,134.86,30.56,61.5,36.75,144.74,57
SAI SUDHARSAN,2025-04-06,5,9,55.56,43.57,134.91,30.75,72.25,42.25,168.06,5
SAI SUDHARSAN,2025-04-09,82,53,154.72,42.24,132.17,30.0,47.75,31.75,131.46,110
SAI SUDHARSAN,2025-04-12,56,37,151.35,43.57,132.92,30.77,49.75,34.75,125.01,72
SAI SUDHARSAN,2025-04-19,36,21,171.43,43.97,133.52,30.97,48.0,33.75,124.44,46
SAI SUDHARSAN,2025-04-21,52,36,144.44,43.72,134.7,30.66,44.75,30.0,133.26,68
SAI SUDHARSAN,2025-04-28,39,30,130.0,43.97,135.0,30.82,56.5,36.75,155.49,47
SAI SUDHARSAN,2025-05-02,48,23,208.7,43.82,134.85,30.79,45.75,31.0,149.3,58
SAI SUDHARSAN,2025-05-06,5,5,100.0,43.94,136.96,30.57,43.75,27.5,163.64,5
SAI SUDHARSAN,2025-05-18,108,61,177.05,42.86,135.93,29.86,36.0,23.5,145.78,154
SAI SUDHARSAN,2025-05-22,21,16,131.25,44.62,137.05,30.7,50.0,29.75,153.94,25
SAI SUDHARSAN,2025-05-25,41,28,146.43,44.0,136.89,30.32,45.5,26.25,154.25,49
