Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
SAM CURRAN,2019-04-01,20,10,200.0,0.0,0.0,0.0,0.0,0.0,0.0,26
SAM CURRAN,2019-04-06,0,1,0.0,20.0,200.0,10.0,20.0,10.0,200.0,0
SAM CURRAN,2019-04-08,5,3,166.67,10.0,100.0,5.5,10.0,5.5,100.0,9
SAM CURRAN,2019-04-10,8,3,266.67,8.33,122.22,4.67,8.33,4.67,122.22,14
SAM CURRAN,2019-04-13,1,3,33.33,8.25,158.33,4.25,8.25,4.25,158.34,1
SAM CURRAN,2019-04-20,0,4,0.0,6.8,133.33,4.0,3.5,2.5,116.67,0
SAM CURRAN,2019-05-03,55,24,229.17,5.67,111.11,4.0,3.5,3.25,116.67,73
SAM CURRAN,2019-05-05,6,7,85.71,12.71,127.98,6.86,16.0,8.5,132.29,6
SAM CURRAN,2020-09-19,18,6,300.0,11.88,122.69,6.88,15.5,9.5,87.05,24
SAM CURRAN,2020-09-22,17,6,283.33,12.56,142.39,6.78,19.75,10.25,153.72,23
SAM CURRAN,2020-09-25,1,2,50.0,13.0,156.49,6.7,24.0,10.75,224.55,1
SAM CURRAN,2020-10-02,15,5,300.0,11.91,146.81,6.27,10.5,5.25,179.76,21
SAM CURRAN,2020-10-07,17,11,154.55,12.17,159.57,6.17,12.75,4.75,233.33,21
SAM CURRAN,2020-10-10,0,1,0.0,12.54,159.19,6.54,12.5,6.0,196.97,0
SAM CURRAN,2020-10-13,31,21,147.62,11.64,147.82,6.14,8.25,4.75,126.14,39
SAM CURRAN,2020-10-17,0,3,0.0,12.93,147.8,7.13,15.75,9.5,150.54,0
SAM CURRAN,2020-10-19,22,25,88.0,12.12,138.57,6.88,12.0,9.0,75.54,22
SAM CURRAN,2020-10-23,52,47,110.64,12.71,135.59,7.94,13.25,12.5,58.91,64
SAM CURRAN,2020-10-29,13,14,92.86,14.89,134.21,10.11,26.25,24.0,86.57,13
SAM CURRAN,2021-04-10,34,15,226.67,14.79,132.03,10.32,21.75,22.25,72.88,44
SAM CURRAN,2021-04-16,5,4,125.0,15.75,136.76,10.55,30.25,25.25,129.54,5
SAM CURRAN,2021-04-19,13,6,216.67,15.24,136.2,10.24,26.0,20.0,138.79,19
SAM CURRAN,2021-09-26,4,4,100.0,15.14,139.86,10.05,16.25,9.75,165.3,4
SAM CURRAN,2023-04-01,26,17,152.94,14.65,138.13,9.78,14.0,7.25,167.08,34
SAM CURRAN,2023-04-05,1,2,50.0,15.12,138.74,10.08,12.0,7.75,148.65,1
SAM CURRAN,2023-04-09,22,15,146.67,14.56,135.19,9.76,11.0,7.25,129.9,26
SAM CURRAN,2023-04-13,22,22,100.0,14.85,135.63,9.96,13.25,9.5,112.4,22
SAM CURRAN,2023-04-15,6,6,100.0,15.11,134.31,10.41,17.75,14.0,112.4,6
SAM CURRAN,2023-04-20,10,12,83.33,14.79,133.09,10.25,12.75,11.25,99.17,10
SAM CURRAN,2023-04-22,55,29,189.66,14.62,131.37,10.31,15.0,13.75,107.5,73
SAM CURRAN,2023-04-28,21,11,190.91,15.97,133.32,10.93,23.25,17.25,118.25,27
SAM CURRAN,2023-04-30,29,20,145.0,16.13,135.17,10.94,23.0,14.5,140.98,37
SAM CURRAN,2023-05-08,4,9,44.44,16.53,135.48,11.22,28.75,18.0,152.22,4
SAM CURRAN,2023-05-13,20,24,83.33,16.15,132.72,11.15,27.25,17.25,142.5,20
SAM CURRAN,2023-05-17,11,5,220.0,16.26,131.27,11.53,18.5,16.0,115.92,17
SAM CURRAN,2023-05-19,49,31,158.06,16.11,133.8,11.34,16.0,14.5,123.19,57
SAM CURRAN,2024-03-23,63,47,134.04,17.03,134.48,11.89,21.0,17.25,126.46,79
SAM CURRAN,2024-03-25,23,17,135.29,18.27,134.47,12.84,35.75,26.75,148.86,27
SAM CURRAN,2024-03-30,0,1,0.0,18.39,134.49,12.95,36.5,25.0,161.85,0
SAM CURRAN,2024-04-04,5,8,62.5,17.92,131.04,12.64,33.75,24.0,106.85,5
SAM CURRAN,2024-04-09,29,22,131.82,17.6,129.33,12.52,22.75,18.25,82.96,37
SAM CURRAN,2024-04-13,6,10,60.0,17.88,129.39,12.76,14.25,12.0,82.4,6
SAM CURRAN,2024-04-18,6,7,85.71,17.6,127.74,12.69,10.0,10.25,63.58,6
SAM CURRAN,2024-04-21,20,19,105.26,17.33,126.76,12.56,11.5,11.75,85.01,20
SAM CURRAN,2024-05-01,26,20,130.0,17.39,126.27,12.7,15.25,14.5,95.7,34
SAM CURRAN,2024-05-05,7,11,63.64,17.58,126.35,12.87,14.5,14.0,95.24,7
SAM CURRAN,2024-05-09,22,16,137.5,17.35,124.99,12.83,14.75,14.25,96.15,26
SAM CURRAN,2024-05-15,63,41,153.66,17.45,125.26,12.89,18.75,16.5,109.1,79
SAM CURRAN,2025-03-23,4,9,44.44,18.4,125.85,13.48,29.5,22.0,121.2,4
SAM CURRAN,2025-03-28,8,13,61.54,18.1,124.19,13.39,24.0,19.25,99.81,8
