Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
SHAHRUKH KHAN,2021-04-12,6,4,150.0,0.0,0.0,0.0,0.0,0.0,0.0,10
SHAHRUKH KHAN,2021-04-16,47,36,130.56,6.0,150.0,4.0,6.0,4.0,150.0,55
SHAHRUKH KHAN,2021-04-18,15,5,300.0,26.5,140.28,20.0,26.5,20.0,140.28,21
SHAHRUKH KHAN,2021-04-21,22,17,129.41,22.67,193.52,15.0,22.67,15.0,193.52,22
SHAHRUKH KHAN,2021-04-26,13,14,92.86,22.5,177.49,15.5,22.5,15.5,177.49,13
SHAHRUKH KHAN,2021-04-30,0,3,0.0,20.6,160.57,15.2,24.25,18.0,163.21,0
SHAHRUKH KHAN,2021-05-02,4,5,80.0,17.17,133.8,13.17,12.5,9.75,130.57,4
SHAHRUKH KHAN,2021-10-01,22,9,244.44,15.29,126.12,12.0,9.75,9.75,75.57,28
SHAHRUKH KHAN,2021-10-03,16,11,145.45,16.12,140.91,11.62,9.75,7.75,104.32,20
SHAHRUKH KHAN,2021-10-07,8,10,80.0,16.11,141.41,11.56,10.5,7.0,117.47,8
SHAHRUKH KHAN,2022-03-27,24,20,120.0,15.3,135.27,11.4,12.5,8.75,137.47,24
SHAHRUKH KHAN,2022-04-01,0,5,0.0,16.09,133.88,12.18,17.5,12.5,147.47,0
SHAHRUKH KHAN,2022-04-03,6,11,54.55,14.75,122.73,11.58,12.0,11.5,86.36,6
SHAHRUKH KHAN,2022-04-08,15,8,187.5,14.08,117.48,11.54,9.5,11.5,63.64,21
SHAHRUKH KHAN,2022-04-13,15,6,250.0,14.14,122.48,11.29,11.25,11.0,90.51,21
SHAHRUKH KHAN,2022-04-17,26,28,92.86,14.2,130.98,10.93,9.0,7.5,123.01,30
SHAHRUKH KHAN,2022-04-20,12,20,60.0,14.94,128.6,12.0,15.5,13.25,146.23,12
SHAHRUKH KHAN,2022-05-22,19,10,190.0,14.76,124.57,12.47,17.0,15.5,147.59,25
SHAHRUKH KHAN,2023-04-01,11,7,157.14,15.0,128.2,12.33,18.0,16.0,148.21,15
SHAHRUKH KHAN,2023-04-05,11,10,110.0,14.79,129.72,12.05,17.0,16.25,125.0,11
SHAHRUKH KHAN,2023-04-09,4,3,133.33,14.6,128.74,11.95,13.25,11.75,129.28,8
SHAHRUKH KHAN,2023-04-13,22,9,244.44,14.1,128.96,11.52,11.25,7.5,147.62,28
SHAHRUKH KHAN,2023-04-15,23,10,230.0,14.45,134.21,11.41,12.0,7.25,161.23,29
SHAHRUKH KHAN,2023-04-20,7,5,140.0,14.83,138.37,11.35,15.0,8.0,179.44,11
SHAHRUKH KHAN,2023-04-22,0,0,,14.5,138.44,11.08,14.0,6.75,186.94,0
SHAHRUKH KHAN,2023-04-28,6,9,66.67,13.92,138.44,10.64,13.0,6.0,204.81,6
SHAHRUKH KHAN,2023-04-30,2,3,66.67,13.62,135.57,10.58,9.0,6.0,145.56,2
SHAHRUKH KHAN,2023-05-08,21,8,262.5,13.19,132.92,10.3,3.75,4.25,91.11,27
SHAHRUKH KHAN,2023-05-13,2,4,50.0,13.46,137.72,10.21,7.25,5.0,131.95,2
SHAHRUKH KHAN,2023-05-17,6,3,200.0,13.07,134.58,10.0,7.75,6.0,111.46,12
SHAHRUKH KHAN,2023-05-19,41,23,178.26,12.83,136.84,9.77,7.75,4.5,144.79,51
SHAHRUKH KHAN,2024-04-10,14,8,175.0,13.74,138.22,10.19,17.5,9.5,172.69,20
SHAHRUKH KHAN,2024-04-17,0,1,0.0,13.75,139.41,10.12,15.75,9.5,150.82,0
SHAHRUKH KHAN,2024-04-21,8,4,200.0,13.33,135.05,9.85,15.25,8.75,138.32,14
SHAHRUKH KHAN,2024-04-24,8,5,160.0,13.18,137.02,9.68,15.75,9.0,138.32,12
SHAHRUKH KHAN,2024-04-28,58,30,193.33,13.03,137.7,9.54,7.5,4.5,133.75,76
SHAHRUKH KHAN,2024-05-04,37,24,154.17,14.28,139.28,10.11,18.5,10.0,138.33,45
SHAHRUKH KHAN,2024-05-10,2,3,66.67,14.89,139.7,10.49,27.75,15.75,176.88,2
SHAHRUKH KHAN,2025-03-25,6,1,600.0,14.55,137.72,10.29,26.25,15.5,143.54,12
SHAHRUKH KHAN,2025-03-29,9,7,128.57,14.33,149.89,10.05,25.75,14.5,253.54,9
SHAHRUKH KHAN,2025-04-09,36,20,180.0,14.2,149.34,9.98,13.5,8.75,237.35,46
SHAHRUKH KHAN,2025-04-12,11,6,183.33,14.73,150.11,10.22,13.25,7.75,243.81,17
SHAHRUKH KHAN,2025-04-21,11,5,220.0,14.64,150.92,10.12,15.5,8.5,272.98,17
SHAHRUKH KHAN,2025-04-28,5,2,250.0,14.56,152.56,10.0,16.75,9.5,177.98,11
SHAHRUKH KHAN,2025-05-02,6,2,300.0,14.34,154.83,9.82,15.75,8.25,208.33,12
SHAHRUKH KHAN,2025-05-06,6,6,100.0,14.16,158.13,9.64,8.25,3.75,238.33,6
SHAHRUKH KHAN,2025-05-22,57,29,196.55,13.98,156.84,9.57,7.0,3.75,217.5,75
SHAHRUKH KHAN,2025-05-25,19,15,126.67,14.89,157.7,9.98,18.5,9.75,211.64,19
