Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
SHERFANE RUTHERFORD,2019-04-20,2,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2
SHERFANE RUTHERFORD,2019-04-22,11,5,220.0,2.0,100.0,2.0,2.0,2.0,100.0,17
SHERFANE RUTHERFORD,2019-04-28,28,13,215.38,6.5,160.0,3.5,6.5,3.5,160.0,38
SHERFANE RUTHERFORD,2019-05-01,2,4,50.0,13.67,178.46,6.67,13.67,6.67,178.46,2
SHERFANE RUTHERFORD,2019-05-04,11,6,183.33,10.75,146.34,6.0,10.75,6.0,146.34,17
SHERFANE RUTHERFORD,2019-05-08,9,12,75.0,10.8,153.74,6.0,13.0,7.0,167.18,9
SHERFANE RUTHERFORD,2019-05-10,10,12,83.33,10.5,140.62,7.0,12.5,8.75,130.93,10
SHERFANE RUTHERFORD,2022-03-30,28,40,70.0,10.43,132.43,7.71,8.0,8.5,97.92,32
SHERFANE RUTHERFORD,2022-04-05,5,10,50.0,12.62,124.63,11.75,14.5,17.5,102.92,5
SHERFANE RUTHERFORD,2025-03-25,46,28,164.29,11.78,116.34,11.56,13.0,18.5,69.58,54
SHERFANE RUTHERFORD,2025-03-29,18,11,163.64,15.2,121.13,13.2,22.25,22.5,91.9,22
SHERFANE RUTHERFORD,2025-04-02,30,18,166.67,15.45,125.0,13.0,24.25,22.25,111.98,38
SHERFANE RUTHERFORD,2025-04-06,35,16,218.75,16.67,128.47,13.42,24.75,16.75,136.15,45
SHERFANE RUTHERFORD,2025-04-09,7,3,233.33,18.08,135.41,13.62,32.25,18.25,178.34,13
SHERFANE RUTHERFORD,2025-04-12,22,19,115.79,17.29,142.41,12.86,22.5,12.0,195.6,22
SHERFANE RUTHERFORD,2025-04-19,43,34,126.47,17.6,140.63,13.27,23.5,14.0,183.64,47
SHERFANE RUTHERFORD,2025-05-06,28,15,186.67,19.19,139.75,14.56,26.75,18.0,173.58,38
SHERFANE RUTHERFORD,2025-05-22,38,22,172.73,19.71,142.51,14.59,25.0,17.75,165.56,48
SHERFANE RUTHERFORD,2025-05-25,0,4,0.0,20.72,144.19,15.0,32.75,22.5,150.42,0
