Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
SHREYAS GOPAL,2014-05-23,11,10,110.0,0.0,0.0,0.0,0.0,0.0,0.0,11
SHREYAS GOPAL,2015-04-14,1,1,100.0,11.0,110.0,10.0,11.0,10.0,110.0,1
SHREYAS GOPAL,2016-04-09,2,16,12.5,6.0,105.0,5.5,6.0,5.5,105.0,2
SHREYAS GOPAL,2018-04-09,18,18,100.0,4.67,74.17,9.0,4.67,9.0,74.17,18
SHREYAS GOPAL,2018-04-18,0,1,0.0,8.0,80.62,11.25,8.0,11.25,80.62,0
SHREYAS GOPAL,2018-04-20,8,10,80.0,6.4,64.5,9.2,5.25,9.0,53.12,8
SHREYAS GOPAL,2018-05-06,24,16,150.0,6.67,67.08,9.33,7.0,11.25,48.12,28
SHREYAS GOPAL,2019-03-25,1,1,100.0,9.14,78.93,10.29,12.5,11.25,82.5,1
SHREYAS GOPAL,2019-03-31,0,3,0.0,8.12,81.56,9.12,8.25,7.0,82.5,0
SHREYAS GOPAL,2019-04-11,19,7,271.43,7.22,72.5,8.44,8.25,7.5,82.5,25
SHREYAS GOPAL,2019-04-13,13,7,185.71,8.4,92.39,8.3,11.0,6.75,130.36,19
SHREYAS GOPAL,2019-04-16,0,1,0.0,8.82,100.88,8.18,8.25,4.5,139.28,0
SHREYAS GOPAL,2019-04-25,18,9,200.0,8.08,92.47,7.58,8.0,4.5,114.28,24
SHREYAS GOPAL,2019-05-04,12,18,66.67,8.85,100.74,7.69,12.5,6.0,164.28,12
SHREYAS GOPAL,2020-09-30,5,7,71.43,9.07,98.31,8.43,10.75,8.75,113.1,5
SHREYAS GOPAL,2020-10-06,1,2,50.0,8.8,96.52,8.33,8.75,8.75,84.52,1
SHREYAS GOPAL,2020-10-09,2,3,66.67,8.31,93.61,7.94,9.0,9.0,97.02,2
SHREYAS GOPAL,2020-10-14,6,4,150.0,7.94,92.02,7.65,5.0,7.5,63.69,10
SHREYAS GOPAL,2020-11-01,23,23,100.0,7.83,95.25,7.44,3.5,4.0,84.52,23
SHREYAS GOPAL,2021-04-22,7,4,175.0,8.63,95.5,8.26,8.0,8.0,91.67,13
SHREYAS GOPAL,2021-10-05,0,1,0.0,8.55,99.47,8.05,9.5,8.5,122.92,0
SHREYAS GOPAL,2022-05-05,9,7,128.57,8.14,94.73,7.71,9.0,8.0,106.25,9
