Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
SHUBMAN GILL,2018-04-14,3,9,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3
SHUBMAN GILL,2018-04-16,6,5,120.0,3.0,33.33,9.0,3.0,9.0,33.33,6
SHUBMAN GILL,2018-04-21,14,8,175.0,4.5,76.66,7.0,4.5,7.0,76.66,20
SHUBMAN GILL,2018-04-27,37,29,127.59,7.67,109.44,7.33,7.67,7.33,109.44,41
SHUBMAN GILL,2018-04-29,5,2,250.0,15.0,113.98,12.75,15.0,12.75,113.98,11
SHUBMAN GILL,2018-05-03,57,36,158.33,13.0,141.18,10.6,15.5,11.0,168.15,73
SHUBMAN GILL,2018-05-06,7,5,140.0,20.33,144.04,14.83,28.25,18.75,177.73,11
SHUBMAN GILL,2018-05-12,16,8,200.0,18.43,143.46,13.43,26.5,18.0,168.98,22
SHUBMAN GILL,2018-05-19,0,0,,18.12,150.53,12.75,21.25,12.75,187.08,0
SHUBMAN GILL,2018-05-23,28,17,164.71,16.11,150.53,11.33,20.0,12.25,166.11,36
SHUBMAN GILL,2018-05-25,30,20,150.0,17.3,152.11,11.9,12.75,7.5,168.24,38
SHUBMAN GILL,2019-03-24,18,10,180.0,18.45,151.9,12.64,18.5,11.25,171.57,24
SHUBMAN GILL,2019-03-30,4,5,80.0,18.42,154.45,12.42,19.0,11.75,164.9,4
SHUBMAN GILL,2019-04-05,3,3,100.0,17.31,148.25,11.85,20.0,13.0,143.68,3
SHUBMAN GILL,2019-04-07,6,10,60.0,16.29,144.54,11.21,13.75,9.5,127.5,6
SHUBMAN GILL,2019-04-09,9,12,75.0,15.6,138.5,11.13,7.75,7.0,105.0,9
SHUBMAN GILL,2019-04-12,65,39,166.67,15.19,134.26,11.19,5.5,7.5,78.75,81
SHUBMAN GILL,2019-04-14,15,20,75.0,18.12,136.29,12.82,20.75,16.0,100.42,15
SHUBMAN GILL,2019-04-19,9,11,81.82,17.94,132.68,13.22,23.75,20.25,94.17,9
SHUBMAN GILL,2019-04-21,3,4,75.0,17.47,129.86,13.11,24.5,20.5,99.62,3
SHUBMAN GILL,2019-04-25,14,14,100.0,16.75,126.97,12.65,23.0,18.5,99.62,14
SHUBMAN GILL,2019-04-28,76,45,168.89,16.62,125.62,12.71,10.25,12.25,82.96,104
SHUBMAN GILL,2019-05-03,65,49,132.65,19.32,127.68,14.18,25.5,18.5,106.43,81
SHUBMAN GILL,2019-05-05,9,16,56.25,21.3,127.91,15.7,39.5,28.0,119.14,9
SHUBMAN GILL,2020-09-23,7,11,63.64,20.79,124.79,15.71,41.0,31.0,114.45,7
SHUBMAN GILL,2020-09-26,70,62,112.9,20.24,122.24,15.52,39.25,30.25,105.36,82
SHUBMAN GILL,2020-09-30,47,34,138.24,22.15,121.87,17.31,37.75,34.5,91.36,55
SHUBMAN GILL,2020-10-03,28,22,127.27,23.07,122.5,17.93,33.25,30.75,92.76,32
SHUBMAN GILL,2020-10-07,11,12,91.67,23.25,122.68,18.07,38.0,32.25,110.51,11
SHUBMAN GILL,2020-10-10,57,47,121.28,22.83,121.57,17.86,39.0,32.5,117.52,69
SHUBMAN GILL,2020-10-12,34,25,136.0,23.97,121.56,18.83,35.75,28.75,119.62,42
SHUBMAN GILL,2020-10-16,21,23,91.3,24.29,122.04,19.03,32.5,26.5,119.06,21
SHUBMAN GILL,2020-10-18,36,37,97.3,24.19,121.05,19.16,30.75,26.75,110.06,40
SHUBMAN GILL,2020-10-21,1,6,16.67,24.55,120.31,19.7,37.0,33.0,111.47,1
SHUBMAN GILL,2020-10-24,9,8,112.5,23.85,117.17,19.29,23.0,22.75,85.32,9
SHUBMAN GILL,2020-10-26,57,45,126.67,23.43,117.03,18.97,16.75,18.5,79.44,69
SHUBMAN GILL,2020-10-29,26,17,152.94,24.36,117.31,19.69,25.75,24.0,88.28,34
SHUBMAN GILL,2020-11-01,36,24,150.0,24.41,118.3,19.62,23.25,19.0,102.2,44
SHUBMAN GILL,2021-04-11,15,13,115.38,24.71,119.15,19.74,32.0,23.5,135.53,15
SHUBMAN GILL,2021-04-13,33,24,137.5,24.46,119.05,19.56,33.5,24.75,136.25,41
SHUBMAN GILL,2021-04-18,21,9,233.33,24.68,119.53,19.68,27.5,19.5,138.95,27
SHUBMAN GILL,2021-04-21,0,1,0.0,24.59,122.37,19.41,26.25,17.5,159.05,0
SHUBMAN GILL,2021-04-24,11,19,57.89,24.0,119.39,18.98,17.25,11.75,121.55,11
SHUBMAN GILL,2021-04-26,9,8,112.5,23.7,117.92,18.98,16.25,13.25,107.18,9
SHUBMAN GILL,2021-04-29,43,38,113.16,23.36,117.8,18.73,10.25,9.25,100.93,47
SHUBMAN GILL,2021-09-20,48,34,141.18,23.8,117.69,19.16,15.75,16.5,70.89,56
SHUBMAN GILL,2021-09-23,13,9,144.44,24.33,118.21,19.48,27.75,24.75,106.18,17
