Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
SUNIL NARINE,2012-04-08,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SUNIL NARINE,2012-05-16,9,6,150.0,0.0,0.0,1.0,0.0,1.0,0.0,13
SUNIL NARINE,2013-04-08,2,2,100.0,4.5,75.0,3.5,4.5,3.5,75.0,2
SUNIL NARINE,2013-04-11,1,1,100.0,3.67,83.33,3.0,3.67,3.0,83.33,1
SUNIL NARINE,2013-04-16,1,2,50.0,3.0,87.5,2.5,3.0,2.5,87.5,1
SUNIL NARINE,2013-04-20,13,6,216.67,2.6,80.0,2.4,3.25,2.75,100.0,19
SUNIL NARINE,2013-05-07,3,6,50.0,4.33,102.78,3.0,4.25,2.75,116.67,3
SUNIL NARINE,2013-05-19,1,2,50.0,4.14,95.24,3.43,4.5,3.75,104.17,1
SUNIL NARINE,2014-04-26,6,8,75.0,3.75,89.58,3.25,4.5,4.0,91.67,6
SUNIL NARINE,2014-04-29,1,1,100.0,4.0,87.96,3.78,5.75,5.5,97.92,1
SUNIL NARINE,2014-05-02,1,1,100.0,3.7,89.17,3.5,2.75,4.25,68.75,1
SUNIL NARINE,2014-05-28,0,0,,3.45,90.15,3.27,2.25,3.0,81.25,0
SUNIL NARINE,2014-06-01,2,4,50.0,3.17,90.15,3.0,2.0,2.5,91.67,2
SUNIL NARINE,2015-05-09,0,1,0.0,3.08,86.81,3.08,1.0,1.5,83.33,0
SUNIL NARINE,2016-04-24,0,0,,2.86,80.13,2.93,0.75,1.5,50.0,0
SUNIL NARINE,2016-04-30,4,3,133.33,2.67,80.13,2.73,0.5,1.25,25.0,8
SUNIL NARINE,2016-05-19,2,7,28.57,2.75,83.93,2.75,1.5,2.0,61.11,2
SUNIL NARINE,2016-05-25,1,3,33.33,2.71,80.24,3.0,1.5,2.75,53.97,1
SUNIL NARINE,2017-04-09,1,2,50.0,2.61,77.31,3.0,1.75,3.25,65.08,1
SUNIL NARINE,2017-04-13,37,18,205.56,2.53,75.7,2.95,2.0,3.75,61.31,47
SUNIL NARINE,2017-04-15,6,9,66.67,4.25,82.91,3.7,10.25,7.5,79.37,6
SUNIL NARINE,2017-04-17,1,1,100.0,4.33,82.06,3.95,11.25,8.0,88.89,1
SUNIL NARINE,2017-04-21,42,17,247.06,4.18,82.96,3.82,11.25,7.5,105.56,52
SUNIL NARINE,2017-04-23,34,17,200.0,5.83,90.77,4.39,21.5,11.25,154.82,44
SUNIL NARINE,2017-04-26,16,11,145.45,7.0,95.74,4.92,20.75,11.0,153.43,20
SUNIL NARINE,2017-04-28,4,4,100.0,7.36,97.9,5.16,23.25,11.5,173.13,4
SUNIL NARINE,2017-04-30,1,4,25.0,7.23,97.98,5.12,24.0,12.25,173.13,1
SUNIL NARINE,2017-05-03,0,6,0.0,7.0,95.07,5.07,13.75,9.0,117.61,0
SUNIL NARINE,2017-05-07,54,17,317.65,6.75,91.41,5.11,5.25,6.25,67.61,72
SUNIL NARINE,2017-05-09,18,10,180.0,8.38,99.79,5.52,14.75,7.75,110.66,24
SUNIL NARINE,2017-05-13,0,4,0.0,8.7,102.65,5.67,18.25,9.25,130.66,0
SUNIL NARINE,2017-05-19,10,10,100.0,8.42,99.11,5.61,18.0,9.25,124.41,10
SUNIL NARINE,2018-04-08,50,19,263.16,8.47,99.14,5.75,20.5,10.25,149.41,60
SUNIL NARINE,2018-04-10,12,4,300.0,9.73,104.43,6.15,19.5,10.75,135.79,18
SUNIL NARINE,2018-04-14,9,10,90.0,9.79,110.55,6.09,18.0,9.25,165.79,9
SUNIL NARINE,2018-04-16,1,4,25.0,9.77,109.92,6.2,20.25,10.75,188.29,1
SUNIL NARINE,2018-04-18,35,25,140.0,9.53,107.42,6.14,18.0,9.25,169.54,43
SUNIL NARINE,2018-04-21,1,4,25.0,10.22,108.36,6.65,14.25,10.75,138.75,1
SUNIL NARINE,2018-04-27,26,9,288.89,9.97,106.04,6.58,11.5,10.75,70.0,36
SUNIL NARINE,2018-04-29,27,19,142.11,10.38,110.98,6.64,15.75,10.5,119.72,35
