Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
SURYA KUMAR YADAV,2012-04-06,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SURYA KUMAR YADAV,2014-04-16,13,5,260.0,0.0,0.0,4.0,0.0,4.0,0.0,19
SURYA KUMAR YADAV,2014-04-19,8,3,266.67,6.5,130.0,4.5,6.5,4.5,130.0,14
SURYA KUMAR YADAV,2014-04-24,24,18,133.33,7.0,175.56,4.0,7.0,4.0,175.56,28
SURYA KUMAR YADAV,2014-04-26,34,17,200.0,11.25,165.0,7.5,11.25,7.5,165.0,44
SURYA KUMAR YADAV,2014-04-29,31,19,163.16,15.8,172.0,9.4,19.75,10.75,215.0,39
SURYA KUMAR YADAV,2014-05-02,8,13,61.54,18.33,170.53,11.0,24.25,14.25,190.79,8
SURYA KUMAR YADAV,2014-05-05,9,17,52.94,16.86,154.96,11.29,24.25,16.75,139.51,9
SURYA KUMAR YADAV,2014-05-24,12,5,240.0,15.88,142.2,12.0,20.5,16.5,119.41,18
SURYA KUMAR YADAV,2014-05-28,20,14,142.86,15.44,153.07,11.22,15.0,13.5,129.41,24
SURYA KUMAR YADAV,2014-06-01,5,6,83.33,15.9,152.05,11.5,12.25,12.25,124.34,5
SURYA KUMAR YADAV,2015-04-08,46,20,230.0,14.91,145.8,11.0,11.5,10.5,129.78,56
SURYA KUMAR YADAV,2015-04-11,11,9,122.22,17.5,152.82,11.75,20.75,11.25,174.05,11
SURYA KUMAR YADAV,2015-04-18,23,10,230.0,17.0,150.47,11.54,20.5,12.25,144.6,29
SURYA KUMAR YADAV,2015-04-20,24,16,150.0,17.43,156.15,11.43,21.25,11.25,166.39,28
SURYA KUMAR YADAV,2015-04-22,2,2,100.0,17.87,155.74,11.73,26.0,13.75,183.06,2
SURYA KUMAR YADAV,2015-04-28,16,26,61.54,16.88,152.25,11.12,15.0,9.25,150.56,16
SURYA KUMAR YADAV,2015-04-30,2,3,66.67,16.82,146.92,12.0,16.25,13.5,135.38,2
SURYA KUMAR YADAV,2015-05-02,0,2,0.0,16.0,142.46,11.5,11.0,11.75,94.55,0
SURYA KUMAR YADAV,2015-05-04,6,3,200.0,15.16,134.96,11.0,5.0,8.25,57.05,12
SURYA KUMAR YADAV,2015-05-07,7,7,100.0,14.7,138.21,10.6,6.0,8.5,82.05,7
SURYA KUMAR YADAV,2015-05-09,9,9,100.0,14.33,136.39,10.43,3.75,3.75,91.67,9
SURYA KUMAR YADAV,2015-05-14,11,5,220.0,14.09,134.74,10.36,5.5,5.25,100.0,17
SURYA KUMAR YADAV,2015-05-16,0,1,0.0,13.96,138.45,10.13,8.25,6.0,155.0,0
SURYA KUMAR YADAV,2016-04-13,4,1,400.0,13.38,132.68,9.75,6.75,5.5,105.0,10
SURYA KUMAR YADAV,2016-04-19,11,9,122.22,13.0,143.37,9.4,6.0,4.0,180.0,11
SURYA KUMAR YADAV,2016-04-24,60,49,122.45,12.92,142.56,9.38,6.5,4.0,185.56,72
SURYA KUMAR YADAV,2016-04-28,21,17,123.53,14.67,141.81,10.85,18.75,15.0,161.17,21
SURYA KUMAR YADAV,2016-04-30,21,13,161.54,14.89,141.16,11.07,24.0,19.0,192.05,25
SURYA KUMAR YADAV,2016-05-02,10,5,200.0,15.1,141.86,11.14,28.25,22.0,132.44,16
SURYA KUMAR YADAV,2016-05-08,4,12,33.33,14.93,143.8,10.93,28.0,21.0,151.88,4
SURYA KUMAR YADAV,2016-05-16,5,5,100.0,14.58,140.24,10.97,14.0,11.75,129.6,5
SURYA KUMAR YADAV,2016-05-19,17,14,121.43,14.28,138.98,10.78,10.0,8.75,123.72,17
SURYA KUMAR YADAV,2016-05-22,6,3,200.0,14.36,138.45,10.88,9.0,9.0,113.69,12
SURYA KUMAR YADAV,2016-05-25,23,15,153.33,14.12,140.26,10.65,8.0,8.5,113.69,27
SURYA KUMAR YADAV,2017-04-09,17,15,113.33,14.37,140.63,10.77,12.75,9.25,143.69,17
SURYA KUMAR YADAV,2017-04-15,4,3,133.33,14.44,139.87,10.89,15.75,11.75,147.02,8
SURYA KUMAR YADAV,2017-04-17,7,9,77.78,14.16,139.7,10.68,12.5,9.0,150.0,7
SURYA KUMAR YADAV,2017-04-21,1,1,100.0,13.97,138.07,10.63,12.75,10.5,119.44,1
SURYA KUMAR YADAV,2017-04-23,15,19,78.95,13.64,137.09,10.38,7.25,7.0,106.11,15
SURYA KUMAR YADAV,2017-05-03,30,16,187.5,13.68,135.64,10.6,6.75,8.0,97.52,40
SURYA KUMAR YADAV,2017-05-19,31,25,124.0,14.07,136.9,10.73,13.25,11.25,111.06,35
SURYA KUMAR YADAV,2018-04-07,43,29,148.28,14.48,136.59,11.07,19.25,15.25,122.61,51
SURYA KUMAR YADAV,2018-04-12,28,31,90.32,15.14,136.87,11.49,29.75,22.25,134.68,32
SURYA KUMAR YADAV,2018-04-14,53,32,165.62,15.43,135.81,11.93,33.0,25.25,137.52,69
SURYA KUMAR YADAV,2018-04-17,0,1,0.0,16.27,136.47,12.38,38.75,29.25,132.06,0
SURYA KUMAR YADAV,2018-04-22,72,47,153.19,15.91,133.5,12.13,31.0,23.25,101.06,88
SURYA KUMAR YADAV,2018-04-24,34,38,89.47,17.11,133.92,12.87,38.25,27.75,102.28,38
SURYA KUMAR YADAV,2018-04-28,44,34,129.41,17.46,133.0,13.4,39.75,29.5,102.07,48
SURYA KUMAR YADAV,2018-05-01,9,9,100.0,18.0,132.92,13.82,37.5,30.0,93.02,9
SURYA KUMAR YADAV,2018-05-04,57,42,135.71,17.82,132.27,13.72,39.75,32.0,118.02,73
SURYA KUMAR YADAV,2018-05-06,59,39,151.28,18.59,132.33,14.27,36.0,30.75,113.65,75
SURYA KUMAR YADAV,2018-05-09,36,32,112.5,19.37,132.7,14.75,42.25,31.0,129.1,40
SURYA KUMAR YADAV,2018-05-13,38,31,122.58,19.68,132.32,15.08,40.25,30.5,124.87,42
SURYA KUMAR YADAV,2018-05-16,27,15,180.0,20.02,132.14,15.37,47.5,36.0,130.52,37
SURYA KUMAR YADAV,2018-05-20,12,4,300.0,20.15,133.01,15.36,40.0,29.25,141.59,18
SURYA KUMAR YADAV,2019-03-24,2,6,33.33,20.0,135.99,15.16,28.25,20.5,178.77,2
SURYA KUMAR YADAV,2019-03-28,38,24,158.33,19.68,134.19,15.0,19.75,14.0,158.98,46
SURYA KUMAR YADAV,2019-03-30,11,6,183.33,20.0,134.6,15.16,19.75,12.25,167.92,17
SURYA KUMAR YADAV,2019-04-03,59,43,137.21,19.85,135.43,15.0,15.75,10.0,168.75,75
SURYA KUMAR YADAV,2019-04-06,7,8,87.5,20.5,135.46,15.47,27.5,19.75,128.05,7
SURYA KUMAR YADAV,2019-04-10,21,15,140.0,20.28,134.67,15.34,28.75,20.25,141.59,25
SURYA KUMAR YADAV,2019-04-13,16,10,160.0,20.29,134.76,15.34,24.5,18.0,137.01,20
