Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
TIM DAVID,2021-09-24,1,3,33.33,0.0,0.0,0.0,0.0,0.0,0.0,1
TIM DAVID,2022-03-27,12,8,150.0,1.0,33.33,3.0,1.0,3.0,33.33,16
TIM DAVID,2022-04-02,1,3,33.33,6.5,91.66,5.5,6.5,5.5,91.66,1
TIM DAVID,2022-04-30,20,9,222.22,4.67,72.22,4.67,4.67,4.67,72.22,26
TIM DAVID,2022-05-06,44,21,209.52,8.5,109.72,5.75,8.5,5.75,109.72,54
TIM DAVID,2022-05-09,13,9,144.44,15.6,129.68,8.8,19.25,10.25,153.77,17
TIM DAVID,2022-05-12,16,7,228.57,15.17,132.14,8.83,19.5,10.5,152.38,22
TIM DAVID,2022-05-17,46,18,255.56,15.29,145.92,8.57,23.25,11.5,201.19,56
TIM DAVID,2022-05-21,34,11,309.09,19.12,159.62,9.75,29.75,13.75,209.52,44
TIM DAVID,2023-04-02,4,7,57.14,20.78,176.23,9.89,27.25,11.25,234.42,4
TIM DAVID,2023-04-08,31,22,140.91,19.1,164.32,9.6,25.0,10.75,212.59,39
TIM DAVID,2023-04-11,13,11,118.18,20.18,162.19,10.73,28.75,14.5,190.68,13
TIM DAVID,2023-04-16,24,13,184.62,19.58,158.52,10.75,20.5,12.75,156.33,30
TIM DAVID,2023-04-18,16,11,145.45,19.92,160.53,10.92,18.0,13.25,125.21,20
TIM DAVID,2023-04-22,25,13,192.31,19.64,159.45,10.93,21.0,14.25,147.29,31
TIM DAVID,2023-04-25,0,2,0.0,20.0,161.64,11.07,19.5,12.0,160.14,0
TIM DAVID,2023-04-30,45,14,321.43,18.75,151.54,10.5,16.25,9.75,130.59,55
TIM DAVID,2023-05-03,19,10,190.0,20.29,161.54,10.71,21.5,10.0,164.8,25
TIM DAVID,2023-05-06,2,4,50.0,20.22,163.12,10.67,22.25,9.75,175.94,2
TIM DAVID,2023-05-09,0,1,0.0,19.26,157.16,10.32,16.5,7.5,140.36,0
TIM DAVID,2023-05-12,5,3,166.67,18.3,149.3,9.85,16.5,7.25,140.36,9
TIM DAVID,2023-05-16,32,19,168.42,17.67,150.13,9.52,6.5,4.5,101.67,40
TIM DAVID,2023-05-24,13,13,100.0,18.32,150.96,9.95,9.75,6.75,96.27,13
TIM DAVID,2023-05-26,2,3,66.67,18.09,148.75,10.09,12.5,9.0,108.77,2
TIM DAVID,2024-03-24,11,10,110.0,17.42,145.33,9.79,13.0,9.5,125.44,11
TIM DAVID,2024-03-27,42,22,190.91,17.16,143.91,9.8,14.5,11.25,111.27,52
TIM DAVID,2024-04-01,17,24,70.83,18.12,145.72,10.27,17.0,12.0,116.9,17
TIM DAVID,2024-04-07,45,21,214.29,18.07,142.95,10.78,18.0,14.75,109.6,55
TIM DAVID,2024-04-14,13,5,260.0,19.04,145.5,11.14,28.75,19.25,146.51,19
TIM DAVID,2024-04-18,14,7,200.0,18.83,149.44,10.93,29.25,18.0,184.01,20
TIM DAVID,2024-04-22,3,5,60.0,18.67,151.13,10.8,22.25,14.25,186.28,3
TIM DAVID,2024-04-27,37,17,217.65,18.16,148.19,10.61,18.75,9.5,183.57,47
TIM DAVID,2024-04-30,35,18,194.44,18.75,150.36,10.81,16.75,8.5,184.41,45
TIM DAVID,2024-05-03,24,20,120.0,19.24,151.7,11.03,22.25,11.75,168.02,24
TIM DAVID,2024-05-11,0,3,0.0,19.38,150.76,11.29,24.75,15.0,148.02,0
TIM DAVID,2025-03-28,22,8,275.0,18.83,146.46,11.06,24.0,14.5,133.02,28
TIM DAVID,2025-04-02,32,18,177.78,18.92,150.03,10.97,20.25,12.25,147.36,42
TIM DAVID,2025-04-07,1,1,100.0,19.27,150.78,11.16,19.5,12.25,143.2,1
TIM DAVID,2025-04-10,37,20,185.0,18.79,149.44,10.89,13.75,7.5,138.2,47
TIM DAVID,2025-04-18,50,26,192.31,19.26,150.35,11.13,23.0,11.75,184.44,60
TIM DAVID,2025-04-24,23,15,153.33,20.02,151.4,11.5,30.0,16.25,163.77,27
TIM DAVID,2025-04-27,19,5,380.0,20.1,151.45,11.59,27.75,15.5,157.66,25
TIM DAVID,2025-05-03,2,3,66.67,20.07,156.89,11.43,32.25,16.5,227.66,2
TIM DAVID,2025-05-23,1,5,20.0,19.65,154.79,11.23,23.5,12.25,198.08,1
