Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
TRAVIS HEAD,2016-04-20,37,24,154.17,0.0,0.0,0.0,0.0,0.0,0.0,45
TRAVIS HEAD,2016-05-07,6,9,66.67,37.0,154.17,24.0,37.0,24.0,154.17,6
TRAVIS HEAD,2016-05-09,11,7,157.14,21.5,110.42,16.5,21.5,16.5,110.42,15
TRAVIS HEAD,2017-04-05,30,22,136.36,18.0,125.99,13.33,18.0,13.33,125.99,38
TRAVIS HEAD,2017-04-18,30,16,187.5,21.0,128.58,15.5,21.0,15.5,128.58,40
TRAVIS HEAD,2017-04-27,0,1,0.0,22.8,140.37,15.6,19.25,13.5,136.92,0
TRAVIS HEAD,2017-04-29,2,5,40.0,19.0,116.97,13.17,17.75,11.5,120.25,2
TRAVIS HEAD,2017-05-01,12,15,80.0,16.57,105.98,12.0,15.5,11.0,90.96,12
TRAVIS HEAD,2017-05-07,75,47,159.57,16.0,102.73,12.38,11.0,9.25,76.88,91
TRAVIS HEAD,2017-05-14,2,2,100.0,22.56,109.05,16.22,22.25,17.0,69.89,2
TRAVIS HEAD,2024-03-27,62,24,258.33,20.5,108.14,14.8,22.75,17.25,94.89,80
TRAVIS HEAD,2024-03-31,19,14,135.71,24.27,121.79,15.64,37.75,22.0,149.48,23
TRAVIS HEAD,2024-04-05,31,24,129.17,23.83,122.95,15.5,39.5,21.75,163.4,35
TRAVIS HEAD,2024-04-09,21,15,140.0,24.38,123.43,16.15,28.5,16.0,155.8,25
TRAVIS HEAD,2024-04-15,102,41,248.78,24.14,124.62,16.07,33.25,19.25,165.8,148
TRAVIS HEAD,2024-04-20,89,32,278.12,29.33,132.89,17.73,43.25,23.5,163.42,119
TRAVIS HEAD,2024-04-25,1,3,33.33,33.06,141.97,18.62,60.75,28.0,199.02,1
TRAVIS HEAD,2024-04-28,13,7,185.71,31.18,135.58,17.71,53.25,22.75,175.06,19
TRAVIS HEAD,2024-05-02,58,44,131.82,30.17,138.36,17.11,51.25,20.75,186.48,74
TRAVIS HEAD,2024-05-06,48,30,160.0,31.63,138.02,18.53,40.25,21.5,157.24,56
TRAVIS HEAD,2024-05-08,89,30,296.67,32.45,139.12,19.1,30.0,21.0,127.72,119
TRAVIS HEAD,2024-05-19,0,1,0.0,35.14,146.62,19.62,52.0,27.75,193.55,0
TRAVIS HEAD,2024-05-21,0,2,0.0,33.55,139.96,18.77,48.75,26.25,147.12,0
TRAVIS HEAD,2024-05-24,34,28,121.43,32.09,133.87,18.04,34.25,15.75,114.17,38
TRAVIS HEAD,2024-05-26,0,1,0.0,32.17,133.35,18.46,30.75,15.25,104.52,0
TRAVIS HEAD,2025-03-23,67,31,216.13,30.88,128.02,17.76,8.5,8.0,30.36,85
TRAVIS HEAD,2025-03-27,47,28,167.86,32.27,131.41,18.27,25.25,15.5,84.39,55
TRAVIS HEAD,2025-03-30,22,12,183.33,32.81,132.76,18.63,37.0,22.0,126.36,28
TRAVIS HEAD,2025-04-03,4,2,200.0,32.43,134.56,18.39,34.0,18.0,141.83,10
TRAVIS HEAD,2025-04-06,8,5,160.0,31.45,136.82,17.83,35.0,18.25,191.83,12
TRAVIS HEAD,2025-04-12,66,37,178.38,30.67,137.59,17.4,20.25,11.75,177.8,84
TRAVIS HEAD,2025-04-17,28,29,96.55,31.81,138.91,18.03,25.0,14.0,180.43,32
TRAVIS HEAD,2025-04-23,0,4,0.0,31.69,137.59,18.38,26.5,18.25,158.73,0
