Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
VARUN CHAKARAVARTHY,2020-10-07,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
VARUN CHAKARAVARTHY,2020-10-12,7,10,70.0,1.0,100.0,1.0,1.0,1.0,100.0,7
VARUN CHAKARAVARTHY,2020-10-26,2,4,50.0,4.0,85.0,5.5,4.0,5.5,85.0,2
VARUN CHAKARAVARTHY,2021-04-18,2,3,66.67,3.33,73.33,5.0,3.33,5.0,73.33,2
VARUN CHAKARAVARTHY,2021-04-21,0,1,0.0,3.0,71.67,4.5,3.0,4.5,71.67,0
VARUN CHAKARAVARTHY,2021-10-15,0,0,,2.4,57.33,3.8,2.75,4.5,46.67,0
VARUN CHAKARAVARTHY,2022-03-30,10,16,62.5,2.0,57.33,3.17,1.0,2.0,38.89,10
VARUN CHAKARAVARTHY,2022-04-10,1,1,100.0,3.14,58.2,5.0,3.0,5.0,43.06,1
VARUN CHAKARAVARTHY,2022-04-18,1,1,100.0,2.88,64.17,4.5,2.75,4.5,54.17,1
VARUN CHAKARAVARTHY,2022-05-09,0,0,,2.67,68.65,4.11,3.0,4.5,87.5,0
VARUN CHAKARAVARTHY,2023-04-20,1,6,16.67,2.4,68.65,3.7,3.0,4.5,87.5,1
VARUN CHAKARAVARTHY,2023-04-23,0,3,0.0,2.27,62.87,3.91,0.75,2.0,72.22,0
