Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
VENKATESH IYER,2021-09-20,41,27,151.85,0.0,0.0,0.0,0.0,0.0,0.0,49
VENKATESH IYER,2021-09-23,53,30,176.67,41.0,151.85,27.0,41.0,27.0,151.85,71
VENKATESH IYER,2021-09-26,18,15,120.0,47.0,164.26,28.5,47.0,28.5,164.26,18
VENKATESH IYER,2021-09-28,14,15,93.33,37.33,149.51,24.0,37.33,24.0,149.51,14
VENKATESH IYER,2021-10-01,67,49,136.73,31.5,135.46,21.75,31.5,21.75,135.46,83
VENKATESH IYER,2021-10-03,8,14,57.14,38.6,135.72,27.2,38.0,27.25,131.68,8
VENKATESH IYER,2021-10-07,38,35,108.57,33.5,122.62,25.0,26.75,23.25,101.8,42
VENKATESH IYER,2021-10-11,26,30,86.67,34.14,120.61,26.43,31.75,28.25,98.94,30
VENKATESH IYER,2021-10-13,55,41,134.15,33.12,116.37,26.88,34.75,32.0,97.28,71
VENKATESH IYER,2021-10-15,50,32,156.25,35.56,118.35,28.44,31.75,30.0,96.63,58
VENKATESH IYER,2022-03-26,16,16,100.0,37.0,122.14,28.8,42.25,34.5,121.41,16
VENKATESH IYER,2022-03-30,10,14,71.43,35.09,120.12,27.64,36.75,29.75,119.27,10
VENKATESH IYER,2022-04-01,3,7,42.86,33.0,116.07,26.5,32.75,25.75,115.46,3
VENKATESH IYER,2022-04-06,50,41,121.95,30.69,110.43,25.0,19.75,17.25,92.64,54
VENKATESH IYER,2022-04-10,18,8,225.0,32.07,111.26,26.14,19.75,19.5,84.06,24
VENKATESH IYER,2022-04-15,6,13,46.15,31.13,118.84,24.93,20.25,17.5,115.31,6
VENKATESH IYER,2022-04-18,6,7,85.71,29.56,114.3,24.19,19.25,17.25,108.99,6
VENKATESH IYER,2022-04-23,17,17,100.0,28.18,112.62,23.18,20.0,17.25,119.7,17
VENKATESH IYER,2022-04-28,6,12,50.0,27.56,111.91,22.83,11.75,11.25,114.22,6
VENKATESH IYER,2022-05-09,43,24,179.17,26.42,108.66,22.26,8.75,12.25,70.46,53
VENKATESH IYER,2022-05-14,7,6,116.67,27.25,112.18,22.35,18.0,15.0,103.72,7
VENKATESH IYER,2022-05-18,0,4,0.0,26.29,112.4,21.57,18.25,14.75,111.46,0
VENKATESH IYER,2023-04-01,34,28,121.43,25.09,107.29,20.77,14.0,11.5,86.46,38
VENKATESH IYER,2023-04-06,3,7,42.86,25.48,107.9,21.09,21.0,15.5,104.32,3
VENKATESH IYER,2023-04-09,83,40,207.5,24.54,105.19,20.5,11.0,11.25,70.24,113
VENKATESH IYER,2023-04-14,10,11,90.91,26.88,109.28,21.28,30.0,19.75,92.95,10
VENKATESH IYER,2023-04-16,104,51,203.92,26.23,108.58,20.88,32.5,21.5,115.68,150
VENKATESH IYER,2023-04-20,0,2,0.0,29.11,112.11,22.0,50.0,27.25,136.3,0
VENKATESH IYER,2023-04-23,20,20,100.0,28.07,108.1,21.29,49.25,26.0,125.58,20
VENKATESH IYER,2023-04-26,31,26,119.23,27.79,107.82,21.24,33.5,21.0,98.71,35
VENKATESH IYER,2023-04-29,11,14,78.57,27.9,108.2,21.4,38.75,24.75,105.79,11
VENKATESH IYER,2023-05-04,7,4,175.0,27.35,107.25,21.16,15.5,15.5,74.45,13
VENKATESH IYER,2023-05-08,11,13,84.62,26.72,109.37,20.62,17.25,16.0,118.2,11
VENKATESH IYER,2023-05-11,57,42,135.71,26.24,108.62,20.39,15.0,14.25,114.36,73
VENKATESH IYER,2023-05-14,9,4,225.0,27.15,109.41,21.03,21.5,18.25,118.48,15
VENKATESH IYER,2023-05-20,24,15,160.0,26.63,112.72,20.54,21.0,15.75,155.08,28
VENKATESH IYER,2024-03-23,7,5,140.0,26.56,114.03,20.39,25.25,18.5,151.33,11
VENKATESH IYER,2024-03-29,50,30,166.67,26.03,114.73,19.97,24.25,16.5,165.18,58
VENKATESH IYER,2024-04-03,5,2,250.0,26.66,116.1,20.24,22.5,13.5,172.92,11
VENKATESH IYER,2024-04-08,3,8,37.5,26.1,119.53,19.77,21.5,13.0,179.17,3
VENKATESH IYER,2024-04-16,8,6,133.33,25.52,117.48,19.48,16.25,11.25,148.54,12
VENKATESH IYER,2024-04-21,16,8,200.0,25.1,117.87,19.15,16.5,11.5,146.88,22
VENKATESH IYER,2024-04-26,39,23,169.57,24.88,119.82,18.88,8.0,6.0,155.21,47
VENKATESH IYER,2024-04-29,26,23,113.04,25.21,120.98,18.98,16.5,11.25,135.1,30
VENKATESH IYER,2024-05-03,70,52,134.62,25.23,120.8,19.07,22.25,15.0,153.99,86
VENKATESH IYER,2024-05-05,1,1,100.0,26.22,121.11,19.8,37.75,26.5,154.31,1
VENKATESH IYER,2024-05-11,42,21,200.0,25.67,120.65,19.39,34.0,24.75,129.31,52
VENKATESH IYER,2024-05-21,51,28,182.14,26.02,122.34,19.43,34.75,24.25,136.92,69
VENKATESH IYER,2024-05-26,52,26,200.0,26.54,123.58,19.6,41.0,25.5,154.19,70
VENKATESH IYER,2025-03-22,6,7,85.71,27.06,125.14,19.73,36.5,19.0,170.54,6
VENKATESH IYER,2025-03-31,3,9,33.33,26.64,124.35,19.48,37.75,20.5,166.96,3
VENKATESH IYER,2025-04-03,60,29,206.9,26.18,122.57,19.27,28.0,17.5,125.29,78
VENKATESH IYER,2025-04-08,45,29,155.17,26.83,124.19,19.46,30.25,17.75,131.49,53
VENKATESH IYER,2025-04-15,7,4,175.0,27.17,124.77,19.64,28.5,18.5,120.28,13
VENKATESH IYER,2025-04-21,14,19,73.68,26.8,125.7,19.35,28.75,17.75,142.6,14
