Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
VIRAT KOHLI,2008-04-18,1,5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
VIRAT KOHLI,2008-04-20,23,14,164.29,1.0,20.0,5.0,1.0,5.0,20.0,27
VIRAT KOHLI,2008-04-26,13,14,92.86,12.0,92.14,9.5,12.0,9.5,92.14,13
VIRAT KOHLI,2008-04-28,12,7,171.43,12.33,92.38,11.0,12.33,11.0,92.38,18
VIRAT KOHLI,2008-04-30,1,1,100.0,12.25,112.14,10.0,12.25,10.0,112.14,1
VIRAT KOHLI,2008-05-03,38,29,131.03,10.0,109.72,8.2,12.25,9.0,132.14,46
VIRAT KOHLI,2008-05-05,34,36,94.44,14.67,113.27,11.67,16.0,12.75,123.83,38
VIRAT KOHLI,2008-05-12,21,22,95.45,17.43,110.58,15.14,21.25,18.25,124.22,21
VIRAT KOHLI,2008-05-17,3,7,42.86,17.88,108.69,16.0,23.5,22.0,105.23,3
VIRAT KOHLI,2008-05-21,10,16,62.5,16.22,101.37,15.0,24.0,23.5,90.94,10
VIRAT KOHLI,2008-05-25,9,5,180.0,15.6,97.49,15.1,17.0,20.25,73.81,15
VIRAT KOHLI,2008-05-28,0,1,0.0,15.0,104.99,14.18,10.75,12.5,95.2,0
VIRAT KOHLI,2009-04-18,3,8,37.5,13.75,96.24,13.08,5.5,7.25,71.34,3
VIRAT KOHLI,2009-04-20,11,13,84.62,12.92,91.72,12.69,5.5,7.5,70.0,11
VIRAT KOHLI,2009-04-22,50,32,156.25,12.79,91.21,12.71,5.75,6.75,75.53,58
VIRAT KOHLI,2009-04-24,2,3,66.67,15.27,95.55,14.0,16.0,13.5,69.59,2
VIRAT KOHLI,2009-04-26,22,24,91.67,14.44,93.74,13.31,16.5,14.0,86.26,22
VIRAT KOHLI,2009-04-29,19,12,158.33,14.88,93.62,13.94,21.25,18.0,99.8,23
VIRAT KOHLI,2009-05-01,16,14,114.29,15.11,97.22,13.83,23.25,17.75,118.23,16
VIRAT KOHLI,2009-05-07,15,22,68.18,15.16,98.12,13.84,14.75,13.25,107.74,15
VIRAT KOHLI,2009-05-10,20,22,90.91,15.15,96.62,14.25,18.0,18.0,108.12,20
VIRAT KOHLI,2009-05-14,38,35,108.57,15.38,96.35,14.62,17.5,17.5,107.93,42
VIRAT KOHLI,2009-05-21,19,9,211.11,16.41,96.9,15.55,22.25,23.25,95.49,25
VIRAT KOHLI,2009-05-23,24,17,141.18,16.52,101.87,15.26,23.0,22.0,119.69,28
VIRAT KOHLI,2009-05-24,7,8,87.5,16.83,103.51,15.33,25.25,20.75,137.94,7
VIRAT KOHLI,2010-03-14,2,5,40.0,16.44,102.87,15.04,22.0,17.25,137.09,2
VIRAT KOHLI,2010-03-16,16,12,133.33,15.88,100.45,14.65,13.0,9.75,119.95,20
VIRAT KOHLI,2010-03-20,17,12,141.67,15.89,101.67,14.56,12.25,10.5,100.5,21
VIRAT KOHLI,2010-03-23,24,16,150.0,15.93,103.09,14.46,10.5,9.25,100.62,28
VIRAT KOHLI,2010-03-25,38,23,165.22,16.21,104.71,14.52,14.75,11.25,116.25,46
VIRAT KOHLI,2010-03-31,34,24,141.67,16.93,106.73,14.8,23.75,15.75,147.56,42
VIRAT KOHLI,2010-04-02,42,26,161.54,17.48,107.86,15.1,28.25,18.75,149.64,50
VIRAT KOHLI,2010-04-04,13,11,118.18,18.25,109.53,15.44,34.5,22.25,154.61,13
VIRAT KOHLI,2010-04-08,58,35,165.71,18.09,109.8,15.3,31.75,21.0,146.65,74
VIRAT KOHLI,2010-04-12,3,4,75.0,19.26,111.44,15.88,36.75,24.0,146.77,3
VIRAT KOHLI,2010-04-14,14,13,107.69,18.8,110.4,15.54,29.0,19.0,130.11,14
VIRAT KOHLI,2010-04-17,37,24,154.17,18.67,110.32,15.47,22.0,15.75,116.65,45
VIRAT KOHLI,2010-04-21,9,7,128.57,19.16,111.51,15.7,28.0,19.0,125.64,9
VIRAT KOHLI,2011-04-09,23,18,127.78,18.89,111.96,15.47,15.75,12.0,116.36,23
VIRAT KOHLI,2011-04-12,12,19,63.16,19.0,112.36,15.54,20.75,15.5,129.55,12
VIRAT KOHLI,2011-04-14,71,51,139.22,18.82,111.13,15.62,20.25,17.0,118.42,87
VIRAT KOHLI,2011-04-16,35,28,125.0,20.1,111.82,16.49,28.75,23.75,114.68,39
VIRAT KOHLI,2011-04-22,30,23,130.43,20.45,112.13,16.76,35.25,29.0,113.79,38
VIRAT KOHLI,2011-04-26,56,38,147.37,20.67,112.56,16.91,37.0,30.25,114.45,72
VIRAT KOHLI,2011-04-29,67,42,159.52,21.48,113.35,17.39,48.0,35.0,135.5,83
VIRAT KOHLI,2011-05-06,27,31,87.1,22.49,114.37,17.93,47.0,32.75,140.58,31
VIRAT KOHLI,2011-05-08,27,33,81.82,22.59,113.78,18.22,45.0,33.5,131.11,31
VIRAT KOHLI,2011-05-11,39,34,114.71,22.68,113.1,18.53,44.25,36.0,118.95,43
VIRAT KOHLI,2011-05-14,15,15,100.0,23.02,113.14,18.85,40.0,35.0,110.79,15
VIRAT KOHLI,2011-05-17,11,11,100.0,22.86,112.87,18.78,27.0,28.25,95.91,11
VIRAT KOHLI,2011-05-22,31,29,106.9,22.62,112.61,18.62,23.0,23.25,99.13,35
VIRAT KOHLI,2011-05-24,70,44,159.09,22.78,112.5,18.82,24.0,22.25,105.4,86
VIRAT KOHLI,2011-05-27,8,12,66.67,23.69,113.39,19.31,31.75,24.75,116.5,8
VIRAT KOHLI,2011-05-28,35,32,109.38,23.4,112.51,19.17,30.0,24.0,108.16,39
VIRAT KOHLI,2012-04-07,8,8,100.0,23.61,112.45,19.41,36.0,29.25,110.51,8
VIRAT KOHLI,2012-04-10,6,14,42.86,23.33,112.23,19.2,30.25,24.0,108.78,6
VIRAT KOHLI,2012-04-12,57,46,123.91,23.02,110.99,19.11,14.25,16.5,79.73,69
VIRAT KOHLI,2012-04-15,22,18,122.22,23.61,111.22,19.58,26.5,25.0,94.04,22
VIRAT KOHLI,2012-04-17,16,19,84.21,23.59,111.41,19.55,23.25,21.5,97.25,16
VIRAT KOHLI,2012-04-20,4,4,100.0,23.46,110.94,19.54,25.25,24.25,93.3,4
VIRAT KOHLI,2012-04-23,16,16,100.0,23.13,110.76,19.28,24.75,21.75,107.58,16
VIRAT KOHLI,2012-04-28,18,19,94.74,23.02,110.59,19.23,14.5,14.25,101.61,18
VIRAT KOHLI,2012-05-02,45,42,107.14,22.94,110.33,19.23,13.5,14.5,94.74,49
VIRAT KOHLI,2012-05-06,9,9,100.0,23.29,110.28,19.59,20.75,20.25,100.47,9
VIRAT KOHLI,2012-05-09,36,25,144.0,23.06,110.12,19.42,22.0,21.5,100.47,44
VIRAT KOHLI,2012-05-11,9,12,75.0,23.26,110.64,19.51,27.0,23.75,111.47,9
VIRAT KOHLI,2012-05-14,3,1,300.0,23.05,110.1,19.39,24.75,22.0,106.54,9
VIRAT KOHLI,2012-05-17,73,53,137.74,22.75,112.93,19.12,14.25,11.75,154.75,89
VIRAT KOHLI,2012-05-20,42,40,105.0,23.49,113.3,19.62,30.25,22.75,164.18,46
VIRAT KOHLI,2013-04-04,24,14,171.43,23.75,113.18,19.91,31.75,26.5,154.44,30
VIRAT KOHLI,2013-04-07,46,44,104.55,23.76,114.01,19.83,35.5,27.0,178.54,50
VIRAT KOHLI,2013-04-09,93,47,197.87,24.07,113.88,20.17,46.25,37.75,129.68,123
VIRAT KOHLI,2013-04-11,35,27,129.63,25.03,115.04,20.54,51.25,36.25,144.71,39
VIRAT KOHLI,2013-04-13,58,47,123.4,25.16,115.24,20.63,49.5,33.0,150.87,70
VIRAT KOHLI,2013-04-16,65,50,130.0,25.61,115.35,20.99,58.0,41.25,138.86,81
VIRAT KOHLI,2013-04-20,1,4,25.0,26.13,115.55,21.37,62.75,42.75,145.22,1
VIRAT KOHLI,2013-04-23,11,9,122.22,25.8,114.36,21.14,39.75,32.0,102.01,11
VIRAT KOHLI,2013-04-27,1,4,25.0,25.61,114.46,20.99,33.75,27.5,100.16,1
VIRAT KOHLI,2013-04-29,32,35,91.43,25.29,113.31,20.77,19.5,16.75,75.56,36
VIRAT KOHLI,2013-05-02,25,18,138.89,25.38,113.04,20.95,11.25,13.0,65.91,29
VIRAT KOHLI,2013-05-06,14,14,100.0,25.38,113.36,20.91,17.25,16.5,94.38,14
