Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
WASHINGTON SUNDAR,2017-04-24,2,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2
WASHINGTON SUNDAR,2017-05-03,1,3,33.33,2.0,100.0,2.0,2.0,2.0,100.0,1
WASHINGTON SUNDAR,2017-05-06,1,3,33.33,1.5,66.66,2.5,1.5,2.5,66.66,1
WASHINGTON SUNDAR,2017-05-12,5,3,166.67,1.33,55.55,2.67,1.33,2.67,55.55,9
WASHINGTON SUNDAR,2017-05-21,0,1,0.0,2.25,83.33,2.75,2.25,2.75,83.33,0
WASHINGTON SUNDAR,2018-04-08,0,0,,1.8,66.67,2.4,1.75,2.5,58.33,0
WASHINGTON SUNDAR,2018-04-13,9,4,225.0,1.5,66.67,2.0,1.5,1.75,66.67,15
WASHINGTON SUNDAR,2018-04-15,35,19,184.21,2.57,93.06,2.29,3.5,2.0,130.56,45
WASHINGTON SUNDAR,2018-04-17,7,8,87.5,6.62,106.08,4.38,11.0,6.0,136.4,7
WASHINGTON SUNDAR,2018-04-25,13,4,325.0,6.67,103.76,4.78,12.75,7.75,165.57,19
WASHINGTON SUNDAR,2018-05-01,1,3,33.33,7.3,128.34,4.7,16.0,8.75,205.43,1
WASHINGTON SUNDAR,2019-04-28,1,2,50.0,6.73,118.84,4.55,14.0,8.5,157.51,1
WASHINGTON SUNDAR,2019-05-04,0,1,0.0,6.25,112.58,4.33,5.5,4.25,123.96,0
WASHINGTON SUNDAR,2020-09-24,30,27,111.11,5.77,103.2,4.08,3.75,2.5,102.08,34
WASHINGTON SUNDAR,2020-10-05,17,11,154.55,7.5,103.81,5.71,8.0,8.25,48.61,21
WASHINGTON SUNDAR,2020-10-10,10,10,100.0,8.13,107.43,6.07,12.0,10.25,78.92,10
WASHINGTON SUNDAR,2020-10-15,13,14,92.86,8.25,106.94,6.31,14.25,12.25,91.42,13
WASHINGTON SUNDAR,2020-10-25,5,2,250.0,8.53,106.06,6.76,17.5,15.5,114.63,11
WASHINGTON SUNDAR,2020-10-28,10,6,166.67,8.33,114.52,6.5,11.25,9.25,149.35,14
WASHINGTON SUNDAR,2020-10-31,21,18,116.67,8.42,117.42,6.47,9.5,8.0,152.38,21
WASHINGTON SUNDAR,2020-11-02,0,1,0.0,9.05,117.38,7.05,12.25,10.0,156.55,0
WASHINGTON SUNDAR,2020-11-06,5,6,83.33,8.62,111.51,6.76,9.0,6.75,133.34,5
WASHINGTON SUNDAR,2021-04-09,10,16,62.5,8.45,110.17,6.73,9.0,7.75,91.67,10
WASHINGTON SUNDAR,2021-04-14,8,11,72.73,8.52,108.0,7.13,9.0,10.25,65.63,8
WASHINGTON SUNDAR,2021-04-25,7,11,63.64,8.5,106.47,7.29,5.75,8.5,54.64,7
WASHINGTON SUNDAR,2021-04-27,6,9,66.67,8.44,104.68,7.44,7.5,11.0,70.55,6
WASHINGTON SUNDAR,2022-03-29,40,14,285.71,8.35,103.16,7.5,7.75,11.75,66.39,50
WASHINGTON SUNDAR,2022-04-04,18,14,128.57,9.52,110.18,7.74,15.25,11.25,122.19,18
WASHINGTON SUNDAR,2022-04-27,3,4,75.0,9.82,110.87,7.96,17.75,12.0,136.15,3
WASHINGTON SUNDAR,2022-05-01,2,2,100.0,9.59,109.58,7.83,16.75,10.25,138.99,2
WASHINGTON SUNDAR,2022-05-14,4,9,44.44,9.33,109.25,7.63,15.75,8.5,147.32,4
WASHINGTON SUNDAR,2022-05-17,9,7,128.57,9.16,107.09,7.68,6.75,7.25,87.0,9
WASHINGTON SUNDAR,2022-05-22,25,19,131.58,9.16,107.79,7.66,4.5,5.5,87.0,29
WASHINGTON SUNDAR,2023-04-02,1,5,20.0,9.64,108.53,8.0,10.0,9.25,101.15,1
WASHINGTON SUNDAR,2023-04-07,16,28,57.14,9.38,105.85,7.91,9.75,10.0,81.15,16
WASHINGTON SUNDAR,2023-04-18,10,6,166.67,9.57,104.42,8.49,12.75,14.75,84.32,14
WASHINGTON SUNDAR,2023-04-21,9,6,150.0,9.58,106.19,8.42,13.0,14.5,93.85,13
WASHINGTON SUNDAR,2023-04-24,24,15,160.0,9.57,107.41,8.35,9.0,11.25,98.45,28
WASHINGTON SUNDAR,2024-03-31,0,1,0.0,9.95,108.83,8.53,14.75,13.75,133.45,0
WASHINGTON SUNDAR,2024-04-20,0,0,,9.69,105.97,8.33,10.75,7.0,119.17,0
WASHINGTON SUNDAR,2025-04-06,49,29,168.97,9.45,105.97,8.12,8.25,5.5,103.33,57
WASHINGTON SUNDAR,2025-04-12,2,3,66.67,10.41,107.58,8.63,18.25,11.25,109.66,2
WASHINGTON SUNDAR,2025-04-28,13,8,162.5,10.21,106.56,8.5,12.75,8.25,78.55,17
WASHINGTON SUNDAR,2025-05-02,21,16,131.25,10.28,107.92,8.49,16.0,10.0,132.71,25
