Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
ABHISHEK SHARMA,2019-04-14,1,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,25
ABHISHEK SHARMA,2019-04-29,0,11,11.0,1.0,10.0,10.0,1.0,10.0,10.0,0
ABHISHEK SHARMA,2020-09-21,1,16,8.0,0.5,10.5,10.5,0.5,10.5,10.5,25
ABHISHEK SHARMA,2020-09-26,0,11,11.0,0.67,12.33,9.67,0.67,12.33,9.67,0
ABHISHEK SHARMA,2020-09-29,0,34,8.5,0.5,12.0,10.0,0.5,12.0,10.0,0
ABHISHEK SHARMA,2020-10-02,0,4,4.0,0.4,16.4,9.7,0.25,18.0,9.62,6
ABHISHEK SHARMA,2020-10-08,1,15,15.0,0.33,14.33,8.75,0.25,16.25,7.88,25
ABHISHEK SHARMA,2020-10-11,0,11,11.0,0.43,14.43,9.64,0.25,16.0,9.62,0
ABHISHEK SHARMA,2021-04-17,0,5,5.0,0.38,14.0,9.81,0.25,16.0,9.62,4
ABHISHEK SHARMA,2021-04-21,2,24,6.0,0.33,13.0,9.28,0.25,8.75,8.75,52
ABHISHEK SHARMA,2021-04-25,0,14,14.0,0.5,14.1,8.95,0.75,13.75,9.25,0
ABHISHEK SHARMA,2021-09-27,0,8,8.0,0.45,14.09,9.41,0.5,13.5,9.0,0
ABHISHEK SHARMA,2021-09-30,0,9,4.5,0.42,13.58,9.29,0.5,12.75,8.25,6
ABHISHEK SHARMA,2021-10-08,2,4,4.0,0.38,13.23,8.92,0.5,13.75,8.12,56
ABHISHEK SHARMA,2022-03-29,0,15,15.0,0.5,12.57,8.57,0.5,8.75,7.62,0
ABHISHEK SHARMA,2022-05-08,0,13,6.5,0.47,12.73,9.0,0.5,9.0,7.88,2
ABHISHEK SHARMA,2022-05-17,0,10,10.0,0.44,12.75,8.84,0.5,10.25,7.5,0
ABHISHEK SHARMA,2023-04-29,1,26,8.67,0.41,12.59,8.91,0.5,10.5,8.88,25
ABHISHEK SHARMA,2023-05-07,0,15,7.5,0.44,13.33,8.9,0.25,16.0,10.04,0
ABHISHEK SHARMA,2023-05-13,1,42,14.0,0.42,13.42,8.82,0.25,16.0,8.17,25
ABHISHEK SHARMA,2023-05-15,0,13,13.0,0.45,14.85,9.08,0.5,23.25,10.04,0
ABHISHEK SHARMA,2023-05-18,0,28,9.33,0.43,14.76,9.27,0.5,24.0,10.79,0
ABHISHEK SHARMA,2024-04-05,0,7,7.0,0.41,15.36,9.27,0.25,24.5,10.96,0
ABHISHEK SHARMA,2024-04-15,0,10,10.0,0.39,15.0,9.17,0.25,22.5,10.83,0
ABHISHEK SHARMA,2024-04-25,0,10,10.0,0.38,14.79,9.21,0.0,14.5,9.83,0
ABHISHEK SHARMA,2024-05-24,2,24,6.0,0.36,14.6,9.24,0.0,13.75,9.08,52
ABHISHEK SHARMA,2025-03-23,0,17,8.5,0.42,14.96,9.12,0.5,12.75,8.25,0
ABHISHEK SHARMA,2025-03-27,0,20,10.0,0.41,15.04,9.09,0.5,15.25,8.62,0
ABHISHEK SHARMA,2025-03-30,0,27,9.0,0.39,15.21,9.12,0.5,17.75,8.62,0
ABHISHEK SHARMA,2025-04-06,0,18,18.0,0.38,15.62,9.12,0.5,22.0,8.38,0
