Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
ADAM ZAMPA,2016-05-07,2,35,8.75,0.0,0.0,0.0,0.0,0.0,0.0,50
ADAM ZAMPA,2016-05-10,6,19,4.75,2.0,35.0,8.75,2.0,35.0,8.75,156
ADAM ZAMPA,2016-05-14,0,8,8.0,4.0,27.0,6.75,4.0,27.0,6.75,0
ADAM ZAMPA,2016-05-17,3,21,5.25,2.67,20.67,7.17,2.67,20.67,7.17,79
ADAM ZAMPA,2016-05-21,1,32,8.0,2.75,20.75,6.69,2.75,20.75,6.69,25
ADAM ZAMPA,2017-04-06,1,26,8.67,2.4,23.0,6.95,2.5,20.0,6.5,25
ADAM ZAMPA,2017-04-11,1,45,11.25,2.17,23.5,7.24,1.25,21.75,7.48,25
ADAM ZAMPA,2017-05-12,1,29,7.25,2.0,26.57,7.81,1.5,31.0,8.29,25
ADAM ZAMPA,2017-05-14,2,22,6.29,1.88,26.88,7.74,1.0,33.0,8.79,52
ADAM ZAMPA,2017-05-16,0,9,9.0,1.89,26.33,7.58,1.25,30.5,8.36,0
ADAM ZAMPA,2017-05-21,2,32,8.0,1.7,24.6,7.72,1.0,26.25,8.45,50
ADAM ZAMPA,2020-09-28,1,53,13.25,1.73,25.27,7.75,1.25,23.0,7.64,25
ADAM ZAMPA,2020-10-03,0,27,9.0,1.67,27.58,8.2,1.25,29.0,9.14,0
ADAM ZAMPA,2020-11-06,1,12,3.0,1.54,27.54,8.27,0.75,30.25,9.81,31
ADAM ZAMPA,2023-04-12,1,43,10.75,1.5,26.43,7.89,1.0,31.0,8.31,25
ADAM ZAMPA,2023-04-16,1,32,8.0,1.47,27.53,8.08,0.75,33.75,9.0,25
ADAM ZAMPA,2023-04-27,3,22,7.33,1.44,27.81,8.08,0.75,28.5,7.69,75
ADAM ZAMPA,2023-05-05,0,40,13.33,1.53,27.47,8.03,1.5,27.25,7.27,0
ADAM ZAMPA,2023-05-14,2,25,6.25,1.44,28.17,8.33,1.25,34.25,9.85,52
ADAM ZAMPA,2023-05-19,1,26,6.5,1.47,28.0,8.22,1.5,29.75,8.73,27
ADAM ZAMPA,2025-03-23,1,48,12.0,1.45,27.9,8.13,1.5,28.25,8.35,25
ADAM ZAMPA,2025-03-27,1,46,11.5,1.43,28.86,8.32,1.0,34.75,9.52,25
