Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
AKASH MADHWAL,2023-05-03,0,37,12.33,0.0,0.0,0.0,0.0,0.0,0.0,0
AKASH MADHWAL,2023-05-06,1,4,4.0,0.0,37.0,12.33,0.0,37.0,12.33,31
AKASH MADHWAL,2023-05-09,0,23,11.5,0.5,20.5,8.16,0.5,20.5,8.16,0
AKASH MADHWAL,2023-05-12,3,31,7.75,0.33,21.33,9.28,0.33,21.33,9.28,75
AKASH MADHWAL,2023-05-16,0,30,7.5,1.0,23.75,8.9,1.0,23.75,8.9,0
AKASH MADHWAL,2023-05-21,4,37,9.25,0.8,25.0,8.62,1.0,22.0,7.69,100
AKASH MADHWAL,2023-05-24,5,5,1.52,1.33,27.0,8.72,1.75,30.25,9.0,131
AKASH MADHWAL,2023-05-26,1,52,13.0,1.86,23.86,7.69,3.0,25.75,6.51,25
AKASH MADHWAL,2024-04-01,3,20,5.0,1.75,27.38,8.36,2.5,31.0,7.82,79
AKASH MADHWAL,2024-04-07,0,45,11.25,1.89,26.56,7.98,3.25,28.5,7.19,0
AKASH MADHWAL,2024-04-11,1,57,14.25,1.7,28.4,8.31,2.25,30.5,7.69,25
AKASH MADHWAL,2024-04-14,0,37,12.33,1.64,31.0,8.85,1.25,43.5,10.88,0
AKASH MADHWAL,2024-04-18,1,46,14.84,1.5,31.5,9.14,1.0,39.75,10.71,25
