Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
BHUVNESHWAR KUMAR,2011-05-08,2,14,4.67,0.0,0.0,0.0,0.0,0.0,0.0,56
BHUVNESHWAR KUMAR,2011-05-10,0,24,8.0,2.0,14.0,4.67,2.0,14.0,4.67,0
BHUVNESHWAR KUMAR,2011-05-16,0,10,5.0,1.0,19.0,6.34,1.0,19.0,6.34,4
BHUVNESHWAR KUMAR,2011-05-19,1,19,6.33,0.67,16.0,5.89,0.67,16.0,5.89,27
BHUVNESHWAR KUMAR,2012-04-06,0,13,6.5,0.75,16.75,6.0,0.75,16.75,6.0,2
BHUVNESHWAR KUMAR,2012-04-17,0,27,6.75,0.6,16.0,6.1,0.25,16.5,6.46,2
BHUVNESHWAR KUMAR,2012-04-19,0,37,12.33,0.5,17.83,6.21,0.25,17.25,6.14,0
BHUVNESHWAR KUMAR,2012-04-26,1,34,8.5,0.43,20.57,7.08,0.25,24.0,7.98,25
BHUVNESHWAR KUMAR,2012-05-01,1,22,5.5,0.5,22.25,7.26,0.25,27.75,8.52,29
BHUVNESHWAR KUMAR,2012-05-03,2,9,3.0,0.56,22.22,7.06,0.5,30.0,8.27,56
BHUVNESHWAR KUMAR,2012-05-05,2,26,6.5,0.7,20.9,6.66,1.0,25.5,7.33,52
BHUVNESHWAR KUMAR,2012-05-08,1,17,5.67,0.82,21.36,6.64,1.5,22.75,5.88,29
BHUVNESHWAR KUMAR,2012-05-11,0,40,10.0,0.83,21.0,6.56,1.5,18.5,5.17,0
BHUVNESHWAR KUMAR,2012-05-13,0,33,8.25,0.77,22.46,6.83,1.25,23.0,6.29,0
BHUVNESHWAR KUMAR,2012-05-19,1,23,5.75,0.71,23.21,6.93,0.75,29.0,7.6,29
BHUVNESHWAR KUMAR,2013-04-05,1,17,4.25,0.73,23.2,6.85,0.5,28.25,7.42,31
BHUVNESHWAR KUMAR,2013-04-07,0,16,8.0,0.75,22.81,6.69,0.5,28.25,7.06,0
BHUVNESHWAR KUMAR,2013-04-11,1,41,10.25,0.71,22.41,6.76,0.5,22.25,6.56,25
BHUVNESHWAR KUMAR,2013-04-13,0,16,8.0,0.72,23.44,6.96,0.75,24.25,7.06,0
BHUVNESHWAR KUMAR,2013-04-15,2,12,3.0,0.68,23.05,7.01,0.5,22.5,7.62,56
BHUVNESHWAR KUMAR,2013-04-17,3,18,4.5,0.75,22.5,6.81,0.75,21.25,7.31,81
BHUVNESHWAR KUMAR,2013-04-21,1,31,7.75,0.86,22.29,6.7,1.5,21.75,6.44,25
BHUVNESHWAR KUMAR,2013-04-23,0,23,5.75,0.86,22.68,6.75,1.5,19.25,5.81,4
BHUVNESHWAR KUMAR,2013-04-28,0,30,7.5,0.83,22.7,6.71,1.5,21.0,5.25,0
BHUVNESHWAR KUMAR,2013-04-30,0,24,6.0,0.79,23.0,6.74,1.0,25.5,6.38,2
BHUVNESHWAR KUMAR,2013-05-02,0,20,6.67,0.76,23.04,6.71,0.25,27.0,6.75,2
BHUVNESHWAR KUMAR,2013-05-05,1,38,9.5,0.73,22.92,6.71,0.0,24.25,6.48,25
BHUVNESHWAR KUMAR,2013-05-09,3,25,6.25,0.74,23.48,6.81,0.25,28.0,7.42,77
BHUVNESHWAR KUMAR,2013-05-11,0,12,6.0,0.82,23.54,6.79,1.0,26.75,7.1,2
BHUVNESHWAR KUMAR,2013-05-15,1,22,5.5,0.79,23.14,6.76,1.0,23.75,7.1,29
BHUVNESHWAR KUMAR,2013-05-19,0,26,6.5,0.8,23.1,6.72,1.25,24.25,6.81,2
BHUVNESHWAR KUMAR,2014-04-18,1,21,6.36,0.77,23.19,6.72,1.0,21.25,6.06,27
BHUVNESHWAR KUMAR,2014-04-22,3,19,4.75,0.78,23.12,6.7,0.5,20.25,6.09,81
BHUVNESHWAR KUMAR,2014-04-25,0,40,10.0,0.85,23.0,6.64,1.25,22.0,5.78,0
BHUVNESHWAR KUMAR,2014-04-27,2,23,5.75,0.82,23.5,6.74,1.0,26.5,6.9,54
BHUVNESHWAR KUMAR,2014-04-30,2,17,4.25,0.86,23.49,6.72,1.5,25.75,6.72,56
BHUVNESHWAR KUMAR,2014-05-04,2,16,4.0,0.89,23.31,6.65,1.75,24.75,6.19,56
BHUVNESHWAR KUMAR,2014-05-08,4,14,3.5,0.92,23.11,6.58,1.5,24.0,6.0,106
BHUVNESHWAR KUMAR,2014-05-10,1,23,5.75,1.0,22.87,6.49,2.5,17.5,4.38,29
BHUVNESHWAR KUMAR,2014-05-12,2,21,5.25,1.0,22.87,6.48,2.25,17.5,4.38,54
BHUVNESHWAR KUMAR,2014-05-14,1,38,11.18,1.02,22.82,6.44,2.25,18.5,4.62,25
BHUVNESHWAR KUMAR,2014-05-18,0,37,10.88,1.02,23.2,6.56,2.0,24.0,6.42,0
BHUVNESHWAR KUMAR,2014-05-20,2,27,6.75,1.0,23.52,6.66,1.0,29.75,8.26,52
