Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
CHETAN SAKARIYA,2021-04-12,3,31,7.75,0.0,0.0,0.0,0.0,0.0,0.0,75
CHETAN SAKARIYA,2021-04-15,0,33,8.25,3.0,31.0,7.75,3.0,31.0,7.75,0
CHETAN SAKARIYA,2021-04-19,3,36,9.0,1.5,32.0,8.0,1.5,32.0,8.0,75
CHETAN SAKARIYA,2021-04-22,0,35,8.75,2.0,33.33,8.33,2.0,33.33,8.33,0
CHETAN SAKARIYA,2021-04-24,1,31,7.75,1.5,33.75,8.44,1.5,33.75,8.44,25
CHETAN SAKARIYA,2021-04-29,0,18,6.0,1.4,33.2,8.3,1.0,33.75,8.44,2
CHETAN SAKARIYA,2021-05-02,0,38,9.5,1.17,30.67,7.92,1.0,30.0,7.88,0
CHETAN SAKARIYA,2021-09-21,1,31,10.33,1.0,31.71,8.14,0.25,30.5,8.0,25
CHETAN SAKARIYA,2021-09-25,2,33,8.25,1.0,31.62,8.42,0.5,29.5,8.4,50
CHETAN SAKARIYA,2021-09-27,1,32,8.0,1.11,31.78,8.4,0.75,30.0,8.52,25
CHETAN SAKARIYA,2021-09-29,0,18,6.0,1.1,31.8,8.36,1.0,33.5,9.02,2
CHETAN SAKARIYA,2021-10-02,1,31,7.75,1.0,30.55,8.14,1.0,28.5,8.14,25
CHETAN SAKARIYA,2021-10-05,1,36,12.0,1.0,30.58,8.11,1.0,28.5,7.5,25
CHETAN SAKARIYA,2021-10-07,1,23,5.75,1.0,31.0,8.41,0.75,29.25,8.44,29
CHETAN SAKARIYA,2022-04-28,1,17,5.67,1.0,30.43,8.22,0.75,27.0,7.88,29
CHETAN SAKARIYA,2022-05-01,0,44,11.0,1.0,29.53,8.05,1.0,26.75,7.79,0
CHETAN SAKARIYA,2022-05-11,2,23,5.75,0.94,30.44,8.23,0.75,30.0,8.6,54
CHETAN SAKARIYA,2023-04-01,2,53,13.25,1.0,30.0,8.09,1.0,26.75,7.04,50
CHETAN SAKARIYA,2023-05-20,1,36,9.0,1.06,31.28,8.38,1.25,34.25,8.92,25
