Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
DEEPAK CHAHAR,2016-05-17,0,13,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2
DEEPAK CHAHAR,2016-05-21,0,28,9.33,0.0,13.0,6.5,0.0,13.0,6.5,0
DEEPAK CHAHAR,2017-04-06,0,21,10.5,0.0,20.5,7.92,0.0,20.5,7.92,0
DEEPAK CHAHAR,2017-04-11,1,35,11.67,0.0,20.67,8.78,0.0,20.67,8.78,25
DEEPAK CHAHAR,2017-04-29,0,18,9.0,0.25,24.25,9.5,0.25,24.25,9.5,0
DEEPAK CHAHAR,2018-04-07,1,14,4.67,0.2,23.0,9.4,0.25,25.5,10.12,31
DEEPAK CHAHAR,2018-04-10,0,18,18.0,0.33,21.5,8.61,0.5,22.0,8.96,0
DEEPAK CHAHAR,2018-04-15,0,37,12.33,0.29,21.0,9.95,0.5,21.25,10.84,0
DEEPAK CHAHAR,2018-04-20,2,30,7.5,0.25,23.0,10.25,0.25,21.75,11.0,50
DEEPAK CHAHAR,2018-04-22,3,15,3.75,0.44,23.78,9.94,0.75,24.75,10.62,81
DEEPAK CHAHAR,2018-04-25,0,20,10.0,0.7,22.9,9.32,1.25,25.0,10.4,0
DEEPAK CHAHAR,2018-04-28,0,19,9.05,0.64,22.64,9.39,1.25,25.5,8.4,0
DEEPAK CHAHAR,2018-05-13,1,16,4.0,0.58,22.33,9.36,1.25,21.0,7.58,31
DEEPAK CHAHAR,2018-05-18,1,23,7.67,0.62,21.85,8.95,1.0,17.5,6.7,25
DEEPAK CHAHAR,2018-05-20,1,30,7.5,0.64,21.93,8.86,0.5,19.5,7.68,25
DEEPAK CHAHAR,2018-05-22,1,31,7.75,0.67,22.47,8.76,0.75,22.0,7.06,25
DEEPAK CHAHAR,2018-05-27,0,25,6.25,0.69,23.0,8.7,1.0,25.0,6.73,2
DEEPAK CHAHAR,2019-03-23,0,17,4.25,0.65,23.12,8.56,0.75,27.25,7.29,6
DEEPAK CHAHAR,2019-03-26,1,20,5.0,0.61,22.78,8.32,0.5,25.75,6.44,29
DEEPAK CHAHAR,2019-03-31,2,19,4.75,0.63,22.63,8.14,0.5,23.25,5.81,56
DEEPAK CHAHAR,2019-04-03,1,21,7.0,0.7,22.45,7.97,0.75,20.25,5.06,25
DEEPAK CHAHAR,2019-04-06,1,40,10.0,0.71,22.38,7.93,1.0,19.25,5.25,25
DEEPAK CHAHAR,2019-04-09,3,20,5.0,0.73,23.18,8.02,1.25,25.0,6.69,79
DEEPAK CHAHAR,2019-04-11,2,33,8.25,0.83,23.04,7.89,1.75,25.0,6.69,50
DEEPAK CHAHAR,2019-04-14,0,36,9.0,0.88,23.46,7.9,1.75,28.5,7.56,0
DEEPAK CHAHAR,2019-04-17,1,31,10.33,0.84,23.96,7.95,1.5,32.25,8.06,25
DEEPAK CHAHAR,2019-04-21,2,25,6.25,0.85,24.23,8.04,1.5,30.0,8.14,52
DEEPAK CHAHAR,2019-04-23,1,30,7.5,0.89,24.26,7.97,1.25,31.25,8.46,25
DEEPAK CHAHAR,2019-04-26,1,46,11.5,0.89,24.46,7.96,1.0,30.5,8.27,25
DEEPAK CHAHAR,2019-05-01,1,32,10.67,0.9,25.21,8.08,1.25,33.0,8.9,25
DEEPAK CHAHAR,2019-05-05,0,28,7.0,0.9,25.43,8.17,1.25,33.25,8.98,0
DEEPAK CHAHAR,2019-05-07,1,30,9.09,0.87,25.52,8.13,0.75,34.0,9.17,25
DEEPAK CHAHAR,2019-05-10,2,28,7.0,0.88,25.66,8.16,0.75,34.0,9.57,50
DEEPAK CHAHAR,2019-05-12,3,26,6.5,0.91,25.73,8.12,1.0,29.5,8.44,77
DEEPAK CHAHAR,2020-09-19,2,32,8.0,0.97,25.74,8.08,1.5,28.0,7.4,50
DEEPAK CHAHAR,2020-09-22,1,31,7.75,1.0,25.91,8.07,2.0,29.0,7.65,25
DEEPAK CHAHAR,2020-09-25,0,38,9.5,1.0,26.06,8.06,2.0,29.25,7.31,0
DEEPAK CHAHAR,2020-10-02,2,31,7.75,0.97,26.38,8.1,1.5,31.75,7.94,50
DEEPAK CHAHAR,2020-10-04,0,17,5.67,1.0,26.5,8.09,1.25,33.0,8.25,4
DEEPAK CHAHAR,2020-10-07,0,47,11.75,0.97,26.26,8.03,0.75,29.25,7.67,0
DEEPAK CHAHAR,2020-10-10,1,10,3.33,0.95,26.78,8.12,0.5,33.25,8.67,31
DEEPAK CHAHAR,2020-10-13,0,28,7.0,0.95,26.37,8.01,0.75,26.25,7.12,0
DEEPAK CHAHAR,2020-10-17,2,18,4.5,0.93,26.4,7.98,0.25,25.5,6.94,56
DEEPAK CHAHAR,2020-10-19,2,18,4.5,0.95,26.21,7.9,0.75,25.75,6.64,56
DEEPAK CHAHAR,2020-10-23,0,34,8.5,0.98,26.02,7.83,1.25,18.5,4.83,0
DEEPAK CHAHAR,2020-10-25,2,31,7.75,0.96,26.2,7.84,1.0,24.5,6.12,50
DEEPAK CHAHAR,2020-10-29,0,31,10.33,0.98,26.3,7.84,1.5,25.25,6.31,0
DEEPAK CHAHAR,2020-11-01,0,30,10.0,0.96,26.4,7.89,1.0,28.5,7.77,0
DEEPAK CHAHAR,2021-04-10,0,36,9.0,0.94,26.48,7.94,0.5,31.5,9.14,0
DEEPAK CHAHAR,2021-04-16,4,13,3.25,0.92,26.67,7.96,0.5,32.0,9.27,106
DEEPAK CHAHAR,2021-04-19,0,32,10.67,0.98,26.4,7.86,1.0,27.5,8.14,0
DEEPAK CHAHAR,2021-04-21,4,29,7.25,0.96,26.51,7.92,1.0,27.75,8.23,100
DEEPAK CHAHAR,2021-04-25,0,25,12.5,1.02,26.56,7.9,2.0,27.5,7.54,0
DEEPAK CHAHAR,2021-04-28,0,21,7.0,1.0,26.53,7.99,2.0,24.75,8.42,0
DEEPAK CHAHAR,2021-05-01,0,37,9.25,0.98,26.43,7.97,1.0,26.75,9.36,0
DEEPAK CHAHAR,2021-09-19,2,19,4.75,0.96,26.62,8.0,1.0,28.0,9.0,56
DEEPAK CHAHAR,2021-09-24,1,35,8.75,0.98,26.48,7.94,0.5,25.5,8.38,25
DEEPAK CHAHAR,2021-09-26,0,32,8.0,0.98,26.63,7.95,0.75,28.0,7.44,0
DEEPAK CHAHAR,2021-09-30,0,32,8.0,0.97,26.72,7.95,0.75,30.75,7.69,0
DEEPAK CHAHAR,2021-10-04,1,34,11.33,0.95,26.81,7.95,0.75,29.5,7.38,25
DEEPAK CHAHAR,2021-10-07,1,48,12.0,0.95,26.93,8.01,0.5,33.25,9.02,25
DEEPAK CHAHAR,2021-10-10,0,26,8.67,0.95,27.28,8.08,0.5,36.5,9.83,0
DEEPAK CHAHAR,2021-10-15,1,32,8.0,0.94,27.26,8.09,0.5,35.0,10.0,25
DEEPAK CHAHAR,2023-03-31,0,29,7.25,0.94,27.33,8.08,0.75,35.0,10.0,0
DEEPAK CHAHAR,2023-04-03,0,55,13.75,0.92,27.36,8.07,0.5,33.75,8.98,0
DEEPAK CHAHAR,2023-04-08,0,10,10.0,0.91,27.78,8.16,0.25,35.5,9.42,0
DEEPAK CHAHAR,2023-05-03,0,41,10.25,0.89,27.52,8.19,0.25,31.5,9.75,0
DEEPAK CHAHAR,2023-05-06,2,18,6.0,0.88,27.72,8.22,0.0,33.75,10.31,52
DEEPAK CHAHAR,2023-05-10,2,28,9.33,0.9,27.57,8.18,0.5,31.0,10.0,50
DEEPAK CHAHAR,2023-05-14,3,27,9.0,0.91,27.58,8.2,1.0,24.25,8.9,75
DEEPAK CHAHAR,2023-05-20,3,22,5.5,0.94,27.57,8.21,1.75,28.5,8.64,79
DEEPAK CHAHAR,2023-05-23,2,29,7.25,0.97,27.49,8.17,2.5,23.75,7.46,50
DEEPAK CHAHAR,2023-05-29,1,38,9.5,0.99,27.51,8.16,2.5,26.5,7.77,25
