Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
DIGVESH SINGH,2025-03-24,2,31,7.75,0.0,0.0,0.0,0.0,0.0,0.0,50
DIGVESH SINGH,2025-03-27,1,40,10.0,2.0,31.0,7.75,2.0,31.0,7.75,25
DIGVESH SINGH,2025-04-01,2,30,7.5,1.5,35.5,8.88,1.5,35.5,8.88,50
DIGVESH SINGH,2025-04-04,1,21,5.25,1.67,33.67,8.42,1.67,33.67,8.42,29
DIGVESH SINGH,2025-04-08,1,33,8.25,1.5,30.5,7.62,1.5,30.5,7.62,25
DIGVESH SINGH,2025-04-12,1,30,7.5,1.4,31.0,7.75,1.25,31.0,7.75,25
DIGVESH SINGH,2025-04-14,1,23,5.75,1.33,30.83,7.71,1.25,28.5,7.12,29
DIGVESH SINGH,2025-04-19,0,30,7.5,1.29,29.71,7.43,1.0,26.75,6.69,0
DIGVESH SINGH,2025-04-22,0,24,6.0,1.12,29.75,7.44,0.75,29.0,7.25,2
DIGVESH SINGH,2025-04-27,1,48,12.0,1.0,29.11,7.28,0.5,26.75,6.69,25
DIGVESH SINGH,2025-05-04,2,46,11.5,1.0,31.0,7.75,0.5,31.25,7.81,50
DIGVESH SINGH,2025-05-19,2,37,9.25,1.09,32.36,8.09,0.75,37.0,9.25,50
DIGVESH SINGH,2025-05-27,0,36,9.0,1.17,32.75,8.19,1.25,38.75,9.69,0
