Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
GERALD COETZEE,2024-03-24,2,27,6.75,0.0,0.0,0.0,0.0,0.0,0.0,52
GERALD COETZEE,2024-03-27,1,57,14.25,2.0,27.0,6.75,2.0,27.0,6.75,25
GERALD COETZEE,2024-04-01,0,36,15.65,1.5,42.0,10.5,1.5,42.0,10.5,0
GERALD COETZEE,2024-04-07,4,34,8.5,1.0,40.0,12.22,1.0,40.0,12.22,100
GERALD COETZEE,2024-04-11,1,42,10.5,1.75,38.5,11.29,1.75,38.5,11.29,25
GERALD COETZEE,2024-04-14,1,35,8.75,1.6,39.2,11.13,1.5,42.25,12.22,25
GERALD COETZEE,2024-04-18,3,32,8.0,1.5,38.5,10.73,1.5,36.75,10.85,75
GERALD COETZEE,2024-04-22,0,25,12.5,1.71,37.57,10.34,2.25,35.75,8.94,0
GERALD COETZEE,2024-04-30,1,29,9.67,1.5,36.0,10.61,1.25,33.5,9.94,25
GERALD COETZEE,2024-05-03,0,24,12.0,1.44,35.22,10.51,1.25,30.25,9.73,0
GERALD COETZEE,2025-05-02,1,36,9.0,1.3,34.1,10.66,1.0,27.5,10.54,25
GERALD COETZEE,2025-05-06,1,10,5.0,1.27,34.27,10.51,0.5,28.5,10.79,29
GERALD COETZEE,2025-05-25,0,34,11.33,1.25,32.25,10.05,0.75,24.75,8.92,0
