Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
HARDIK PANDYA,2015-04-19,0,37,12.33,0.0,0.0,0.0,0.0,0.0,0.0,0
HARDIK PANDYA,2015-04-23,0,14,7.0,0.0,37.0,12.33,0.0,37.0,12.33,0
HARDIK PANDYA,2015-05-05,1,13,6.5,0.0,25.5,9.66,0.0,25.5,9.66,27
HARDIK PANDYA,2015-05-08,0,4,4.0,0.33,21.33,8.61,0.33,21.33,8.61,6
HARDIK PANDYA,2015-05-10,0,51,17.0,0.25,17.0,7.46,0.25,17.0,7.46,0
HARDIK PANDYA,2015-05-14,0,10,10.0,0.2,23.8,9.37,0.25,20.5,8.62,0
HARDIK PANDYA,2015-05-17,0,11,11.0,0.17,21.5,9.47,0.25,19.5,9.38,0
HARDIK PANDYA,2015-05-24,0,36,9.0,0.14,20.0,9.69,0.0,19.0,10.5,0
HARDIK PANDYA,2016-04-09,0,12,30.0,0.12,22.0,9.6,0.0,27.0,11.75,0
HARDIK PANDYA,2016-04-13,1,22,11.0,0.11,20.89,11.87,0.0,17.25,15.0,25
HARDIK PANDYA,2016-04-16,0,16,8.0,0.2,21.0,11.78,0.25,20.25,15.25,0
HARDIK PANDYA,2016-04-18,0,29,9.67,0.18,20.55,11.44,0.25,21.5,14.5,0
HARDIK PANDYA,2016-04-20,0,18,9.0,0.17,21.25,11.29,0.25,19.75,14.67,0
HARDIK PANDYA,2016-04-23,1,7,7.0,0.15,21.0,11.12,0.25,21.25,9.42,25
HARDIK PANDYA,2016-04-28,1,15,7.5,0.21,20.0,10.82,0.25,17.5,8.42,25
HARDIK PANDYA,2016-05-01,0,14,7.0,0.27,19.67,10.6,0.5,17.25,8.29,0
HARDIK PANDYA,2016-05-08,0,10,10.0,0.25,19.31,10.38,0.5,13.5,7.62,0
HARDIK PANDYA,2016-05-21,0,10,10.0,0.24,18.76,10.35,0.5,11.5,7.88,0
HARDIK PANDYA,2017-04-06,1,36,9.0,0.22,18.28,10.33,0.25,12.25,8.62,25
HARDIK PANDYA,2017-04-12,1,22,7.33,0.26,19.21,10.26,0.25,17.5,9.0,25
HARDIK PANDYA,2017-04-14,1,9,4.5,0.3,19.35,10.12,0.5,19.5,9.08,31
HARDIK PANDYA,2017-04-16,0,15,15.0,0.33,18.86,9.85,0.75,19.25,7.71,0
HARDIK PANDYA,2017-04-20,0,18,9.0,0.32,18.68,10.08,0.75,20.5,8.96,0
HARDIK PANDYA,2017-04-22,1,23,7.67,0.3,18.65,10.04,0.5,16.0,8.96,25
HARDIK PANDYA,2017-05-01,0,5,5.0,0.33,18.83,9.94,0.5,16.25,9.04,4
HARDIK PANDYA,2017-05-06,0,2,2.0,0.32,18.28,9.74,0.25,15.25,9.17,6
HARDIK PANDYA,2017-05-08,0,13,13.0,0.31,17.65,9.44,0.25,12.0,5.92,0
HARDIK PANDYA,2017-05-11,0,29,14.5,0.3,17.48,9.57,0.25,10.75,6.92,0
HARDIK PANDYA,2017-05-13,2,22,5.5,0.29,17.89,9.75,0.0,12.25,8.62,54
HARDIK PANDYA,2017-05-16,0,15,15.0,0.34,18.03,9.6,0.5,16.5,8.75,0
