Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
HARPREET BRAR,2019-04-20,0,24,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HARPREET BRAR,2019-05-05,0,24,8.0,0.0,24.0,12.0,0.0,24.0,12.0,0
HARPREET BRAR,2020-10-04,0,41,10.25,0.0,24.0,10.0,0.0,24.0,10.0,0
HARPREET BRAR,2021-04-30,3,19,4.75,0.0,29.67,10.08,0.0,29.67,10.08,81
HARPREET BRAR,2021-05-02,1,19,6.33,0.75,27.0,8.75,0.75,27.0,8.75,27
HARPREET BRAR,2021-09-21,1,17,5.67,0.8,25.4,8.27,1.0,25.75,7.33,29
HARPREET BRAR,2021-09-25,0,25,6.25,0.83,24.0,7.83,1.25,24.0,6.75,2
HARPREET BRAR,2021-09-28,0,11,11.0,0.71,24.14,7.61,1.25,20.0,5.75,0
HARPREET BRAR,2021-10-03,0,26,6.5,0.62,22.5,8.03,0.5,18.0,7.31,2
HARPREET BRAR,2021-10-07,0,22,5.5,0.56,22.89,7.86,0.25,19.75,7.36,4
HARPREET BRAR,2022-03-27,0,38,12.67,0.5,22.8,7.62,0.0,21.0,7.31,0
HARPREET BRAR,2022-04-01,0,20,10.0,0.45,24.18,8.08,0.0,24.25,8.92,0
HARPREET BRAR,2022-05-13,1,33,8.25,0.42,23.83,8.24,0.0,26.5,8.67,25
HARPREET BRAR,2022-05-16,0,29,9.67,0.46,24.54,8.24,0.25,28.25,9.1,0
HARPREET BRAR,2022-05-22,3,26,6.5,0.43,24.86,8.35,0.25,30.0,10.15,77
HARPREET BRAR,2023-04-01,0,7,7.0,0.6,24.93,8.22,1.0,27.0,8.6,0
HARPREET BRAR,2023-04-05,0,15,7.5,0.56,23.81,8.15,1.0,23.75,7.86,0
HARPREET BRAR,2023-04-09,0,26,8.39,0.53,23.29,8.11,0.75,19.25,7.67,0
HARPREET BRAR,2023-04-13,1,20,5.0,0.5,23.44,8.12,0.75,18.5,7.35,29
HARPREET BRAR,2023-04-15,1,10,5.0,0.53,23.26,7.96,0.25,17.0,6.97,29
HARPREET BRAR,2023-04-20,2,31,10.33,0.55,22.6,7.81,0.5,17.75,6.47,50
HARPREET BRAR,2023-04-22,0,15,7.5,0.62,23.0,7.93,1.0,21.75,7.18,0
HARPREET BRAR,2023-05-03,0,21,10.5,0.59,22.64,7.91,1.0,19.0,6.96,0
HARPREET BRAR,2023-05-08,1,4,4.0,0.57,22.57,8.02,0.75,19.25,8.33,31
HARPREET BRAR,2023-05-13,4,30,7.5,0.58,21.79,7.86,0.75,17.75,8.08,100
HARPREET BRAR,2023-05-17,0,39,13.0,0.72,22.12,7.84,1.25,17.5,7.38,0
HARPREET BRAR,2024-03-23,1,14,4.67,0.69,22.77,8.04,1.25,23.5,8.75,31
HARPREET BRAR,2024-03-25,2,13,3.25,0.7,22.44,7.92,1.5,21.75,7.29,56
HARPREET BRAR,2024-03-30,0,14,7.0,0.75,22.11,7.75,1.75,24.0,7.1,0
HARPREET BRAR,2024-04-04,1,33,8.25,0.72,21.83,7.72,0.75,20.0,6.98,25
HARPREET BRAR,2024-04-09,0,48,12.0,0.73,22.2,7.74,1.0,18.5,5.79,0
HARPREET BRAR,2024-04-13,0,22,7.33,0.71,23.03,7.88,0.75,27.0,7.62,0
HARPREET BRAR,2024-04-18,0,21,7.0,0.69,23.0,7.86,0.25,29.25,8.64,0
HARPREET BRAR,2024-04-21,0,35,8.75,0.67,22.94,7.84,0.25,31.0,8.64,0
HARPREET BRAR,2024-04-26,0,21,10.5,0.65,23.29,7.86,0.0,31.5,8.77,0
HARPREET BRAR,2024-05-01,2,17,4.25,0.63,23.23,7.94,0.0,24.75,8.4,56
HARPREET BRAR,2024-05-05,0,19,19.0,0.67,23.06,7.84,0.5,23.5,7.62,0
HARPREET BRAR,2024-05-15,0,10,10.0,0.65,22.95,8.14,0.5,23.0,10.62,0
HARPREET BRAR,2024-05-19,1,36,12.0,0.63,22.61,8.19,0.5,16.75,10.94,25
HARPREET BRAR,2025-04-18,2,25,12.5,0.64,22.95,8.28,0.75,20.5,11.31,50
HARPREET BRAR,2025-04-20,1,27,6.75,0.68,23.0,8.39,0.75,22.5,13.38,27
HARPREET BRAR,2025-04-30,1,21,10.5,0.68,23.1,8.35,1.0,24.5,10.31,25
HARPREET BRAR,2025-05-18,3,22,5.5,0.69,23.05,8.4,1.25,27.25,10.44,79
HARPREET BRAR,2025-05-24,2,41,10.25,0.74,23.02,8.33,1.75,23.75,8.81,50
HARPREET BRAR,2025-05-26,1,36,9.0,0.77,23.43,8.38,1.75,27.75,8.25,25
HARPREET BRAR,2025-05-29,0,18,9.0,0.78,23.71,8.39,1.75,30.0,8.81,0
